Share Code,Short Name
4SI,4SIGHT
ABSP,ABSABANK-P
ABG,ABSA
APF,ACCPROP
ACE,ACCENT
ACS,ACSION
ADI,ADAPTIT
AIP,ADCOCK
ADR,ADCORP
AVL,ADVANCED
ADH,ADVTECH
AFE,AECI
AFEP,AECI 5.5%P
AON,AFOVR-N
AOO,AF & OVR
AOVP,AF&OVR 6%PP
ADW,AFDAWN
AEE,AEEI
AME,AME
AFX,AFROX
AIL,ARCINVEST
ARI,ARM
AFT,AFRIMAT
ATI,AFRISTRAT
ECSP21,ECSP C7
ECSP24,ECSP C8
ECSP1,ECSP A
ECSD7,ECSP D7
ATID,ATIPREFD
ATIG,ATIPREFG
ACT,AFRO-C
AHL,AH-VEST
ALH,ALARIS
AFH,AFORBES
AEL,ALTRON
APH,ALPHAMIN
AVV,ALVIVA
ACG,ANCHOR
AMS,AMPLATS
AGL,ANGLO
ANG,ANGGOLD
ANH,AB INBEV
ARH,ARB
ACL,ARCMITTAL
ACZ,ARDENCAP
ART,ARGENT
AHA,AWAPROPA
AHB,AWAPROPB
ASC,ASCENDIS
APN,ASPEN
ARA,ASTORIA
ARL,ASTRAL
ATT,ATTACQ
AEG,AVENG
AVI,A-V-I
AYO,AYO
BWN,BALWIN
BAW,BARWORLD
BAWP,BARWORLD6%P
BSR,BASREAD
BAU,BAUBA
BEL,BELL
BHP,BHP
BID,BIDCORP
BVT,BIDVEST
BLU,BLUETEL
BCF,BOWCALF
BAT,BRAIT
BIK,BRIKOR
BRN,BRIMST-N
BRT,BRIMSTON
BTI,BATS
BUC,BUFFALO
CAC,CAFCA
CGR,CALGRO
CCO,CAPCO
CRP,CAPREG
CTA,CAPPREC
CPIP,CAPITEC-P
CPI,CAPITEC
CTK,CARTRACK
CSB,CASHBIL
CVW,CASTLEVIEW
CAT,CAXTON
CATP,CAXTON6%CPP
CHP,CHOPPIES
CMO,CHROMETCO
CLH,CITYLDG
CLS,CLICKS
CLI,CLIENTELE
CGN,COGNITION
COM,COMAIR
CMH,CMH
CFR,RICHEMONT
CND,CONDUIT
CIL,CIL
