Share Code,Short Name
ABG,ABSA
ARI,ARM
AMS,AMPLATS
AGL,ANGLO
ANG,ANGGOLD
ANH,AB INBEV
APN,ASPEN
BHP,BHP
BID,BIDCORP
BTI,BATS
CPI,CAPITEC
CLS,CLICKS
CFR,RICHEMONT
DSY,DISCOVERY
FSR,FIRSTRAND
GLN,GLENCORE
GFI,GFIELDS
IMP,IMPLATS
KIO,KUMBA
MNP,MONDIPLC
MTN,MTN GROUP
MCG,MC GROUP
NPN,NASPERS-N
NED,NEDBANK
NRP,NEPIROCK
NHM,NORTHAM
OMU,OMUTUAL
PPH,PEPKORH
PRX,PROSUS
QLT,QUILTER
RNI,REINET
REM,REMGRO
SLM,SANLAM
SOL,SASOL
SHP,SHOPRIT
SSW,SIBANYE-S
S32,SOUTH32
SBK,STANBANK
BVT,BIDVEST
VOD,VODACOM
