Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,9871.980469,9970.599609,9822.530273,9822.530273,5885.554199,180180
2000-01-05,9723.900391,9822.530273,9699.179688,9822.530273,5885.554199,190008
2000-01-06,9871.980469,10192.900391,9847.250000,10173.099609,6095.610840,314132
2000-01-07,10192.900391,10538.500000,10192.900391,10192.900391,6107.476563,774228
2000-01-10,10513.700195,10637.099609,10513.700195,10597.500000,6349.907227,685412
2000-01-11,10612.400391,10735.700195,10400.299805,10489.000000,6284.895996,352352
2000-01-12,10444.500000,10513.700195,10242.299805,10370.599609,6213.951172,351988
2000-01-13,10266.799805,10538.500000,10192.900391,10503.799805,6293.761719,996268
2000-01-14,10489.000000,10562.900391,10390.400391,10414.799805,6240.435547,402584
2000-01-17,10538.500000,10538.500000,10365.700195,10365.700195,6211.016113,336700
2000-01-18,10365.700195,10370.599609,10069.500000,10192.900391,6107.476563,438256
2000-01-19,10118.700195,10242.299805,9946.150391,10148.400391,6080.811523,416052
2000-01-20,10316.200195,10316.200195,10143.400391,10168.099609,6092.614258,216944
2000-01-21,10118.700195,10118.700195,9995.330078,10020.099609,6003.934570,144144
2000-01-24,10020.099609,10020.099609,9901.650391,9901.650391,5932.961914,153608
2000-01-25,9871.980469,9871.980469,9526.370117,9556.040039,5725.875488,287924
2000-01-26,9565.929688,9575.820313,9205.769531,9279.669922,5560.277344,894348
2000-01-27,9279.669922,9304.400391,9156.320313,9181.040039,5501.180176,521976
2000-01-28,9181.040039,9254.950195,8934.070313,8958.790039,5368.011719,277732
2000-01-31,8884.889648,8884.889648,8687.360352,8776.099609,5258.542480,371644
2000-02-01,8860.169922,9205.769531,8860.169922,8860.169922,5308.917480,183092
2000-02-02,9254.950195,9304.400391,8958.790039,8958.790039,5368.011719,363272
2000-02-03,8988.459961,8988.459961,8785.990234,8810.709961,5279.281738,382200
2000-02-04,8835.440430,8889.830078,8637.910156,8637.910156,5175.741211,328328
2000-02-07,8978.570313,9230.219727,8934.070313,9161.259766,5489.327148,534716
2000-02-08,9151.370117,9151.370117,8934.070313,9037.910156,5415.419434,463372
2000-02-09,9032.969727,9156.320313,9008.240234,9116.759766,5462.665039,148876
2000-02-10,9057.690430,9057.690430,8884.889648,8958.790039,5368.011719,203476
2000-02-11,9008.240234,9032.969727,8637.910156,8761.259766,5249.651855,271908
2000-02-14,8514.559570,8539.290039,8435.709961,8445.599609,5060.511719,402584
2000-02-15,8445.599609,8529.400391,8317.030273,8317.030273,4983.474609,348712
2000-02-16,8539.290039,8662.639648,8341.759766,8341.759766,4998.291992,378560
2000-02-17,8514.559570,8884.889648,8470.049805,8860.169922,5308.917480,705068
2000-02-18,8810.709961,8884.889648,8687.360352,8687.360352,5205.372559,264628
2000-02-21,8637.910156,8637.910156,8465.110352,8475.000000,5078.127441,284648
2000-02-22,8391.209961,8391.209961,8168.959961,8218.410156,4924.381348,256256
2000-02-23,8144.500000,8366.480469,7897.529785,8243.129883,4939.194336,277368
2000-02-24,8243.129883,8267.860352,8045.600098,8095.060059,4850.472656,359268
2000-02-25,8020.879883,8020.879883,7527.470215,7601.370117,4554.657715,442260
2000-02-28,7601.370117,7601.370117,7280.500000,7280.500000,4362.396973,156884
