Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,193800.000000,196000.000000,192200.000000,194400.000000,191642.093750,831540
2016-01-18,195500.000000,198191.000000,194610.000000,197450.000000,194648.812500,627259
2016-01-19,207500.000000,207500.000000,197250.000000,200600.000000,197754.093750,421639
2016-01-20,200750.000000,210800.000000,194538.000000,196300.000000,193515.140625,283701
2016-01-21,195500.000000,199996.000000,193000.000000,194000.000000,191247.781250,360968
2016-01-22,195000.000000,209940.000000,195000.000000,198000.000000,195191.015625,165886
2016-01-25,198012.000000,201757.000000,198012.000000,200000.000000,197162.625000,69251
2016-01-26,203598.000000,203598.000000,198995.000000,200000.000000,197162.625000,114821
2016-01-27,201500.000000,206000.000000,200200.000000,202500.000000,199627.156250,145692
2016-01-28,202500.000000,205398.000000,197556.000000,198332.000000,195518.296875,74423
2016-01-29,199000.000000,199272.000000,196806.000000,198000.000000,195191.015625,354966
2016-02-01,200000.000000,202786.000000,199218.000000,202364.000000,199493.109375,71196
2016-02-02,202500.000000,205600.000000,201750.000000,203797.000000,200905.781250,433587
2016-02-03,208883.000000,208883.000000,201700.000000,202800.000000,199922.937500,34550
2016-02-04,200000.000000,202999.000000,195000.000000,195000.000000,192233.562500,98769
2016-02-05,197100.000000,198000.000000,192470.000000,193300.000000,190557.703125,324582
2016-02-08,193700.000000,193700.000000,187778.000000,188400.000000,185727.250000,548366
2016-02-09,188600.000000,188600.000000,183800.000000,185491.000000,182859.500000,301894
2016-02-10,186000.000000,194573.000000,184402.000000,187700.000000,185037.109375,195615
2016-02-11,187700.000000,187700.000000,181263.000000,181263.000000,178691.453125,302943
2016-02-12,182000.000000,183747.000000,180507.000000,183507.000000,180903.640625,46935
2016-02-15,185000.000000,188228.000000,183570.000000,187000.000000,184347.078125,38724
2016-02-16,187000.000000,187200.000000,183158.000000,183956.000000,181346.234375,41668
2016-02-17,184000.000000,187458.000000,184000.000000,184800.000000,182178.281250,187918
2016-02-18,187499.000000,187499.000000,170709.000000,179405.000000,176859.812500,215457
2016-02-19,180000.000000,181100.000000,178787.000000,178817.000000,176280.156250,47182
2016-02-22,179000.000000,181577.000000,178292.000000,179347.000000,176802.640625,39010
2016-02-23,180200.000000,180287.000000,176000.000000,179006.000000,176466.468750,28921
2016-02-24,179006.000000,181325.000000,173555.000000,180500.000000,177939.296875,156799
2016-02-25,180500.000000,181400.000000,173000.000000,176000.000000,173503.125000,582030
2016-02-26,176000.000000,178990.000000,176000.000000,178974.000000,176434.937500,133092
2016-02-29,185629.000000,185629.000000,176100.000000,177836.000000,175313.093750,51884
2016-03-01,177836.000000,184995.000000,175500.000000,177000.000000,174488.921875,164298
2016-03-02,177000.000000,182494.000000,174694.000000,175800.000000,173305.968750,109958
2016-03-03,176498.000000,179350.000000,175800.000000,178161.000000,175633.468750,406118
2016-03-04,179000.000000,182221.000000,178999.000000,180646.000000,178083.187500,163184
2016-03-07,185000.000000,185000.000000,177500.000000,178500.000000,175967.656250,76157
2016-03-08,180646.000000,180990.000000,176500.000000,177411.000000,174894.109375,122293
2016-03-09,178000.000000,180414.000000,178000.000000,179313.000000,176769.140625,22882
2016-03-10,178500.000000,182000.000000,176446.000000,182000.000000,179418.015625,159610
2016-03-11,181498.000000,181498.000000,178100.000000,180158.000000,177602.140625,30722
2016-03-14,182985.000000,182985.000000,179919.000000,182301.000000,179714.765625,26209
2016-03-15,184000.000000,187145.000000,182500.000000,187006.000000,184352.968750,74333
2016-03-16,188200.000000,189998.000000,185391.000000,187194.000000,184538.328125,50533
2016-03-17,186799.000000,187060.000000,178540.000000,180861.000000,178295.187500,44863
2016-03-18,182299.000000,187269.000000,180861.000000,186994.000000,184341.156250,116972
2016-03-21,186994.000000,186994.000000,186994.000000,186994.000000,184341.156250,0
2016-03-22,186994.000000,186994.000000,184000.000000,186500.000000,183854.171875,109464
2016-03-23,186500.000000,189794.000000,186500.000000,187929.000000,185262.875000,34380
2016-03-24,190000.000000,190000.000000,186500.000000,187769.000000,185105.156250,59744
2016-03-25,187769.000000,187769.000000,187769.000000,187769.000000,185105.156250,0
2016-03-28,187769.000000,187769.000000,187769.000000,187769.000000,185105.156250,0
2016-03-29,188000.000000,191536.000000,188000.000000,189305.000000,186619.375000,97993
2016-03-30,188560.000000,190395.000000,187350.000000,188500.000000,185825.796875,356576
2016-03-31,188500.000000,188500.000000,183817.000000,184120.000000,181507.921875,65703
2016-04-01,182550.000000,187819.000000,178597.000000,183783.000000,181175.734375,113072
2016-04-04,183783.000000,189437.000000,183783.000000,185879.000000,183241.968750,42728
2016-04-05,186766.000000,188360.000000,185565.000000,185946.000000,183308.031250,75740
2016-04-06,187000.000000,189114.000000,185569.000000,187685.000000,185022.375000,346029
2016-04-07,187500.000000,187500.000000,184526.000000,185928.000000,183290.265625,208632
2016-04-08,184022.000000,184238.000000,181500.000000,181500.000000,178925.125000,149933
2016-04-11,181500.000000,181500.000000,178000.000000,178000.000000,175474.750000,48053
2016-04-12,178001.000000,179035.000000,177000.000000,178300.000000,175770.500000,18055
2016-04-13,179400.000000,180485.000000,177000.000000,178094.000000,175567.390625,113130
2016-04-14,179100.000000,181000.000000,178101.000000,179056.000000,176515.765625,388468
2016-04-15,178500.000000,186602.000000,178500.000000,185565.000000,182932.421875,62276
2016-04-18,185009.000000,185938.000000,183540.000000,184286.000000,181671.578125,35608
