Date,Open,High,Low,Close,Adj Close,Volume
2008-10-28,29000.000000,29400.000000,28800.000000,29000.000000,18598.054688,280
2008-10-29,29000.000000,30100.000000,28017.000000,28200.000000,18085.005859,5402200
2008-10-30,28600.000000,29200.000000,27627.000000,27999.000000,17956.095703,3078800
2008-10-31,27900.000000,28193.000000,26621.000000,26621.000000,17072.373047,3230900
2008-11-03,27200.000000,27300.000000,26700.000000,26900.000000,17251.298828,3566500
2008-11-04,26900.000000,28000.000000,26703.000000,27475.000000,17620.050781,3574900
2008-11-05,27600.000000,27600.000000,26157.000000,26340.000000,16892.167969,5629100
2008-11-06,26000.000000,27098.000000,23900.000000,26300.000000,16866.511719,5932800
2008-11-07,26300.000000,27000.000000,25621.000000,26700.000000,17123.035156,3921700
2008-11-10,27000.000000,27500.000000,26201.000000,26500.000000,16994.773438,2565100
2008-11-11,26500.000000,26950.000000,25500.000000,26176.000000,16786.988281,1978600
2008-11-12,26030.000000,27350.000000,25800.000000,26500.000000,16994.773438,3479900
2008-11-13,26850.000000,26850.000000,25749.000000,25971.000000,16655.517578,1213500
2008-11-14,26200.000000,26400.000000,24601.000000,25200.000000,16161.062500,7632900
2008-11-17,25000.000000,26000.000000,24705.000000,25505.000000,16356.667969,2576200
2008-11-18,25500.000000,26134.000000,25100.000000,25800.000000,16545.851563,3358000
2008-11-19,25800.000000,26210.000000,25600.000000,26210.000000,16808.791016,3472300
2008-11-20,26200.000000,26350.000000,25517.000000,25750.000000,16513.783203,4438400
2008-11-21,26100.000000,26400.000000,25333.000000,25385.000000,16279.713867,2573000
2008-11-24,25400.000000,25800.000000,24900.000000,25365.000000,16266.883789,2490400
2008-11-25,26100.000000,26600.000000,25550.000000,25851.000000,16578.562500,5267800
2008-11-26,26075.000000,26495.000000,25859.000000,26000.000000,16674.113281,3789200
2008-11-27,26200.000000,26450.000000,25306.000000,25450.000000,16321.391602,2462000
2008-11-28,26000.000000,26000.000000,25000.000000,25350.000000,16257.264648,2765500
2008-12-01,25500.000000,26000.000000,25000.000000,25210.000000,16167.479492,3172200
2008-12-02,24999.000000,25497.000000,24478.000000,25200.000000,16161.062500,2080500
2008-12-03,25200.000000,25535.000000,24800.000000,25210.000000,16167.479492,1945300
2008-12-04,25300.000000,25700.000000,24848.000000,25210.000000,16167.479492,2267800
2008-12-05,25210.000000,25600.000000,25000.000000,25200.000000,16161.062500,1913500
2008-12-08,25400.000000,26492.000000,25200.000000,25200.000000,16161.062500,2507700
2008-12-09,25479.000000,25800.000000,25119.000000,25200.000000,16161.062500,1267000
2008-12-10,25201.000000,26000.000000,25200.000000,25530.000000,16372.699219,964200
2008-12-11,25500.000000,26000.000000,25300.000000,25350.000000,16257.264648,1447200
2008-12-12,25300.000000,25349.000000,24750.000000,25050.000000,16064.870117,1054100
2008-12-15,25050.000000,25500.000000,24900.000000,25431.000000,16309.209961,470500
2008-12-17,25610.000000,26000.000000,25200.000000,25397.000000,16287.402344,1918600
2008-12-18,25340.000000,25500.000000,24743.000000,25305.000000,16228.401367,1167600
2008-12-19,25200.000000,25801.000000,24850.000000,25100.000000,16096.934570,1751800
2008-12-22,25100.000000,25398.000000,24600.000000,24900.000000,15968.673828,1122700
2008-12-23,24800.000000,25400.000000,24800.000000,25050.000000,16064.870117,341300
2008-12-24,25201.000000,25201.000000,24200.000000,24507.000000,15716.638672,123200
2008-12-29,24400.000000,25100.000000,24353.000000,24353.000000,15617.881836,542200
