Date,Open,High,Low,Close,Adj Close,Volume
2003-02-28,1235.000000,1310.000000,1235.000000,1300.000000,1059.906738,3216380
2003-03-03,1315.000000,1345.000000,1280.000000,1341.000000,1093.334351,3267401
2003-03-04,1339.000000,1340.000000,1290.000000,1320.000000,1076.212891,6533900
2003-03-05,1310.000000,1310.000000,1250.000000,1280.000000,1043.600220,3505852
2003-03-06,1290.000000,1300.000000,1230.000000,1242.000000,1012.618469,3855131
2003-03-07,1240.000000,1250.000000,1175.000000,1182.000000,963.699890,4642326
2003-03-10,1182.000000,1250.000000,1175.000000,1186.000000,966.960815,3819035
2003-03-11,1181.000000,1194.000000,1145.000000,1175.000000,957.992432,3942775
2003-03-12,1190.000000,1215.000000,1170.000000,1185.000000,966.145508,6537006
2003-03-13,1185.000000,1230.000000,1175.000000,1216.000000,991.420288,21020120
2003-03-14,1230.000000,1270.000000,1206.000000,1206.000000,983.267090,7090920
2003-03-17,1200.000000,1200.000000,1152.000000,1186.000000,966.960815,9700812
2003-03-18,1252.000000,1310.000000,1230.000000,1271.000000,1036.262451,16275241
2003-03-19,1265.000000,1310.000000,1230.000000,1300.000000,1059.906738,8580898
2003-03-20,1190.000000,1240.000000,1120.000000,1195.000000,974.298706,33513323
2003-03-21,1195.000000,1195.000000,1195.000000,1195.000000,974.298706,0
2003-03-24,1220.000000,1240.000000,1182.000000,1214.000000,989.789795,14186250
2003-03-25,1184.000000,1220.000000,1165.000000,1204.000000,981.636658,10188697
2003-03-26,1206.000000,1218.000000,1141.000000,1154.000000,940.870911,9561262
2003-03-27,1150.000000,1150.000000,1098.000000,1098.000000,895.213379,17639830
2003-03-28,1110.000000,1120.000000,1058.000000,1095.000000,892.767395,10276248
2003-03-31,1095.000000,1095.000000,1040.000000,1043.000000,850.371277,6239194
2003-04-01,1085.000000,1095.000000,1045.000000,1061.000000,865.046875,3523260
2003-04-02,1060.000000,1075.000000,1045.000000,1065.000000,868.308167,17833675
2003-04-03,1064.000000,1075.000000,1020.000000,1030.000000,839.772034,6258029
2003-04-04,1040.000000,1045.000000,1000.000000,1031.000000,840.587524,10993662
2003-04-07,1081.000000,1140.000000,1070.000000,1139.000000,928.641296,8996877
2003-04-08,1110.000000,1112.000000,1065.000000,1085.000000,884.614380,6083391
2003-04-09,1080.000000,1124.000000,1070.000000,1110.000000,904.997131,7494046
2003-04-10,1076.000000,1101.000000,1046.000000,1046.000000,852.817078,5817364
2003-04-11,1055.000000,1100.000000,1021.000000,1046.000000,852.817078,8210143
2003-04-14,1060.000000,1095.000000,1055.000000,1090.000000,888.690857,4140826
2003-04-15,1105.000000,1123.000000,1076.000000,1105.000000,900.920532,7226848
2003-04-16,1139.000000,1142.000000,1100.000000,1131.000000,922.118713,7623018
2003-04-17,1115.000000,1150.000000,1100.000000,1110.000000,904.997131,3400151
2003-04-18,1110.000000,1110.000000,1110.000000,1110.000000,904.997131,0
2003-04-21,1110.000000,1110.000000,1110.000000,1110.000000,904.997131,0
2003-04-22,1125.000000,1125.000000,1075.000000,1100.000000,896.844055,2908627
2003-04-23,1115.000000,1120.000000,1062.000000,1062.000000,865.862122,4515406
