Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Turnover",15612,43034,16933,44539,18714,11981,
"Cost of Sales",8154,15347,8574,15893,6230,2582,
"Gross Profit",7459,27687,8360,28646,12484,9399,
"Operating Expenses",8999,54986,7032,31703,11476,7114,
"EBITDA (ProfileData Calc)",1375,,1462,,,,
"Depreciation",159,,97,,,,
"Operating Income",1384,-24818,1345,407,1023,2354,
"Profit Before Exceptional Items",1384,-24818,1345,407,1023,2354,
"Profit Before Interest And Tax",1384,-24818,1345,407,1023,2354,
"Interest Received",54,191,93,90,19,22,
"Interest Paid",129,513,275,718,268,64,
"Net Interest Paid/(Received)",75,322,182,628,249,42,
"Income From Associates Before Tax",-2,555,,172,101,,
"Income Before Tax",1307,-24585,1163,-50,875,2312,
"Taxation",140,793,372,1031,190,220,
"Profit For The Period",1167,-25378,791,-1081,685,2092,
"Income Attributable To Minority Interests",220,260,73,154,102,260,
"Attributable Income Before Extraordinary Items",947,-25638,718,-1235,583,1832,
"Extraordinary Profit",396,,-11468,,,,
"Extraordinary Profit: Discontinued Operations",396,,-11468,,,,
"Income Attributable To Equity Holders",1343,-25638,-10750,-1235,583,1832,
"Total Comprehensive Income/Loss for the period",-823,-25089,-10413,-2467,-777,2349,
"Headline Earnings (Cont Ops)",,-44,-201494,5487,598,1820,
"Enterprise Value (EV)",169228,249114,99096,190098,367726,608875,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Fixed Assets",2181,2815,2935,2854,3027,3049,
"Investments in Associates",6,258,262,203,134,,
"Goodwill",15051,15051,22241,32787,39503,23803,
"Intangible Assets",2441,5587,13401,13349,12840,10488,
"Deferred Tax Asset",500,986,1100,1025,1058,1170,
"Other Assets",69,109,,,,,
"Total Fixed Assets",20248,24806,39939,50218,56562,38510,
"Stock",108,109,23,80,183,145,
"Debtors",4618,10184,11998,14242,9369,10246,
"Cash",3076,3686,3690,3916,4519,4463,
"Tax",156,287,124,231,84,74,
"Other Current Assets",9905,436,997,342,457,25,
"Total Current Assets",17863,14702,16832,18811,14612,14953,
"Total Assets",38111,39508,56771,69029,71174,53463,
"Ordinary Share Capital & Premium",58610,55814,55838,50511,50511,41296,
"Distributable Reserves",-23510,-24903,-10015,735,2553,1832,
"Non-Distributable Reserves",-6242,-3855,-3884,-4147,-4324,-2960,
"Ordinary Shareholders' Interest",28858,27056,41939,47099,48740,40168,
"Minority Interest",233,62,-94,-157,-88,-88,
"Total Shareholders' Interest",29091,27118,41845,46942,48652,40080,
"Deferred Tax Liability",117,269,137,134,32,148,
"Other Long-Term Liabilities",1006,1499,1374,5416,7527,4419,
"Total Long-Term Liabilities",1123,1768,1511,5550,7559,4567,
"Creditors and Provisions",4353,6015,7622,6905,4750,5460,
"Tax",16,69,350,76,203,,
"Bank Overdrafts/Short-Term Loans",,,177,150,218,244,
"Other Current Liabilities",3528,4538,5266,9405,9792,3112,
"Total Current Liabilities",7897,10622,13415,16536,14963,8816,
"Total Liabilities",9020,12390,14926,22086,22522,13383,
"Total Equity and Liabilities",38111,39508,56771,69029,71174,53463,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Exchange Rate (period end)",17.33,14.06,14.08,14.41,13.75,12.38,
"Exchange Rate (weighted average)",16.66,14.45,14.2,13.25,12.3,13.3,
"Number of Shares in Issue (Actual)",782141947,789804945,604137641,497489514,418106476,360695468,
"Weighted Average Shares in Issue (Actual)",782141947,695716718,604137641,486807063,476268895,360695468,
"Fully Diluted Weighted Average Shares in Issue",782141947,862106069,898255289,762650992,559350277,374930762,
"Market Capitalisation (R'000)",172071,252738,102703,194021,372115,613182,
"Number of Months",6,12,6,12,6,12,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Earnings Per Share (ZARc)",3,-53.32,-25.28,-3.31,1.48,6.78,
"Diluted Earnings Per Share (ZARc)",3,-42.92,-17.04,-2.12,1.23,6.52,
"Headline Earnings Per Share (Cont Ops) (ZARc)",3,-0.14,-0.43,14.97,1.6,6.65,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",3,-0.14,-0.28,9.54,1.35,6.52,
"Net Asset Value Per Share (ZARc)",63.95,48.23,97.76,136.46,160.33,137.91,
"Cash Generated Per Share",0.24,0.24,0.07,0.25,0.12,-0.68,
"Earnings Per Share (Base Currency)",0.18,-3.69,-1.78,-0.25,0.12,0.51,
"Diluted Earnings Per Share (Base Currency)",0.18,-2.97,-1.2,-0.16,0.1,0.49,
"Headline Earnings Per Share (Cont) (Base Currency)",0.18,-0.01,-0.03,1.13,0.13,0.5,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",0.18,-0.01,-0.02,0.72,0.11,0.49,
"Net Asset Value Per Share (Base Currency)",3.69,3.43,6.94,9.47,11.66,11.14,
"Price at Period End (Base Currency)",1,2,1,3,6,14,
"JSE Market Price High (ZARc)",43,52,52,200,200,290,
"JSE Market Price Low (ZARc)",16,12,13,22,75,156,
"JSE Market Price at Period End (ZARc)",22,32,17,39,89,170,
"JSE Volume Traded (Actual)",28723564,62401094,40697434,11429433,4637474,2653217,
"JSE Rand Value Traded (Actual)",7154481,13815121,9458775,9519334,6357353,6549538,
"12 Month HEPS",3.29,-0.14,12.94,14.97,3.2,13.3,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"24 Aug 2020","31 Mar 2020","13 Dec 2019","29 Mar 2019","26 Sep 2018","26 Mar 2018",
"Cash generated by operations",2119,2585,540,2399,550,-2072,
"Net Cash flow from operating activities",1882,1912,405,1257,495,-2435,
"Net cash flow from investing activities",-130,-1474,-552,-1246,-365,6393,
"Net cash flow from financing activities",-137,-433,-184,511,562,205,
"Dividends paid",,-72,,-21015,,,
"Net increase(decrease) in cash & cash equivalents",1615,4,-331,522,693,4163,
"Cash & Cash Equivalent beginning of period",3686,3766,3766,4218,4218,,
"Translation effects on cash & cash equivalents",-1794,-84,78,-975,-610,55,
"Cash & Cash Equivalent end of period",3506,3686,3512,3766,4301,4218,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
