Income statement (ZAR '000),"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 May 2020","31 Oct 2019","29 Mar 2019","12 Oct 2018","23 Feb 2018","29 Sep 2017","27 Feb 2017","28 Sep 2016","29 Feb 2016","28 Sep 2015","2 Mar 2015","29 Sep 2014","3 Mar 2014","26 Sep 2013","28 Feb 2013","27 Sep 2012","23 Feb 2012","23 Sep 2011","29 Mar 2011","22 Sep 2010",
"Turnover",94530,285262,120429,294893,153331,295061,159316,322714,173018,318609,170520,308101,156802,284213,146448,282671,143341,249390,127744,254828,
"Cost of Sales",52057,166276,75303,176012,86206,176327,86287,160648,85619,160599,84969,147297,74811,135219,,133940,,113556,,,
"Gross Profit",42474,118986,45126,118881,67125,118734,73029,162066,87399,158010,85551,160804,81991,148994,78736,148731,76968,135834,66395,134787,
"Operating Expenses",54901,146138,61447,144126,72020,131134,75635,151088,77583,,79131,146607,74539,130762,66093,127386,64513,120786,55189,113078,
"EBITDA (ProfileData Calc)",,,,,,,,,,,10379,16073,8330,18263,12476,22870,13091,-48938,-24520,22757,
"Depreciation",,,,,,,,,,,2971,6524,3019,3536,2758,6260,3198,6435,3203,6482,
"Operating Income",-12269,-22928,-16205,-23450,-4472,-16,6075,-23565,10838,3018,7408,9549,5311,15127,10084,16610,9893,15298,-27723,16248,
"Other Income",,,,,,,,,,,,,,,,,,,369,27,
"Profit Before Exceptional Items",-12269,-22928,-16205,-23450,-4472,-16,6075,-23565,10838,3018,7408,9549,5311,15127,10084,16610,9893,15298,-27723,16275,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,-70671,,,
"Profit Before Interest And Tax",-12269,-22928,-16205,-23450,-4472,-16,6075,-23565,10838,3018,7408,9549,5311,15127,10084,16610,9893,-55373,-27723,16275,
"Interest Received",,1162,,486,,145,,,,,,,,,,,,,,,
"Interest Paid",2197,4185,2205,3520,618,2420,1268,2817,1159,2485,1146,2101,812,1909,816,2297,1205,2942,1642,4068,
