Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Turnover",222329,465861,268685,463727,238220,476283,245436,419331,202271,226347,80084,82367,28172,
"Operating Expenses",179731,351800,159948,360150,174777,349520,172389,252096,108020,145991,44261,53732,17965,
"EBITDA (ProfileData Calc)",48012,,,,,,,,,,,,,
"Depreciation",571,,,,,,,,,,,,,
"Operating Income",42598,114061,108737,103577,63443,126763,73047,167235,94251,80356,35823,28635,10207,
"Profit Before Exceptional Items",42598,114061,108737,103577,63443,126763,73047,167235,94251,80356,35823,28635,10207,
"Exceptional Item 1",15291,-3795,11691,2955,4321,,-587,32306,2920,,,3888,,
"Profit Before Interest And Tax",57889,110266,120428,106532,67764,126763,72460,199541,97171,80356,35823,32523,10207,
"Interest Received",,22839,,17077,10376,12666,7082,8643,,36527,3426,1322,,
"Interest Paid",704,2708,898,2073,1419,4413,2465,973,2129,984,37,441,126,
"Net Interest Paid/(Received)",704,-20131,898,-15004,-8957,-8253,-4617,-7670,2129,-35543,-3389,-881,126,
"Income From Associates Before Tax",3074,1368,613,-104,-231258,285,-824,7763,10401,596,891,478,-403,
"Income Before Tax",60259,131765,120143,121432,-154537,135301,76253,214974,105443,116495,40103,33882,9678,
"Taxation",16321,23110,13858,33560,20248,36384,22161,42994,24538,32253,10473,9627,2564,
"Profit For The Period",43938,108655,106285,87872,-174785,98917,54092,171980,80905,84242,29630,24255,7114,
"Income Attributable To Minority Interests",13522,21430,9492,25062,14512,33400,16845,33634,19801,2214,391,,,
"Attributable Income Before Extraordinary Items",30416,87225,96793,62810,-189297,65517,37247,138346,61104,82028,29239,24255,7114,
"Extraordinary Profit",1199,2876,-4221,-296845,-167,-2180,-342,1159,267,8,,,1391,
"Extraordinary Profit: Discontinued Operations",,,,-298977,,-2180,,,,,,,,
"Extraordinary Profit: Exchange gain",,2876,,2132,,,,,,,,,,
"Extraordinary Profit: Other Comprehensive Income",1199,,-4221,,-167,,-342,1159,267,8,,,,
"Income Attributable To Equity Holders",31615,90101,92572,-234035,-189464,63337,36905,139505,61371,82036,29239,24255,8505,
"Total Comprehensive Income/Loss for the period",45137,111531,102064,-208973,-174952,96183,53750,173139,81172,84250,29630,,,
"Headline Earnings (Cont Ops)",30416,76830,96793,58674,36330,65517,37834,106040,58184,82028,29239,21454,7114,
"Enterprise Value (EV)",705856,838121,693697,684189,735728,673039,933144,1872794,2179440,2579172,1233122,707016,-11728,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Fixed Assets",3884,10868,5534,6045,6364,7325,8091,7806,3955,3847,2919,1837,1645,
"Right-of-use Asset",6628,,,,,,,,,,,,,
"Investments in Associates",74626,71885,71463,72804,105193,334309,310463,341764,355446,30716,21194,9907,749,
"Investments and Loans",7957,,,,,,,,,,,,,
"Goodwill",639987,590455,589990,589990,592991,557287,525212,551910,274185,288440,114511,24401,3119,
"Intangible Assets",137719,136308,112288,85161,90697,87222,80719,67677,45423,32402,6256,6612,555,
"Deferred Tax Asset",7742,6863,8073,7015,6421,4299,1988,2075,436,48,1606,526,432,
"Other Assets",51961,54082,23175,21675,17132,14660,11998,10744,796,796,1183,796,,
"Total Fixed Assets",930504,870461,810523,782690,818798,1005102,938471,981976,680241,356249,147669,44079,6500,
"Stock",,,,,,,,,,,,,3832,
"Debtors",61500,59315,55037,49682,70856,69764,84455,81602,78453,43237,24682,21895,7862,
"Cash",73135,72026,113619,66204,69509,93672,76838,78187,166848,314487,218420,303108,11728,
"Tax",528,4901,2190,2338,2029,2288,10096,6107,5648,4093,83,,,
"Other Current Assets",44161,49966,59004,77709,478728,361177,329834,139837,19244,115341,20852,8615,,
"Total Current Assets",179324,186208,229850,195933,621122,526901,501223,305730,270193,477158,264037,333618,23423,
"Total Assets",1109828,1056669,1040373,978623,1439920,1532003,1439694,1287706,950434,833407,411706,377697,29923,
"Ordinary Share Capital & Premium",996872,977808,972832,961332,938096,913902,909010,904010,727646,635945,331924,317164,8766,
"Distributable Reserves",-51138,-66707,-38688,-114991,-25197,183845,157755,149526,95170,70673,21196,20536,-3099,
"Other Capital",15640,17667,4612,5020,5712,6308,7175,5590,6884,4588,33316,15389,13060,
"Ordinary Shareholders' Interest",961374,928768,938756,851361,918611,1104055,1073940,1059126,829700,711206,386436,353089,18727,
"Minority Interest",17849,13206,17206,18585,27866,19259,18358,18366,24498,2423,1520,,,
"Total Shareholders' Interest",979223,941974,955962,869946,946477,1123314,1092298,1077492,854198,713629,387956,353089,18727,
"Non-Interest Bearing Loans",6306,,,,,,,,,,,,,
"Deferred Tax Liability",31446,32997,24391,21817,23327,19308,23889,16974,12476,9216,1845,847,,
"Other Long-Term Liabilities",29619,5535,10800,20844,41369,49983,35737,106020,33830,50394,,,,
"Total Long-Term Liabilities",67371,38532,35191,42661,64696,69291,59626,122994,46306,59610,1845,847,,
"Creditors and Provisions",49924,41064,27270,25956,9028,29066,17636,45038,38664,45690,10324,18057,4635,
"Tax",11204,6442,3442,4269,5338,14357,19256,10877,8586,11662,8012,1703,2438,
"Other Current Liabilities",2106,28657,18508,35791,414381,295975,250878,31305,2680,2816,3569,4001,4123,
"Total Current Liabilities",63234,76163,49220,66016,428747,339398,287770,87220,49930,60168,21905,23761,11196,
"Total Liabilities",130605,114695,84411,108677,493443,408689,347396,210214,96236,119778,23750,24608,11196,
"Total Equity and Liabilities",1109828,1056669,1040373,978623,1439920,1532003,1439694,1287706,950434,833407,411706,377697,29923,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Number of Shares in Issue (Actual)",216907000,211045000,210696000,206143000,199326000,197217000,194436000,193455000,176562000,166163000,142159000,140295000,62600000,
"Weighted Average Shares in Issue (Actual)",206702000,205095000,204044000,199657000,197529000,194310000,193436000,178120000,171793000,148967000,140304000,75888000,61933333,
"Fully Diluted Weighted Average Shares in Issue",207731000,106447000,205301000,200708000,198042000,194554000,194996000,182374000,172538000,150571000,141329000,78354000,61933333,
"Market Capitalisation (R'000)",754836,896941,790110,731808,777371,747452,991624,1932615,2321790,2891236,1450022,1010124,,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Earnings Per Share (ZARc)",14.7,42.6,47.4,-118.3,-95.8,32.6,19.3,77.7,35.6,55.1,20.8,32,11.5,
"Diluted Earnings Per Share (ZARc)",14.6,42.3,47.1,-117.7,-95.6,32.6,19.1,75.9,35.4,54.5,20.7,31,11.5,
"Headline Earnings Per Share (Cont Ops) (ZARc)",14.7,37.5,47.4,29.4,18.4,33.7,19.6,59.5,33.9,55.1,20.8,28.3,11.5,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",14.6,37.2,47.1,29.2,18.3,33.7,19.4,58.1,33.7,54.4,20.7,27.4,11.5,
"Interim Dividend (ZARc)",9,9,9,10.5,10.5,,,17,17,11,11,3,3,
"Final Dividend (ZARc)",,7,,10,,10,,15,,16,,12,,
"Dividend Per Share (ZARc)",9,16,9,20.5,10.5,10,,32,17,27,11,15,3,
"Distributions Per Share (ZARc)",9,16,9,20.5,10.5,10,,32,17,27,11,15,3,
"Net Asset Value Per Share (ZARc)",451,446,457,422,475,570,565,557,484,429.48,275,252,30,
"3 Year Beta",0.03,0.61,0.61,0.57,0.41,1.08,,,,,,,,
"Cash Generated Per Share",31.01,64.64,51.89,49.22,15.6,62.68,14.96,40.02,7.54,50.91,19.24,11.46,14.94,
"Net Asset Value Per Share (Base Currency)",451,446,457,422,475,570,565,557,484,429.48,275,252,30,
"Price at Period End (Base Currency)",348,425,375,355,390,379,510,999,1315,1740,1020,720,,
"JSE Market Price High (ZARc)",435,445,380,485,485,999,999,1750,1750,1899,1220,835,,
"JSE Market Price Low (ZARc)",290,280,280,308,308,351,504,856,1205,712,712,300,,
"JSE Market Price at Period End (ZARc)",348,425,375,355,390,379,510,999,1315,1740,1020,720,,
"JSE Volume Traded (Actual)",17937515,56189206,33478557,76978931,31557399,70784013,34820664,49086688,23518838,51126511,25626127,14247947,,
"JSE Rand Value Traded (Actual)",61313280,207576778,115648622,291545008,125296440,409700037,243103903,618325489,331203639,643406207,266255936,78362722,,
"12 Month HEPS",4.8,37.5,58.4,29.4,32.5,33.7,45.2,59.5,68.2,55.1,34.95,28.3,23,
"12 Month Dividend",16,16,19,20.5,20.5,10,10,32,34,27,23,15,15,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Sep 2020","3 Apr 2020","4 Sep 2019","28 Mar 2019","3 Sep 2018","26 Mar 2018","15 Aug 2017","22 Mar 2017","17 Aug 2016","17 Mar 2016","6 Aug 2015","18 Mar 2015","29 Sep 2014",
"Cash generated by operations",,,,,,,,,50227,102131,29358,25916,9451,
"Cash generated from operations after WC",73500,158988,121013,139486,55332,151240,42335,157260,,,,,,
"Net Cash flow from operating activities",67271,136428,109321,101464,31089,123615,29085,77415,13321,84599,27355,16079,9354,
"Net cash flow from investing activities",-58798,-38189,-963,-34053,-6886,-5771,27523,-258168,-185297,-308673,-96017,-22665,-2888,
"Net cash flow from financing activities",-7964,-92332,-61472,-95418,-48450,-102308,-57612,-55139,24504,235092,-16026,302696,-1738,
"Dividends paid",-23726,-60946,-32342,-63914,-30014,-61525,-45651,-110994,-66496,-33141,-16458,-2778,,
"Net increase(decrease) in cash & cash equivalents",509,5907,46886,-28007,-24247,15536,-1004,-235892,-147472,11018,-84688,296110,4729,
"Cash & Cash Equivalent beginning of period",72025,66204,66204,93672,93672,78184,78184,314486,314487,303110,303108,,,
