Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Mar 2014","Dec 2013","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"30 Jul 2020","6 Feb 2020","1 Aug 2019","7 Feb 2019","1 Aug 2018","31 Jan 2018","27 Jul 2017","10 Feb 2017","29 Jul 2016","12 Feb 2016","31 Jul 2015","13 Feb 2015","1 Aug 2014","9 May 2014","7 Feb 2014","7 Feb 2014","7 Nov 2013","1 Aug 2013","10 May 2013","6 Feb 2013","6 Feb 2013","31 Oct 2012","25 Jul 2012","10 May 2012","7 Feb 2012","6 Feb 2013","3 Nov 2011","27 Jul 2011","11 May 2011","8 Feb 2011","26 Oct 2010","28 Jul 2010","29 Apr 2010",
"Turnover",12014,41353,21743,45274,22868,39022,19151,32737,17006,31141,16443,34852,17927,9158,7739,32421,8792,15890,7766,32291,6885,7614,17792,9142,31453,7258,7620,16576,7777,30224,7227,16165,7507,
"Operating Expenses",,,,,,,,,,,,,,,,,8471,,,,6708,7741,,,,8108,,,,,,,,
"EBITDA (ProfileData Calc)",-881,-2846,310,4538,106,-2658,-1140,-2781,437,-7274,929,1373,945,849,-1849,-286,727,837,99,1224,-108,299,1091,,1703,203,,1663,,3704,,3304,,
"EBITDA (company calc)",-1256,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depreciation",272,819,389,817,355,953,437,1030,518,1346,676,1386,639,353,433,1544,376,736,373,1582,420,389,773,,1409,363,,699,,1360,,682,,
"Operating Income",-1528,-2359,-222,2777,1224,-1220,-983,-1092,-269,-4736,27,-301,159,395,-387,47,201,233,-208,-477,-583,-155,260,458,297,-285,-347,929,298,2151,365,2349,1106,
"Profit Before Exceptional Items",-1528,-2359,-222,2777,1224,-1220,-983,-1092,-269,-4736,27,-301,159,395,-387,47,201,233,-208,-477,-583,-155,260,458,297,-285,-347,929,298,2151,365,2349,1106,
"Amortisation",,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exceptional Item 1",309,-1390,-7,419,-1657,-2604,-604,-3024,-6,-4254,,,,,-1950,-1950,,,,,,,,,,,23,26,,,-188,114,,
"Exceptional Item 1: Impairment",,,,,,,,,,,,,,,,-1950,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",-1219,-3760,-229,3182,-433,-3824,-1587,-4116,-275,-8990,27,-301,159,395,-2337,-1903,201,233,-208,-477,-583,-155,260,458,297,-285,-324,955,298,2151,177,2463,1106,
"Interest Received",68,101,155,387,47,74,24,176,86,175,66,17,45,41,33,108,59,16,16,60,108,4,7,5,31,5,7,19,6,71,27,24,15,
"Interest Paid",1145,1070,627,2400,1353,1515,646,876,362,1208,418,605,252,108,74,368,71,212,70,334,83,108,201,91,168,106,97,13,-37,507,99,176,107,
"Net Interest Paid/(Received)",1077,969,472,2013,1306,1441,622,700,276,1033,352,588,207,67,41,260,12,196,54,274,-25,104,194,86,137,101,90,-6,-43,436,72,152,92,
"Income From Associates Before Tax",-2,-17,-5,138,137,139,-14,129,108,195,160,271,102,60,22,-35,91,-148,-82,59,-53,61,51,9,-34,120,-145,-10,-62,122,40,135,26,
"Income Before Tax",-2298,-4746,-706,1307,-1602,-5126,-2223,-4687,-443,-9828,-165,-618,54,388,-2356,-2198,280,-111,-344,-692,-611,-198,117,381,126,-266,-559,951,279,1837,145,2446,1040,
"Taxation",6,-70,-62,-63,,2,,19,7,-1193,-54,-460,69,66,-100,-51,32,29,-69,-184,-149,-50,15,102,118,-82,-97,297,95,492,81,669,295,
"Profit For The Period",-2304,-4676,-644,1370,-1602,-5128,-2223,-4706,-450,-8635,-111,-158,-15,322,-2256,-2147,248,-140,-275,-508,-462,-148,102,279,8,-184,-462,654,184,1345,64,1777,745,
