Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Turnover",9235,58060,21478,79297,31044,58587,24216,
"Cost of Sales",3084,12340,3820,25600,9602,19131,7763,
"Gross Profit",6151,45720,17658,53697,21442,39456,16454,
"Operating Expenses",9519,31240,10260,47899,19985,40256,,
"Operating Income",-1838,34259,9586,17827,9797,-1650,-2956,
"Profit Before Exceptional Items",-1838,34259,9586,17827,9797,-1650,-2956,
"Profit Before Interest And Tax",-1838,34259,9586,17827,9797,-1650,-2956,
"Interest Received",17,84,28,115,44,172,43,
"Interest Paid",66,2856,904,3272,2143,4414,1954,
"Net Interest Paid/(Received)",49,2772,876,3157,2099,4242,1911,
"Income From Associates Before Tax",,,,512,512,-113,,
"Income Before Tax",-1887,31488,8710,15181,8210,-6005,-4867,
"Taxation",-6272,10275,3424,4767,906,2042,336,
"Profit For The Period",4385,21213,5286,10414,7304,-8047,-5203,
"Income Attributable To Minority Interests",1609,8124,2288,5463,1630,3052,87,
"Attributable Income Before Extraordinary Items",2776,13089,2998,4951,5674,-11099,-5290,
"Income Attributable To Equity Holders",2776,13089,2998,4951,5674,-11099,-5290,
"Total Comprehensive Income/Loss for the period",-5857,6145,8315,10328,7241,-8015,-5191,
"Headline Earnings (Cont Ops)",309,4240,3472,-2513,-486,-10753,-5302,
"Enterprise Value (EV)",878415,906859,746443,659424,678828,780375,63896,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","1 Jun 2020","30 Sep 2019","30 Apr 2019","6 Sep 2018","6 Apr 2018","20 Oct 2017",
"Fixed Assets",92986,94803,87379,88954,88251,88439,88765,
"Right-of-use Asset",9967,12979,3518,,,,,
"Investments in Associates",,,,,,4370,3741,
"Investments and Loans",16455,22706,22984,23552,21877,22254,23983,
"Goodwill",3249,4241,8261,8261,8261,8414,8261,
"Intangible Assets",,,,,,,219,
"Deferred Tax Asset",951,790,498,1801,728,1343,814,
"Other Assets",1092,,,,,,,
"Long-Term Receivables",,1503,358,2914,425,503,222,
"Total Fixed Assets",124700,137022,122998,125482,119542,125323,126005,
"Stock",6486,4158,1020,5362,7800,7152,5598,
"Debtors",3831,6997,4314,8017,12969,10558,13465,
"Cash",8672,12482,9628,16363,8987,10544,4600,
"Other Current Assets",,,,,1208,3208,4570,
"Total Current Assets",18989,23637,14962,29742,30964,31462,28233,
"Total Assets",143689,160659,137960,155224,150506,156784,154238,
