Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Nov 2020","29 Jun 2020","16 Oct 2019","20 May 2019","15 Oct 2018","18 May 2018","30 Oct 2017","23 May 2017","20 Oct 2016","24 May 2016","21 Oct 2015","26 May 2015","22 Oct 2014","28 May 2014","17 Oct 2013","22 May 2013","17 Oct 2012","22 May 2012","12 Oct 2011","25 May 2011","13 Oct 2010","4 May 2010",
"Turnover",6110.733,12922.325,68.657,14526.509,7972.619,15325.391,7750.162,15804.081,7890.482,15585.751,7802.561,13322.398,6364.09,11802.415,5671.074,8616.842,4022.523,6423.229,2846.026,5384.566,2581.466,5050.358,
"Cost of Sales",5549.124,11452.501,6110.748,12530.028,6892.763,13097.63,6613.969,13470.873,6728.139,13069.007,6586.178,11126.945,5346.887,9891.844,4782.663,7056.563,3285.023,5188.742,2290.948,4264.774,2046.59,3953.341,
"Gross Profit",561.609,1469.824,787.909,1966.481,1079.856,2227.761,1136.193,2333.208,1162.343,2516.744,1216.383,2195.453,1017.203,1910.571,888.411,1560.279,737.5,1234.487,555.078,1119.792,534.876,1097.017,
"Operating Expenses",483.363,1225.278,681.856,1582.707,895.504,2149.209,1071.006,2033.273,1012.687,2180.302,1053.52,1842.361,825.541,1690.301,852.143,1339.777,624.516,1086.278,491.431,1014.088,483.614,969.839,
"EBITDA (ProfileData Calc)",144.601,-321.202,-319.871,472.763,221.075,-125.374,,244.651,,,,,,,,,,,,,,,
"EBITDA (company calc)",134.909,271.257,118.58,,,,,,,,,,,,,,,,,,,,
"Depreciation",64.294,141.998,64.096,79.416,36.864,128.589,,144.494,,,,,,,,,,,,,,,
"Operating Income",70.615,129.259,54.484,379.036,175.561,8.03,27.625,201.877,191.01,464.767,208.467,454.987,226.02,301.873,76.823,285.974,139.842,204.322,93.249,157.671,76.102,166.531,
"Profit Before Exceptional Items",70.615,129.259,54.484,379.036,175.561,8.03,27.625,201.877,191.01,464.767,208.467,454.987,226.02,301.873,76.823,285.974,139.842,204.322,93.249,157.671,76.102,166.531,
"Exceptional Item 1",,-614.088,-452.16,-27.278,1.999,-292.837,-22.776,-132.519,1.341,-117.052,-41.115,-63.47,0.986,-11.015,-0.17,-11.705,0.15,-0.907,0.1,-1.99,0.236,-1.373,
"Exceptional Item 1: Profit/ (Loss) on disposal of fixed assets",,,,,,,,,,,,,,,-0.17,,0.15,,0.1,,0.236,,
"Profit Before Interest And Tax",70.615,-484.829,-397.676,351.758,177.56,-284.807,4.849,69.358,192.351,347.715,167.352,391.517,227.006,290.858,76.653,274.269,139.992,203.415,93.349,155.681,76.338,165.158,
"Interest Received",9.692,21.943,13.709,21.031,7.072,16.614,4.199,9.085,7.891,23.669,12.025,12.536,2.831,9.881,5.079,2.89,1.629,3.677,1.947,3.182,0.735,12.859,
"Interest Paid",59.222,127.457,60.943,104.728,56.424,140.643,59.631,150.955,66.051,133.722,70.15,103.352,46.377,78.324,41.387,59.491,29.914,43.554,18.801,31.855,15.414,62.127,
