Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","31 Aug 2020","29 Nov 2019","3 Jun 2019","30 Nov 2018","29 Jun 2018","30 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016","22 Dec 2015","20 Nov 2015","28 Nov 2014","30 May 2014","29 Nov 2013","27 May 2013","6 Nov 2012","28 May 2012","17 Oct 2011","31 May 2011","9 Nov 2010","29 Jun 2010",
"Turnover",3264,12035,6385,13335,7881,17409,10942,21360,16011,37329,20672,40149,17827,35736,3143,6458,16342,31472,19136,42557,23142,105336,
"Cost of Sales",,,,,,116,38,42,287,839,1579,268,269,,,142,464,407,399,454,1213,1919,
"Gross Profit",,,,,,17293,10904,21318,15724,36490,19093,39881,17558,35736,3143,6600,15878,31065,18737,42103,21929,103417,
"Operating Expenses",4440,11212,6524,11017,,31348,12677,29477,21298,42836,20303,65508,25697,55496,6287,10655,14838,39962,22234,26147,21190,254643,
"EBITDA (ProfileData Calc)",-5015,-8417,-5036,-7819,,,,,,,,,,,,,,,,,,,
"Depreciation",333,727,68,59,,,,,,,,,,,,,,,,,,,
"Operating Income",-5349,-9148,-5105,-7882,-3502,-12456,-1735,-6387,-5261,-2436,-782,-18210,-6367,-18801,-1800,-3485,2597,13725,6842,23827,1756,-149321,
"Other Income",,,,,,,,,,,,,,,,,1557,22622,10339,7871,1017,1905,
"Profit Before Exceptional Items",-5349,-9148,-5105,-7882,-3502,-12456,-1735,-6387,-5261,-2436,-782,-18210,-6367,-18801,-1800,-3485,4154,13725,6842,23827,2773,-147416,
"Exceptional Item 1",,,,,,12242,-440,1577,,-1836,3772,-3610,-2237,-311,,,-1557,,-187,-10522,-10779,-139192,
"Profit Before Interest And Tax",-5349,-9148,-5105,-7882,-3502,-214,-2175,-4810,-5261,-4272,2990,-21820,-8604,-19112,-1800,-3485,2597,13725,6655,13305,-8006,-299318,
"Interest Received",1,4,1,4,1,27,,30,12,346,150,735,344,80,41,553,348,309,49,256,,72,
"Interest Paid",818,1201,400,1505,727,1114,657,2560,1794,3018,1750,8633,1596,3863,524,1175,990,3151,2799,7148,2347,10877,
"Net Interest Paid/(Received)",817,1197,399,1501,726,1087,657,2530,1782,2672,1600,7898,1252,3783,483,622,642,2842,2750,6892,2347,10805,
"Income From Associates Before Tax",,,,,-181,,,,,,,-2259,,1472,,,,,,,,,
"Income Before Tax",-6166,-10345,-5504,-9383,-4409,-1301,-2832,-7340,-7043,-6944,1390,-31977,-9856,-21423,-2283,-4107,1955,10883,3905,6413,-10353,-299318,
"Taxation",,,,10,,-4,-387,-26,-52,-34,536,1035,579,407,219,166,55,478,85,816,7,7179,
"Profit For The Period",-6166,-10345,-5504,-9393,-4409,-1297,-2445,-7314,-6991,-6910,854,-33012,-10435,-21830,-2502,-4273,1900,10405,3820,5597,-10360,-306497,
"Income Attributable To Minority Interests",,,,,-47,-47,-67,,,,,,,,,,,,,,146,,
"Attributable Income Before Extraordinary Items",-6166,-10345,-5504,-9393,-4362,-1250,-2378,-7314,-6991,-6910,854,-33012,-10435,-21830,-2502,-4273,1900,10405,3820,5597,-10506,-306497,
"Extraordinary Profit",,,,,,-1364,-1884,-4874,,,,,-11,-1983,-1577,2163,-1652,358,,-1971,,-5063,
"Extraordinary Profit: Discontinued Operations",,,,,,-1364,-1884,,,,,,-11,-1983,-1577,2163,-1652,,,,,,
"Income Attributable To Equity Holders",-6166,-10345,-5504,-9393,-4362,-2614,-4262,-12188,-6991,-6910,854,-33012,-10446,-23813,-4079,-2110,248,10763,3820,3626,-10506,-311560,
"Total Comprehensive Income/Loss for the period",-6166,-10345,-5504,-9393,-4409,-2661,-4118,-12188,,-6910,,-33012,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-6166,-10345,-5504,-9212,-4228,-1086,-2234,-7310,-6991,-6919,861,-5076,-10460,-21830,-3790,-2024,264,10181,4010,2305,-10360,-108342,
"Enterprise Value (EV)",20382,12405,49685,16998,14718,12132,18217,30252,32464,43658,50145,86105,50319,76125,62298,61299,80785,92950,60730,69796,104243,111479,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","31 Aug 2020","29 Nov 2019","3 Jun 2019","30 Nov 2018","29 Jun 2018","30 Nov 2017","31 May 2017","30 Nov 2016","31 May 2016","22 Dec 2015","20 Nov 2015","28 Nov 2014","30 May 2014","29 Nov 2013","27 May 2013","6 Nov 2012","28 May 2012","17 Oct 2011","31 May 2011","9 Nov 2010","29 Jun 2010",
"Fixed Assets",1637,1970,1551,343,354,400,524,605,791,879,1070,937,1105,1042,1145,899,979,770,1844,2288,2605,5859,
"Investments in Associates",,,,,,,,,,,,,3,2259,1663,787,,,,,,,
"Goodwill",,,,,,,4195,4679,8076,8076,8076,8076,8076,,,,,,,,,,
"Intangible Assets",391,440,468,554,540,921,2317,3775,4352,5155,5746,6479,8541,2844,2410,1792,729,,,,,,
"Deferred Tax Asset",,,,,26,26,700,697,335,381,,,,,,,,,,,,,
"Other Assets",,,,,,,,,,,,,,,,638,619,669,712,712,,,
"Total Fixed Assets",2028,2410,2019,897,920,1347,7736,9756,13554,14491,14892,15492,17725,6145,5218,4116,2327,1439,2556,3000,2605,5859,
"Stock",,,,,,,,15853,17695,18247,22688,22968,24748,24748,25168,21335,25560,25662,25304,25344,2068,6997,
"Debtors",6905,9161,14319,15387,20025,22851,26723,31193,32022,35981,38287,39835,53855,58525,75040,75885,72894,69723,73827,83481,82759,95488,
"Cash",1569,411,1064,2388,682,429,920,1983,1916,3005,10262,15397,18645,5358,7256,9014,19767,15451,8528,8155,7939,15898,
"Tax",,,,,,,,,,,397,,512,95,95,95,1639,9713,6961,6961,6961,6961,
"Other Current Assets",,,,,,,,,,312,354,724,1727,1554,1412,4429,300,300,1313,1500,48714,12429,
"Total Current Assets",8474,9572,15383,17775,20707,23280,27643,49029,51633,57545,71988,78924,99487,90280,108971,110758,120160,120849,115933,125441,148441,137773,
"Total Assets",10502,11982,17402,18672,21627,24627,35379,58785,65187,72036,86880,94416,117212,96425,114189,114874,122487,122288,118489,128441,151046,143632,
"Ordinary Share Capital & Premium",325257,324143,324143,323323,313943,313943,313943,313943,313943,313943,313943,313943,313943,284634,284634,284634,284634,284634,256107,256107,256107,256107,
"Distributable Reserves",,,,,,,,,,,,,,,,,,97,113,105,452,452,
"Non-Distributable Reserves",-333211,-327045,-322204,-316700,-310586,-305825,-307540,-303630,-298433,-291442,-283678,-284532,-261966,-251520,-230909,-227707,-219025,-219370,-226321,-230133,-244771,-234265,
