Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","24 Feb 2020","29 Aug 2019","25 Feb 2019","25 Sep 2018","27 Feb 2018","26 Sep 2017","20 Feb 2017","23 Aug 2016","23 Feb 2016","18 Aug 2015","17 Feb 2015","26 Aug 2014","25 Feb 2014","10 Sep 2013","15 Mar 2013","5 Sep 2012","14 Mar 2012","5 Sep 2011","14 Mar 2011","8 Sep 2010",
"Turnover",20878,11185,25676,13367,30580,16111,23456,14296,33755,17998,43930,23864,52959,27654,51704,24987,40886,19149,34324,16892,33981,
"Cost of Sales",19907,10415,24628,12770,28782,14987,26591,13336,,,,,,,,,,,,,,
"Gross Profit",971,770,1048,597,1798,1124,-3135,960,,,,,,,,,,,,,,
"Operating Expenses",1647,886,2247,1125,2292,1060,2305,1039,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",296,,-170,,,,,,,,,,,,,1275,2279,1203,2921,1248,3675,
"Depreciation",885,,742,,,,,,,,,,,,,668,1479,719,1101,531,1063,
"Operating Income",-532,14,-1119,-484,-401,94,-5395,-164,146,52,-288,413,799,510,627,516,504,332,1490,513,2091,
"Non Trading Income",,,,,,,,,,,,,,,,2,31,,-14,,-13,
"Other Income",,,,,,,,,,443,,181,,,173,108,226,133,347,197,472,
"Profit Before Exceptional Items",-532,14,-1119,-484,-401,94,-5395,-164,146,495,-288,594,799,510,800,626,761,465,1823,710,2550,
"Amortisation",,,,,,,,,,,621,,831,,,,,,,,,
"Exceptional Item 1",-86,81,27,-109,-2504,-137,-511,-119,34,,610,,,,,,,,,,,
"Profit Before Interest And Tax",-618,95,-1092,-593,-2905,-43,-5906,-283,180,495,-299,594,-32,510,800,626,761,465,1823,710,2550,
"Interest Received",32,85,181,89,246,191,198,98,211,105,177,72,136,57,,,,,,,,
"Interest Paid",461,302,524,281,434,209,405,207,327,150,316,179,319,140,162,54,76,28,59,20,17,
"Net Interest Paid/(Received)",429,217,343,192,188,18,207,109,116,45,139,107,183,83,162,54,76,28,59,20,17,
"Income From Associates Before Tax",,,,,,,,,,,,,,,-12,-16,41,15,-7,7,61,
"Income Before Tax",-1047,-122,-1435,-785,-3093,-61,-6113,-392,64,450,-438,487,-215,427,626,556,726,452,1757,697,2594,
