Income statement (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Jul 2020","20 Feb 2020","25 Jul 2019","21 Feb 2019","26 Jul 2018","22 Feb 2018","27 Jul 2017","21 Feb 2017","28 Jul 2016","16 Feb 2016","24 Jul 2015","13 Feb 2015","25 Jul 2014","14 Feb 2014","26 Jul 2013","15 Feb 2013","27 Jul 2012","17 Feb 2012","29 Jul 2011","18 Feb 2011","30 Jul 2010",
"Turnover",12474,29870,14772,27610,13698,26243,12122,21378,9936,20455,11558,27073,14221,29342,14405,28680,13636,30580,15237,27960,12590,
"Operating Expenses",10708,23694,11424,21541,11267,20714,9558,19712,9970,24567,13268,26935,11399,26935,12169,30280,10746,21141,9754,19294,9001,
"Operating Income",1766,6176,3348,6069,2431,5529,2564,1666,-34,-4112,-1710,138,2822,2407,2236,-1600,2890,10599,5483,11067,3589,
"Profit Before Exceptional Items",1766,6176,3348,6069,2431,5529,2564,1666,-34,-4112,-1710,138,2822,2407,2236,-1600,2890,10599,5483,11067,3589,
"Exceptional Item 1",-8,-18,-18,-112,-54,-66,-170,909,-203,-750,-76,-285,138,-562,-110,1220,-101,210,417,94,-92,
"Profit Before Interest And Tax",1758,6158,3330,5957,2377,5463,2394,2575,-237,-4862,-1786,-147,2960,1845,2126,-380,2789,10809,5900,11161,3497,
"Interest Received",55,268,151,261,135,268,128,306,87,172,97,242,127,271,,418,,668,,568,,
"Interest Paid",303,669,343,757,437,793,369,535,263,543,268,562,274,584,,630,,695,,801,,
"Net Interest Paid/(Received)",248,401,192,496,302,525,241,229,176,371,171,320,147,313,209,212,61,27,-66,233,-22,
"Income From Associates Before Tax",45,389,247,728,366,567,266,278,49,-221,37,208,132,168,77,421,307,,605,,384,
"Income Before Tax",1555,6146,3385,6189,2441,5505,2419,2624,-364,-5454,-1920,-259,2945,1700,1994,-171,3035,10782,6571,10928,3903,
"Taxation",738,1564,889,1816,796,1446,645,698,318,388,821,1265,830,1274,841,393,1028,2860,1556,2809,1216,
"Profit For The Period",817,4582,2496,4373,1645,4059,1774,1926,-682,-5842,-2741,-1524,2115,426,1153,-564,2007,7922,5015,8119,2687,
"Income Attributable To Minority Interests",346,1035,613,824,355,893,359,332,131,-218,274,989,651,1387,750,906,753,1753,1027,1575,626,
"Attributable Income Before Extraordinary Items",471,3547,1883,3549,1290,3166,1415,1594,-813,-5624,-3015,-2513,1464,-961,403,-1470,1254,6169,3988,6544,2061,
"Income Attributable To Equity Holders",471,3547,1883,3549,1290,3166,1415,1594,-813,-5624,-3015,-2513,1464,-961,403,-1470,1254,6169,3988,6544,2061,
"Total Comprehensive Income/Loss for the period",-1280,4712,2609,2260,277,5886,2515,2807,19,-9808,-3757,,,,,,,,,,,
"Headline Earnings (Cont Ops)",606,3459,1888,2590,1307,2920,1386,1896,443,369,216,1535,1466,1312,646,1218,1456,5913,,5145,,
"Enterprise Value (EV)",560713.548,556021.814,575670.343,450087.25,441084.978,369346.689,237967.36,263715.8,197085,104773.11,245519.2,294030.72,383133.005,337689.135,284410.005,379513.342,340174,421254.884,481312.334,424428,337296.95,

Balance sheet (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Jul 2020","20 Feb 2020","25 Jul 2019","21 Feb 2019","26 Jul 2018","22 Feb 2018","27 Jul 2017","21 Feb 2017","28 Jul 2016","16 Feb 2016","24 Jul 2015","13 Feb 2015","25 Jul 2014","14 Feb 2014","26 Jul 2013","15 Feb 2013","27 Jul 2012","17 Feb 2012","29 Jul 2011","18 Feb 2011","30 Jul 2010",
"Fixed Assets",33547,34201,32080,30898,29074,30643,29246,28719,29327,29621,35067,38475,43127,41505,42146,44731,40922,40549,41433,39810,34703,
"Investments in Associates",1208,1333,1682,1715,1830,1956,1863,1974,1893,1817,2553,4376,4719,4612,4671,3162,5498,5240,5301,4900,4027,
"Investments and Loans",359,434,430,396,443,561,787,835,1065,846,1315,1266,1493,1446,1722,2389,3041,2896,3555,3220,2918,
"Intangible Assets",2917,3086,3082,3087,3200,3323,3316,3217,3403,3394,3802,3912,4066,4083,4190,4569,2258,2322,2341,2316,2551,
"Deferred Tax Asset",756,1057,897,910,1185,1191,1040,1013,969,914,916,1351,1314,1364,1203,1204,602,530,534,389,285,
"Other Assets",2207,1966,1975,1878,1898,2154,1928,1942,1990,1624,1717,2322,2171,1996,1613,1934,1227,1603,1425,1343,1177,
"Other Assets: Derivative financial assets",624,347,343,209,180,,361,484,661,460,,986,,604,,747,,,,,,
"Other Assets: Derivative financial instruments",,,,,,309,,,,,,,,,,,,,,,,
"Other Assets: Environmental Rehabilitation provisions",,,,,,,385,,,,,,,,,,,,,,,
"Other Assets: Environmental rehabilitation trust funds",237,301,323,303,333,421,,353,321,290,,358,,348,,392,,360,,379,,
"Other Assets: Other financial assets",,,,,,,,,,,,,,,,,,668,,465,,
"Other Assets: other non-current assets",793,642,612,658,664,487,299,293,426,335,,233,,,,,,,,,,
"Other Assets: other non-cuurent assets",,,,,,,,,,,,,,247,,235,,138,,178,,
"Other Assets: Trade and other receivables",553,676,697,708,721,937,883,812,582,539,,745,,797,,560,,437,,321,,
"Long-Term Receivables",,,,,,,,,,,,,,,,,485,,,,,
"Total Fixed Assets",40994,42077,40146,38884,37630,39828,38180,37700,38647,38216,45370,51702,56890,55006,55545,57989,54033,53140,54589,51978,45661,
"Stock",5600,4962,4680,4466,4312,4441,4124,3727,3571,4051,4630,4720,4633,4789,4930,5002,3899,3517,3770,3604,3368,
"Debtors",2565,2386,2608,2026,1928,2136,2078,2232,1898,1983,2326,2568,2844,3351,2849,3243,3674,3674,4430,3731,3745,
"Cash",6321,6345,7133,6567,6277,7800,7408,6051,5761,6895,7033,6748,8452,7704,8103,9080,11237,11732,6805,6401,2868,
"Tax",54,130,107,121,129,146,97,330,337,152,124,125,118,226,313,470,152,207,270,235,147,
"Other Current Assets",294,252,124,132,248,210,85,109,128,716,2130,147,135,89,934,3353,749,172,488,707,1350,
"Other Current Assets: Assets classified as held for sale",,,,,,,,,,,,,,,,3150,,,,,,
"Other Current Assets: Derivative financial assets",,,,,,,,,,,,,,70,,101,,,,,,
"Other Current Assets: Financial Assets",,,,,,,,,,,,,,19,,102,,,,,,
"Total Current Assets",14834,14075,14652,13312,12894,14733,13792,12449,11695,13797,16243,14308,16182,16159,17129,21148,19711,19302,15763,14678,11478,
"Total Assets",55828,56152,54798,52196,50524,54561,51972,50149,50342,52013,61613,66010,73072,71165,72674,79137,73744,72442,70352,66656,57139,
"Ordinary Share Capital & Premium",5106,5111,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5129,5129,5129,3452,3452,3451,3451,
"Treasury Shares",6094,6195,6188,6315,6244,6191,,6090,,,,,,,,,,,,,,
"Distributable Reserves",35994,36274,36164,35302,33514,32735,25298,29976,21543,22250,24990,28492,32730,31913,33619,33684,35629,35357,30697,27146,23324,
"Other Capital",-12138,-10395,-10461,-10519,-10007,-8702,-9444,-10000,-10260,-10811,-8220,-7205,-5360,-5372,-4558,-1202,-177,283,3548,3642,587,
"Ordinary Shareholders' Interest",22868,24795,24645,23598,22393,22972,20984,19016,16413,16569,21900,26417,32500,31671,34190,37611,40581,39092,37697,34239,27362,
"Minority Interest",6005,6590,6605,6234,5585,5910,5493,5309,5015,4773,5764,5760,5930,5693,5797,6127,4081,4097,3942,3732,2835,
"Total Shareholders' Interest",28873,31385,31250,29832,27978,28882,26477,24325,21428,21342,27664,32177,38430,37364,39987,43738,44662,43189,41639,37971,30197,
"Interest Bearing Loans",11638,9744,9780,8371,8441,10620,11056,11363,14546,16318,18177,16917,17686,15740,12955,15150,12957,11855,12497,11904,10076,
"Deferred Tax Liability",3265,3922,3851,3676,3911,4188,3709,3520,3678,3253,4496,4498,4779,4657,5218,6051,6063,5730,6059,5641,4989,
"Retirement Obligation",564,651,619,609,630,695,801,778,720,667,968,1073,1240,1204,1187,1409,533,639,566,591,705,
"Other Long-Term Liabilities",3424,3222,2940,2872,2695,2825,2953,3638,4565,4577,5234,4618,3414,3849,3544,3232,3524,2851,2338,2667,2666,
"Other Long-Term Liabilities: Derivative financial instruments",,,,,,,,,,,,1785,,,,,,,,,,
"Other Long-Term Liabilities: Derivative financial liabilities",469,522,544,613,635,460,788,1603,1762,1986,,,,1139,,801,,,,,,
"Other Long-Term Liabilities: Liabilities held for sale",14,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Liabilities held-for-sale",,17,,,,41,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Other non-current liabilities",,,,,,,,,,,,,,,,29,,,,,,
"Other Long-Term Liabilities: Provisions",2469,2557,2256,2114,1971,2235,2079,1919,2773,2565,,2808,,2688,,2384,,,,,,
"Other Long-Term Liabilities: Royalty liabilities",321,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Trade and other payables",151,126,140,145,89,89,86,116,30,26,,25,,22,,18,,,,,,
"Total Long-Term Liabilities",18891,17539,17190,15528,15677,18328,18519,19299,23509,24815,28875,27106,27119,25450,22904,25842,23077,21075,21460,20803,18436,
"Creditors and Provisions",5101,5889,5270,5315,4785,5063,4252,4005,3330,3390,3843,4195,4469,5137,4420,5054,4791,5470,5386,5396,4393,
"Tax",379,194,408,818,604,601,520,442,323,340,261,375,545,734,609,819,350,1528,749,871,536,
"Bank Overdrafts/Short-Term Loans",2345,990,578,600,1253,1351,1879,1806,1395,1649,764,1618,2196,2108,4122,2485,674,1018,1061,1535,3121,
"Other Current Liabilities",239,155,102,103,227,336,325,272,357,477,206,539,313,372,632,1199,190,162,57,80,456,
"Other Current Liabilities: Derivative financial liabilities",,,,,,,,,,,,,,,,280,,,,,,
"Other Current Liabilities: Liabilities held for sale",,,,,,,,,,,,,,,,919,,,,,,
"Other Current Liabilities: Liabilities held-for-sale",,,,,,,,,,,,,,372,,,,,,,,
"Total Current Liabilities",8064,7228,6358,6836,6869,7351,6976,6525,5405,5856,5074,6727,7523,8351,9783,9557,6005,8178,7253,7882,8506,
"Total Liabilities",26955,24767,23548,22364,22546,25679,25495,25824,28914,30671,33949,33833,34642,33801,32687,35399,29082,29253,28713,28685,26942,
"Total Equity and Liabilities",55828,56152,54798,52196,50524,54561,51972,50149,50342,52013,61613,66010,73072,71165,72674,79137,73744,72442,70352,66656,57139,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
