Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","30 Mar 2020","11 Oct 2019","11 Apr 2019","15 Oct 2018","29 Mar 2018","13 Oct 2017","17 Mar 2017","13 Oct 2016","31 Mar 2016","1 Oct 2015","27 Mar 2015","26 Sep 2014","27 Mar 2014","30 Sep 2013","28 Jun 2013","14 Jan 2013","22 Jun 2012","15 Nov 2011","30 Jun 2011","17 Dec 2010","1 Jul 2010",
"Turnover",196492,93125,177106,92184,155779,82626,165495,91544,142305,80691,140707,78187,122936,62660,136586,108914,59899,106640,51995,88284,42855,77545,
"Cost of Sales",122360,56876,105298,55060,94099,50272,108651,62414,96603,47130,81490,44610,85266,43588,84002,69381,38657,64860,31187,55742,25224,50778,
"Gross Profit",74132,36249,71809,37124,61681,32354,56844,29130,45702,33561,59217,33577,37670,19072,52584,39533,21241,41780,20808,32543,17632,26767,
"Operating Expenses",60057,29754,60402,31594,58667,28234,53777,27271,45632,31664,55238,31151,49711,24611,49723,39949,20996,36953,18002,34265,16060,26156,
"EBITDA (ProfileData Calc)",19510,,17947,7108,7110,6032,,,,,,,,,,,1684,,3835,,2527,3479,
"Depreciation",4060,,3827,1157,2317,1446,,,,,,,,,,,1122,,915,,620,1240,
"Operating Income",14862,6763,12318,5603,3648,4279,4526,2656,3289,1969,4295,2403,-11772,-5448,3333,100,560,5107,2916,-1721,1572,612,
"Other Income",,,,,,,,,,,,,,,,,,,,134,93,1283,
"Profit Before Exceptional Items",14862,6763,12318,5603,3648,4279,4526,2656,3289,1969,4295,2403,-11772,-5448,3333,100,560,5107,2916,-1587,1665,1895,
"Profit Before Interest And Tax",14862,6763,12318,5603,3648,4279,4526,2656,3289,1969,4295,2403,-11772,-5448,3333,100,560,5107,2916,-1587,1665,1895,
"Interest Received",588,695,1802,348,1145,307,714,1,7,,1,1,1,1,22,22,2,10,4,474,242,344,
"Interest Paid",5005,2484,5816,1682,3403,1367,3031,1453,1794,1010,1469,1927,1217,492,1315,1062,550,1217,609,1335,697,1543,
"Net Interest Paid/(Received)",4417,1789,4014,1334,2258,1060,2317,1452,1787,1010,1468,1926,1216,491,1293,1040,548,1207,605,861,455,1199,
"Income Before Tax",10445,4974,8304,4269,1390,3219,2209,1204,1502,959,2827,477,-12988,-5939,2040,-940,12,3900,2311,-2448,1210,696,
"Taxation",2322,1393,2377,1195,307,901,892,337,-91,250,893,,-7545,,250,,,,,,,-450,
"Profit For The Period",8123,3581,5927,3074,1083,2318,1317,867,1593,709,1934,477,-5443,-5939,1790,-940,12,3900,2311,-2448,1210,1146,
"Attributable Income Before Extraordinary Items",8123,3581,5927,3074,1083,2318,1317,867,1593,709,1934,477,-5443,-5939,1790,-940,12,3900,2311,-2448,1210,1146,
"Extraordinary Profit",,,,,,,,,,,-552,,948,47,236,,,-244,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,-552,,948,47,236,,,-244,,,,,
"Income Attributable To Equity Holders",8123,3581,5927,3074,1083,2318,1317,867,1593,709,1382,477,-4495,-5892,2026,-940,12,3656,2311,-2448,1210,1146,
"Total Comprehensive Income/Loss for the period",8123,3581,5926,3074,1083,2318,1317,867,1593,709,1382,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",,3579,6016,3154,1071,2318,1317,867,1593,709,1382,477,-4495,-5893,1986,-980,12,3980,2311,-2448,1210,1201,
"Enterprise Value (EV)",24448,14646,23162,21686,53427,38821,40933,34732,41207,44687,36822,41601,27100,26240,11086,12696,26060,17292,24374,10978,18212,19913,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","30 Mar 2020","11 Oct 2019","11 Apr 2019","15 Oct 2018","29 Mar 2018","13 Oct 2017","17 Mar 2017","13 Oct 2016","31 Mar 2016","1 Oct 2015","27 Mar 2015","26 Sep 2014","27 Mar 2014","30 Sep 2013","28 Jun 2013","14 Jan 2013","22 Jun 2012","15 Nov 2011","30 Jun 2011","17 Dec 2010","1 Jul 2010",
"Fixed Assets",43958,36864,37781,46246,47412,44786,42859,36792,35546,30291,30588,20896,16583,12799,10983,7864,5719,12565,13522,14144,12449,11550,
"Right-of-use Asset",27729,,31871,,,,,,,,,,,,,,,,,,,,
"Intangible Assets",81,81,81,81,81,73,73,73,73,73,73,69,208,347,486,555,694,833,1110,1110,1110,1110,
"Deferred Tax Asset",1057,1987,3380,4561,5757,5163,6064,6619,6956,6615,6865,7744,7744,199,199,450,450,450,450,450,450,450,
"Other Assets",,30159,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",72825,69091,73113,50888,53250,50022,48996,43484,42575,36979,37526,28709,24535,13345,11668,8869,6863,13848,15082,15704,14009,13110,
