Income statement (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Turnover",21298,52329,25823,53304.1,27087,56444,27104,45517,20206,43604,
"Cost of Sales",9097,20362,9953,19933,10165,21386,10674,17803,8002,17137,
"Gross Profit",12201,31967,15869,33108,16922,35058,16430,27715,12204,26467,
"Operating Expenses",7257,,8077,17107,8839,18099,8779,15171,6711,13732,
"EBITDA (company calc)",7363,,,,,,,,,,
"Operating Income",5102,16421,8180,17106,8485,17152,8059,12882,5915,13904,
"Profit Before Exceptional Items",5102,16421,8180,17106,8485,17152,8059,12882,5915,13904,
"Exceptional Item 1",-4183,-323,1098,-692,-690,-693,-286,,-141,,
"Profit Before Interest And Tax",919,16098,9278,16414,7795,16459,7773,12882,5774,13904,
"Interest Received",193,1400,1339,435,224,378,128,652,366,1178,
"Interest Paid",4397,4873,2708,9261,3102,6192,3459,9216,4479,2631,
"Net Interest Paid/(Received)",4204,3473,1369,8826,2878,5814,3331,8564,4113,1453,
"Income From Associates Before Tax",33,152,62,153,93,430,124,16,3,10,
"Income Before Tax",-3252,12776,7971,7741,5010,11076,4566,4334,1664,12461,
"Taxation",492,2786,1565,2585,1420,1920,994,1613,835,2594,
"Profit For The Period",-3744,9990,6406,5157,3590,9155,3572,2721,829,9867,
"Income Attributable To Minority Interests",211,1243,587,1318,636,1187,692,1528,544,1594,
"Attributable Income Before Extraordinary Items",-3955,8747,5819,3839,2954,7968,2880,1193,285,8273,
"Extraordinary Profit",2055,424,,531,,28,28,48,,,
"Extraordinary Profit: Discontinued Operations",2055,424,,531,,28,28,,,,
"Income Attributable To Equity Holders",-1900,9171,5819,4370,2954,7996,2908,1241,285,8273,
"Total Comprehensive Income/Loss for the period",-15239,10912,8154,-2068,218,10223,6437,1309,-3935,1116,
"Headline Earnings (Cont Ops)",-1181,9168,6045,4349,2942,7950,2935,1001,271,7969,
"Enterprise Value (EV)",1797670,2396730.36,2579103.4,2000065.75,2856391.5,2812552.3,2969770,2625558.43,3233096.71,46125,

Balance sheet (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Fixed Assets",24718,27544,27517,27615,25451,27184,26372,26219,19309,18952,
"Investments in Associates",5788,5861,5990,6136,6319,5263,4909,4324,286,212,
"Investments and Loans",113,110,123,108,112,100,82,82,49,48,
"Goodwill",115080,128114,134752,133311,136752,140940,141691,135864,65210,65061,
"Intangible Assets",40049,42452,45195,44831,45392,45874,45916,44789,29634,29677,
"Deferred Tax Asset",1958,1719,1820,1517,1601,1216,1516,1261,1201,1181,
"Other Assets",311,146,110,307,48,47,69,156,218,297,
"Long-Term Receivables",1216,1888,1771,1761,1280,1542,901,874,789,913,
"Total Fixed Assets",189233,207834,217278,215586,216954,222166,221456,213569,116696,116341,
"Stock",4339,4427,4658,4234,4200,4119,4279,3889,3282,2862,
"Debtors",5276,6187,6546,6375,6541,6566,6216,6352,6534,4451,
"Cash",25018,7238,8179,7074,7970,10472,7410,8579,6050,6923,
"Tax",805,627,304,457,1044,908,1820,1112,994,687,
"Other Current Assets",777,10335,369,142,688,1895,10756,23088,57573,3371,
"Total Current Assets",36215,28814,20056,18282,20443,23960,30481,43017,74433,18294,
"Total Assets",225448,236648,237334,233868,237397,246126,251937,256586,191129,134635,
"Ordinary Share Capital & Premium",19356,19356,19356,19356,19356,19356,19356,19356,19356,19356,
"Distributable Reserves",27605,31484,29831,26068,26017,28394,26877,28214,32587,35949,
"Non-Distributable Reserves",13104,24882,21046,19061,23137,24835,26481,23769,-18053,-13168,
"Ordinary Shareholders' Interest",60065,75722,70233,64485,68510,72585,72714,71339,33890,42137,
"Minority Interest",8282,8831,7898,7404,7054,7635,10765,10086,3847,3582,
"Total Shareholders' Interest",68347,84553,78131,71889,75564,80220,83479,81425,37737,45719,
"Interest Bearing Loans",106034,97564,101672,106997,110949,108949,108281,113941,101045,43541,
"Deferred Tax Liability",12060,12824,13396,13165,13263,13107,16899,14703,11890,11961,
"Share Incentive Scheme",,,,,2828,2993,3026,3014,2678,2725,
"Other Long-Term Liabilities",7987,6866,6860,6991,4140,4646,3267,3134,2432,2233,
"Total Long-Term Liabilities",126081,117254,121928,127153,131180,129695,131473,134792,118045,60460,
"Creditors and Provisions",19071,23074,22285,23334,21430,25647,22162,24285,17729,17882,
"Tax",909,1346,1115,1220,1002,1558,836,3845,430,669,
"Bank Overdrafts/Short-Term Loans",6637,5478,11068,4698,6046,7550,11484,8802,7641,5925,
"Other Current Liabilities",4403,4943,2807,5574,2174,1457,2504,3437,9547,3980,
"Total Current Liabilities",31020,34841,37275,34826,30653,36211,36986,40369,35347,28456,
"Total Liabilities",157101,152095,159203,161979,161833,165906,168459,175161,153392,88916,
"Total Equity and Liabilities",225448,236648,237334,233868,237397,246126,251937,256586,191129,134635,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","27 Feb 2020","25 Jul 2019","28 Feb 2019","26 Jul 2018","1 Mar 2018","27 Jul 2017","2 Mar 2017","29 Jul 2016","25 Feb 2016",
"Exchange Rate (period end)",17.33,14.04,14.17,14.37,13.77,12.35,13.05,13.71,14.87,15.19,
"Exchange Rate (weighted average)",16.66,14.52,14.18,13.11,12.12,13.34,13.29,14.02,15.41,12.74,
