Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","31 Mar 2020","30 Sep 2019","25 Mar 2019","7 Sep 2018","9 Mar 2018","8 Sep 2017","10 Mar 2017","8 Sep 2016","4 Mar 2016","7 Sep 2015","10 Mar 2015","8 Sep 2014","6 Mar 2014","6 Sep 2013","7 Mar 2013","7 Sep 2012","8 Mar 2012","8 Sep 2011","4 Mar 2011","8 Sep 2010",
"Turnover",578746,378175,678873,349567,587632,307987,528759,280656,558229,296097,536217,276336,500843,265128,483517,256743,541310,286245,518506,290126,470839,
"Cost of Sales",302349,185361,321767,158739,267730,145578,237200,121463,248937,128640,225698,121537,249774,138432,231176,130774,246182,127770,221987,136819,200760,
"Gross Profit",276397,192814,357106,190828,319902,162409,291559,149277,288651,157402,290338,147123,242305,122706,243262,121199,284411,153170,286091,148092,260179,
"Operating Expenses",375600,164930,352510,,322834,,,,,,,,,,,,,,,,,
"Operating Income",-76665,36898,21809,30978,12768,8878,-781,3584,9277,15789,28670,15073,-18548,-5712,-20350,-13058,24979,20051,43093,26668,37191,
"Other Income",29,24,27,23,45,22,21,20,20,20,18,18,16,16,13,12,13,13,12,12,16,
"Profit Before Exceptional Items",-76636,36922,21836,31001,12813,8900,-760,3604,9297,15809,28688,15091,-18532,-5696,-20337,-13046,24992,20064,43105,26680,37207,
"Profit Before Interest And Tax",-76636,36922,21836,31001,12813,8900,-760,3604,9297,15809,28688,15091,-18532,-5696,-20337,-13046,24992,20064,43105,26680,37207,
"Interest Received",22770,11750,12268,3262,4687,1792,4549,2280,5445,2583,3604,1324,3630,1860,6458,3533,8140,3957,8802,4451,8761,
"Interest Paid",45114,21880,3325,75,71,99,163,111,222,115,214,140,251,153,241,182,331,174,367,122,359,
"Net Interest Paid/(Received)",22344,10130,-8943,-3187,-4616,-1693,-4386,-2169,-5223,-2468,-3390,-1184,-3379,-1707,-6217,-3351,-7809,-3783,-8435,-4329,-8402,
"Income From Associates Before Tax",-4473,-3574,16090,11705,,,,,,,,,,,,,,,,,,
