Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","29 Jul 2020","4 Dec 2019","20 Jun 2019","26 Nov 2018","20 Jun 2018","20 Nov 2017","14 Jun 2017","8 Nov 2016","27 Jun 2016","17 Nov 2015","22 Jun 2015","20 Nov 2014","23 Jun 2014",
"Turnover",415.912,1085.621,555.033,1234.326,636.037,1206.439,633.226,1099.957,514.069,886.759,455.745,748.812,344.903,221.302,
"Cost of Sales",159.148,360.963,,,,,,,,,,,,,
"Gross Profit",256.764,724.658,,,,,,,,,,,,,
"Operating Expenses",24.941,54.154,26.006,46.677,24.304,77.334,26.689,286.314,26.441,225.114,20.88,205.75,98.842,65.697,
"Operating Income",231.823,670.504,339.371,812.991,423.017,822.589,437.513,697.783,349.221,622.809,319.82,507.21,231.568,147.298,
"Profit Before Exceptional Items",231.823,670.504,339.371,812.991,423.017,822.589,437.513,697.783,349.221,622.809,319.82,507.21,231.568,147.298,
"Exceptional Item 1",-144.314,-1259.923,-174.529,56.743,52.103,558.148,27.162,469.463,-32.594,383.746,-1.027,393.112,-101.345,455.391,
"Profit Before Interest And Tax",87.509,-589.419,164.842,869.734,475.12,1380.737,464.675,1167.246,316.627,1006.555,318.793,900.322,130.223,602.689,
"Interest Received",24.415,42.321,21.884,37.88,31.777,37.228,36.345,34.094,16.87,14.247,6.652,12.743,5.261,1.607,
"Interest Paid",195.32,350.396,164.642,341.781,178.028,334.768,180.155,299.032,139.314,215.77,113.801,172.016,,51.485,
"Net Interest Paid/(Received)",170.905,308.075,142.758,303.901,146.251,297.54,143.81,264.938,122.444,201.523,107.149,159.273,-5.261,49.878,
"Income Before Tax",-83.396,-897.494,22.084,565.833,328.869,1083.197,320.865,902.308,194.183,805.032,211.644,741.049,135.484,552.811,
"Taxation",,0.399,,,,-4.549,0.883,0.423,,,,,,,
"Profit For The Period",-83.396,-897.893,22.084,565.833,328.869,1087.746,319.982,901.885,194.183,805.032,211.644,741.049,135.484,552.811,
"Income Attributable To Minority Interests",,1.972,1.351,2.477,1.97,1.93,1.169,3.513,,,,,,,
"Attributable Income Before Extraordinary Items",-83.396,-899.865,20.733,563.356,326.899,1085.816,318.813,898.372,194.183,805.032,211.644,741.049,135.484,552.811,
"Income Attributable To Equity Holders",-83.396,-899.865,20.733,563.356,326.899,1085.816,318.813,898.372,194.183,805.032,211.644,741.049,135.484,552.811,
"Total Comprehensive Income/Loss for the period",-77.935,-808.497,30.343,617.864,374.117,1093.873,324.889,900.446,194.183,,211.644,,,,
"Headline Earnings (Cont Ops)",-81.12,101.281,63.192,449.085,293.408,491.109,309.679,389.984,188.252,421.286,213.504,347.937,162.767,97.421,
"Enterprise Value (EV)",6631.297,6392.506,6817.635,8039.627,9632.77,10620.588,10429.219,11396.367,8855.912,7736.91,7778.56,6995.39,6205.788,5461.61,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","29 Jul 2020","4 Dec 2019","20 Jun 2019","26 Nov 2018","20 Jun 2018","20 Nov 2017","14 Jun 2017","8 Nov 2016","27 Jun 2016","17 Nov 2015","22 Jun 2015","20 Nov 2014","23 Jun 2014",
"Fixed Assets",12270.93,12231.605,12252.6,12204.28,12878.827,12516.581,12082.353,11862.065,9278.873,8423.295,7777.825,6803.671,6151.915,6096.879,
"Right-of-use Asset",139.82,,,,,,,,,,,,,,
"Other Assets",,141.676,,1.598,15.885,17.371,,38.134,33.941,73.086,69.293,71.153,104.426,131.709,
"Total Fixed Assets",12410.75,12373.281,12252.6,12205.878,12894.712,12533.952,12082.353,11900.199,9312.814,8496.381,7847.118,6874.824,6256.341,6228.588,
"Debtors",582.304,531.133,701.983,589.559,631.542,565.237,441.467,340.189,278.299,197.908,226.687,170.644,156.62,119.051,
"Cash",69.611,33.538,27.971,84.131,61.765,76.921,114.236,133.618,308.894,71.428,105.736,58.817,127.793,57.643,
"Tax",,,5.933,5.534,5.534,5.534,9.269,9.881,,9.269,9.284,0.015,,,
"Other Current Assets",595.897,595.897,453.736,789.707,59.077,28.887,100.45,,43.657,130.726,,28.42,,66.866,
