Income statement (USD '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Working Revenue",44619,100171,60033,27221,7427,,,,,,,,
"Working Cost",36487,86048,56131,15659,,,,,,,,,
"Depreciation",,,,,,27,6,20,109,204,131,288,
"Working Profit",8132,14123,-691,-4023,-1785,-5624,-2202,-9460,-4081,-2308,-1594,-4005,
"Profit Before Exceptional Items",8132,4401,-691,-4023,-1785,-5624,-2202,-9460,-4081,-2308,-1594,-4005,
"Exceptional Income",-2527,2038,1839,6846,3268,,1040,6279,3451,,,,
"Profit Before Interest And Tax",5605,6439,1148,2823,1483,-5624,-1162,-3181,-630,-2308,-1594,-4005,
"Interest Received",,1,,2,,4,3,3,,1,1,,
"Interest Paid",2628,8538,5225,5456,1513,,,,,,,,
"Net Interest Paid/(Received)",2628,8537,5225,5454,1513,-4,-3,-3,,-1,-1,,
"Pre-Tax Profit",2977,-2098,-4077,-2631,-30,-5620,-1159,-3178,-630,-2306,-1593,-4005,
"Taxation",2915,574,-145,-7755,74,,,,,,,,
"Profit For The Period",62,-2672,-3932,5124,-104,-5620,-1159,-3178,-630,-2306,-1593,-4005,
"Income Attributable To Minority Interests",799,-297,-751,144,-598,-1137,-418,-1807,534,-907,-488,-1262,
"Attributable Income Before Extraordinary Items",-737,-2375,-3181,4980,494,-4483,-741,-1371,-1164,-1399,-1105,-2743,
"Income Attributable To Equity Holders",-737,-2375,-3181,4980,494,-4483,-741,-1371,-1164,-1399,-1105,-2743,
"Total Comprehensive Income/Loss for the period",65,-2672,,5122,-104,-5621,-1158,-3178,-1164,-2306,-1593,-4005,
"Profit Before Capex",-737,-2375,-3181,4980,494,-4483,-741,-1371,-1164,-1399,-1105,-2743,
"Profit After Capex",-737,-2375,-3181,4980,494,-4483,-741,-1371,-1164,-1399,-1105,-2743,
"Headline Earnings (Cont Ops)",-737,-2439,,4979,-838,-4483,-740,-868,739,-868,-1607,-2744,
"Enterprise Value (EV)",3135613,1969206,1999486,2961411,2611251,2556553,2713006,2736555,2690274,2469398,2192392,10734,

Balance sheet (USD '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Ordinary Share Capital & Premium",211681,211681,180773,180773,180773,180773,174122,173134,173134,173134,154781,122298,
"Distributable Reserves",-47059,-46322,-47128,-43947,-53198,-53692,-49949,-49209,-48298,-49462,-47271,-46167,
"Non-Distributable Reserves",10235,10100,9992,9902,9813,9717,9610,9500,9439,9378,9289,9200,
"Translation Reserves",-1527,-1530,-1534,-1513,-1512,-1512,-1512,-1512,-1512,-1512,-1512,-1512,
"Ordinary Shareholders' Interest",173330,173929,142103,145215,135876,135286,132271,131913,132763,131538,115287,83819,
"Minority Interest",29873,29074,28619,29371,27774,23784,24503,24921,25512,26046,17482,17970,
"Total Shareholders' Interest",203202,203003,170722,174586,163650,159070,156774,156834,158275,157584,132769,101789,
"Interest Bearing Loans",33820,38459,48991,53713,47006,50355,58219,55543,,,7207,,
"Other Long-Term Liabilities",17374,17647,31897,34157,28155,29702,33273,32052,38673,33153,5251,12046,
"Long-Term Liabilities",51194,56106,80888,87870,75161,80057,91492,87595,38673,33153,12458,12046,
"Total Capital Employed",254396,259109,251610,262456,238811,239127,248266,244429,196948,190737,145227,113835,
"Mining Assets",241408,243503,248832,255125,263526,265966,252805,230626,4222,150065,123298,103572,
"Deferred Tax Asset",6055,8499,8802,8057,,,,,,,,,
"Other Assets",2803,2732,2695,2574,2565,2467,2467,2467,189511,2684,2667,2665,
"Stores",17539,14860,11982,27755,13048,9255,2678,3235,2104,1633,1212,1156,
"Debtors and Payments in Advance",19232,17886,18393,19119,9760,6838,3608,3738,8503,17272,13432,8952,
"Cash",9772,7009,6875,5941,766,2146,3600,17105,8434,37105,21473,7236,
"Current Assets",46544,39755,37250,52815,23574,18239,9886,24078,19041,56010,36117,17344,
"Total Assets",296810,294489,297579,318571,289665,286672,265158,257171,212774,208759,162082,123581,
"Creditors and Provisions",15151,14326,19811,23486,19886,22351,12177,7031,9322,8067,5232,6270,
"Bank Overdrafts/Short-Term Loans",,402,23476,12600,24509,15468,,,,,,,
"Other Current Liabilities",27263,20652,2682,20029,6459,9726,4715,5711,6504,9955,11623,3476,
"Current Liabilities",42414,35380,45969,56115,50854,47545,16892,12742,15826,18022,16855,9746,
"Net Current Assets",4130,4375,-8719,-3300,-27280,-29306,-7006,11336,3215,37988,19262,7598,

Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Exchange Rate (period end)",16.92,17.33,19.76,14.06,15.16,14.09,14.51,14.67,14.16,13.75,11.84,12.38,
"Exchange Rate (weighted average)",16.91,16.66,16.42,14.45,14.68,14.2,14.02,13.51,14.06,12.3,11.95,13.3,
"Number of Shares in  Issue (Actual)",1027230825,949393239,866033993,844608240,837575905,823030660,786233933,786233993,786233993,679577354,634543800,522251209,
"Weighted Average Number of Shares (Actual)",1027230825,949393239,866033993,844608240,837575905,823030660,786233933,732912958,715652393,679577354,634543800,467411388,
"JSE Market Capitalisation (R000)",3081692,1908280,1905275,2871668,2512728,2469092,2633884,2673196,2673196,2480457,2189176,,
"Number of Months",3,6,3,12,3,6,3,12,3,6,3,12,

Share statistics,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Earnings Per Share (ZARc)",-1.01,-4.33,-6.08,0.14,0.88,-7.67,-1.26,,,,,-13.3,
"Diluted Earnings Per Share (ZARc)",-1.01,-4.33,,0.14,0.88,-7.67,,,,,,-13.3,
"Headline Earnings Per Share (Cont Ops) (ZARc)",-1.01,-4.17,,0.14,0.88,-7.67,,,,,,-13.3,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-1.01,-4.17,,0.14,,-7.67,,,,,,-13.3,
"Net Asset Value Per Share (ZARc)",285.44,317.49,324.26,241.69,245.9,233.45,244.06,246.16,239.16,266.2,215,198.7,
"Cash Generated per share",0.82,0.59,0.15,-0.65,-0.96,-0.6,-0.21,-0.66,-0.2,-1.6,-1.14,-1.87,
"Earnings Per Share (Base Currency)",-0.06,-0.26,-0.37,0.01,0.06,-0.54,-0.09,,,,,-1,
"Diluted Earnings Per Share (Base Currency)",-0.06,-0.26,,0.01,0.06,-0.54,,,,,,-1,
"Headline Earnings Per Share (Cont) (Base Currency)",-0.06,-0.25,,0.01,0.06,-0.54,,,,,,-1,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",-0.06,-0.25,,0.01,0.06,-0.54,,,,,,-1,
"Net Asset Value Per Share (Base Currency)",6.87,18.32,16.41,17.19,16.22,16.44,16.82,16.78,16.89,19.36,18.17,16.05,
"Price at Period End (Base Currency)",18,12,12,24,20,21,23,24,24,27,29,,
"JSE Market Price at Period End (ZARc)",300,201,220,340,300,300,335,340,340,365,345,,
"JSE Market Price High (ZARc)",315,340,340,345,345,340,340,380,365,380,380,,
"JSE Market Price Low (ZARc)",201,201,220,220,300,295,335,20,310,20,300,,
"JSE Volume Traded (Actual)",213216,63620,42807,4942373,36158,4897172,33867,118293,18057,95714,65108,,
"JSE Value Traded (Actual)",615995,152972,110653,15448162,114849,15307755,115101,396807,62797,318640,216783,,
"12 Month HEPS",39,3.64,-5.97,0.14,-6.79,-7.67,-1.26,,-3.32,-6.65,,-13.3,

Cash flow items,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Cash generated from operations after WC",,,,-5498,,-4915,-1660,-5188,,-10907,-7260,,
"Net Cash flow from operating activities",8399,5636,1280,-5498,-8048,-4911,-1656,-5188,-1599,-10906,-7259,-9741,
"Net cash flow from investing activities",-2320,-1802,-651,-22766,2079,-21984,-12673,-115943,-27072,-46548,-18783,-32069,
"Net cash flow from financing activities",-3316,-2766,305,17100,4588,11936,824,13100,,87322,40278,40398,
"Net increase(decrease) in cash & cash equivalents",2763,1068,934,-11164,-1380,-14959,-13505,9869,-28671,29868,14236,-1412,
"Cash & Cash Equivalent beginning of period",7009,5941,5941,17105,2145,17105,17105,7236,37105,7236,7236,8649,
"Cash & Cash Equivalent end of period",9772,7009,6875,5941,765,2146,3600,17105,8434,37105,21473,7236,

Ratios,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)",
,"29 Oct 2020","11 Aug 2020","1 Jun 2020","5 May 2020","11 Nov 2019","30 Aug 2019","30 May 2019","30 Apr 2019","30 Nov 2018","29 Aug 2018","29 May 2018","30 Apr 2018",
"Working Revenue Per Share",17.37,21.1,27.73,3.22,3.55,,,,,,,,
"Price/Sales Per Share",1.03,0.55,0.44,7.54,5.57,,,,,,,,
"Price/Net Asset Value",2.61,0.63,0.75,1.41,1.22,1.3,1.37,1.41,1.42,1.37,1.6,,
"Price/Cash Flow",87.74,39.24,328.31,-37.35,-82.38,-70.98,-439.68,-35.75,-480.38,-33.2,-101.88,,
"Return on Capital Employed",0.1,-2.06,-6.25,1.95,-0.17,-4.7,-1.87,-1.3,-1.28,-2.42,-4.39,-3.52,
"Return on Shareholder Funds",0.12,-2.63,-9.21,2.93,-0.25,-7.07,-2.96,-2.03,-1.59,-2.93,-4.8,-3.93,
