Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Aug 2020","13 Feb 2020","15 Aug 2019","8 Feb 2019","16 Aug 2018","15 Feb 2018","18 Aug 2017","16 Feb 2017","24 Aug 2016","17 Feb 2016","21 Aug 2015","12 Feb 2015","20 Aug 2014","13 Feb 2014","15 Aug 2013","14 Feb 2013","16 Aug 2012","9 Feb 2012","12 Aug 2011","9 Feb 2011","12 Aug 2010",
"Turnover",2352995,1418026,2706186,1356730,2590150,1342403,2479418,1273791,2489791,1235804,2150764,1099866,2216659,1154170,1944541,964656,1565294,693497,1256330,614702,1086507,
"Cost of Sales",2940599,1061569,2055831,1037946,1974964,1029866,1885006,983549,1941677,,,,,,,,,,,,,
"Gross Profit",587604,356457,650355,318784,615186,312537,594412,290242,548114,,,,,,,,,,,,,
"Operating Expenses",452620,252597,497224,227650,416847,209264,387679,188389,337630,,,,,,,,,,,,,
"Operating Income",145896,106287,155367,91608,204326,107430,216581,104544,216715,104780,196411,97762,203030,100348,160475,76476,127504,60008,110246,55343,96635,
"Other Income",,,,,,,,,,,,,,,,,,,,,594,
"Profit Before Exceptional Items",145896,106287,155367,91608,204326,107430,216581,104544,216715,104780,196411,97762,203030,100348,160475,76476,127504,60008,110246,55343,97229,
"Exceptional Item 1",-35455,6000,21617,-10618,26000,13828,-2126,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",110441,112287,176984,80990,230326,121258,214455,104544,216715,104780,196411,97762,203030,100348,160475,76476,127504,60008,110246,55343,97229,
"Interest Received",,2744,21221,12555,26099,13752,25998,6563,19631,5055,15175,7595,11442,6199,10418,4665,17985,9238,16907,9353,18004,
"Interest Paid",,,3851,,1558,,4333,,7720,,6751,46,190,97,971,846,710,194,137,70,240,
"Net Interest Paid/(Received)",3774,-2744,-17370,-12555,-24541,-13752,-21665,-6563,-11911,-5055,-8424,-7549,-11252,-6102,-9447,-3819,-17275,-9044,-16770,-9283,-17764,
"Income Before Tax",106667,115031,194354,93545,254867,135010,236120,111107,228626,109835,204835,105311,214282,106450,169922,80295,144779,69052,127016,64626,114993,
