Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","28 Feb 2020","30 Aug 2019","1 Mar 2019","7 Sep 2018","16 Mar 2018","7 Sep 2017","16 Mar 2017","8 Sep 2016","11 Mar 2016","4 Sep 2015","16 Mar 2015","4 Sep 2014","7 Mar 2014","2 Sep 2013","26 Feb 2013","3 Sep 2012","26 Feb 2013","31 Aug 2011","28 Feb 2011","30 Aug 2010",
"Turnover",12386,5907,9596,4524,9112,4794,9019,4950,9019,4332,9263,4829,10004,4606,7342,3572,17530,8721,14893,6714,11022,
"Cost of Sales",7492,4058,7449,3346,6696,3369,6951,3521,7353,4124,7854,4011,7531,3582,5866,2778,11463,5365,8875,3940,7480,
"Gross Profit",4161,1488,1385,801,1446,805,1207,655,811,208,1409,818,2473,1024,1476,794,6067,3356,6018,2774,3542,
"Operating Expenses",2050,802,1575,797,1263,620,1750,725,,760,,,,,,,,,,,,
"EBITDA (company calc)",3923,,1476,,,,,,,,,,,,,,,,,,,
"Operating Income",3271,1174,784,500,1710,638,214,309,653,373,1040,609,1671,2486,1174,1270,5216,3158,5399,2534,2920,
"Other Income",,,,,,,,,1140,925,1225,576,961,499,992,495,279,141,216,108,209,
"Profit Before Exceptional Items",3271,1174,784,500,1710,638,214,309,1793,1298,2521,1515,5339,2985,4368,1765,5495,3299,5615,2642,3129,
"Exceptional Item 1",2757,1829,3011,955,3468,1766,943,-966,55,-2423,-1851,-349,-616,-631,-2457,,-70,2,-11,-4,97,
"Profit Before Interest And Tax",6028,3003,3795,1455,5178,2404,1157,-657,1848,-1125,670,1166,4723,2354,1911,1765,5425,3301,5604,2638,3226,
"Interest Received",446,202,334,130,177,103,238,122,160,87,192,76,,,,,,,,,,
"Interest Paid",397,174,309,145,360,174,423,271,313,153,250,74,259,120,199,99,232,93,216,99,192,
"Net Interest Paid/(Received)",-49,-28,-25,15,183,71,185,149,153,66,58,-2,259,120,199,99,232,93,216,99,192,
"Income From Associates Before Tax",33,10,276,75,619,111,181,125,-210,105,-186,-68,-374,-240,-14,42,11,-6,-135,-60,-51,
"Income Before Tax",6110,3041,4096,1515,5614,2444,1153,-681,1485,-1086,426,1100,4090,1994,1698,1708,5204,3202,5253,2479,2983,
