Income statement (ZAR million),"Mar 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018","Sep 2017","Mar 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Sep 2012","Jun 2012","Sep 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","17 Apr 2020","14 Nov 2019","26 Mar 2019","18 Sep 2018","29 Jun 2018","28 Nov 2017","29 Jun 2017","24 Mar 2017","27 Sep 2016","1 Apr 2016","1 Oct 2015","1 Apr 2015","25 Sep 2014","31 Mar 2014","2 Sep 2013","2 Apr 2013","10 Dec 2012","28 Jun 2012","30 Dec 2011","30 Sep 2011","31 Mar 2011","15 Oct 2010",
"Turnover",45.464,45.027,166.941,118.676,466.984,379.529,154.597,321.795,245,108.954,144.705,66.79,57.396,17.359,37.317,15.125,29.793,27.319,12.048,6.464,2.931,1.273,5.714,
"Cost of Sales",41.876,39.816,133.687,101.772,83.637,63.721,18.115,43.782,41.378,18.594,23.818,18.374,9.046,3.978,8.215,4.244,7.968,9.13,5.591,2.484,0.87,0.629,4.093,
"Gross Profit",3.588,5.211,33.254,16.904,383.347,315.808,136.482,278.013,203.622,90.363,120.887,48.416,48.35,13.381,29.102,10.881,21.825,18.189,6.457,3.98,2.061,0.644,1.621,
"Operating Expenses",,69.301,,52.374,175.838,108.87,45.422,137.37,101.988,49.672,98.331,42.998,37.729,,21.206,,18.432,16.312,8.7,11.511,9.573,3.86,10.811,
"Operating Income",-2024.226,-1981.8,-84.025,157.555,412.449,240.19,113.346,218.169,129.271,59.806,44.419,21.9,11.099,1.187,7.971,1.722,3.634,3.187,-2.077,-5.271,-6.966,-2.904,-9.065,
"Profit Before Exceptional Items",-2024.226,-1981.8,-84.025,157.555,412.449,240.19,113.346,218.169,129.271,59.806,44.419,21.9,11.099,1.187,7.971,1.722,3.634,3.187,-2.077,-5.271,-6.966,-2.904,-9.065,
"Exceptional Item 1",,,,,,,15.127,,,,5.639,2.132,0.765,2.154,,,1.001,,,,,,,
"Profit Before Interest And Tax",-2024.226,-1981.8,-84.025,157.555,412.449,240.19,128.473,218.169,129.271,59.806,50.058,24.032,11.864,3.341,7.971,1.722,4.635,3.187,-2.077,-5.271,-6.966,-2.904,-9.065,
"Interest Paid",258.694,151.531,165.708,100.987,260.585,192.985,82.832,130.351,73.883,29,26.785,7.174,,0.205,,0.267,,,1.024,,,0.108,,
"Net Interest Paid/(Received)",258.694,151.531,165.708,100.987,260.585,192.985,82.832,130.351,73.883,29,26.785,7.174,5.214,0.205,1.818,0.267,1.314,2.131,1.024,1.884,0.525,0.108,1.046,
"Income From Associates Before Tax",,,,,,-0.595,-0.274,,,,1.742,0.813,,,,,,,,,,,,
"Income Before Tax",-2282.92,-2133.331,-249.733,56.568,151.864,46.61,45.367,87.818,55.388,30.806,25.015,17.671,6.65,3.136,6.153,1.455,3.321,1.056,-3.101,-7.155,-7.491,-3.012,-10.111,
"Taxation",-262.958,-353.214,4.796,52.746,69.812,49.289,29.71,23.094,28.982,12.199,7.786,4.418,2.601,0.844,1.725,0.423,1.859,0.438,-0.735,-7.435,-1.272,-0.264,-1.027,
"Profit For The Period",-2019.962,-1780.117,-254.529,3.822,82.052,-2.679,15.657,64.724,26.406,18.607,17.229,13.253,4.049,2.292,4.428,1.032,1.462,0.618,-2.366,0.28,-6.219,-2.748,-9.084,
"Income Attributable To Minority Interests",0.508,5.928,0.847,0.373,-4.817,-4.093,-2.718,-10.436,-7.484,-2.631,-3.726,-2.053,-1.575,-0.04,-1.092,-0.604,-1.485,-0.614,-0.086,-0.426,-2.189,-0.609,-2.439,
