Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Turnover",2192.386,1194.948,2283.244,1107.066,1982.374,912.831,2060.895,1037.305,1621.018,769.456,1312.935,609.161,876.85,368.696,628.532,
"Admin & Collection Fees",768.677,384.406,780.69,386.467,678.766,312.381,742.277,368.757,502.745,238.427,358.885,185.94,230.3,130.966,212.362,
"Net Rental / Investment Income",1423.709,810.542,1502.554,720.599,1303.608,600.45,1318.618,668.548,1118.273,531.029,954.05,423.221,646.55,237.73,416.17,
"Interest Receivable",97.097,49.964,230.549,138.807,233.323,101.976,189.536,106.775,235.785,74.191,142.531,73.542,424.796,,,
"Other Income",65.596,61.334,89.532,39.523,44.97,38.269,60.463,34.411,448.579,569.871,205.59,70.073,144.44,245.399,126.348,
"Depreciation",36.522,18.118,37.026,18.631,39.764,19.674,31.032,,,,,,,,,
"Total Income",1586.402,921.84,1822.635,898.929,1581.901,740.695,1568.617,809.734,1802.637,1175.091,1302.171,566.836,1215.786,483.129,542.518,
"EBITDA (ProfileData Calc)",-3061.523,394.803,351.925,518.815,1809.44,867.057,1799.206,,,,,,,,,
"Interest Payable",904.95,437.671,855.465,435.576,813.868,387.386,987.411,495.526,839.975,403.895,685.872,301.103,582.122,334.86,400.44,
"Expenses",,115.311,325.623,116.782,297.044,142.51,585.73,531.509,347.315,121.744,305.589,61.005,283.743,,288.06,
"Income Before Exceptional Items",681.452,368.858,641.547,346.571,470.989,210.799,-4.524,-217.301,615.347,649.452,310.71,204.728,349.921,148.269,-145.982,
"Amortisation",19.964,9.982,19.964,9.982,,,,,,,,,,,,
"Exceptional Item 1",-4594.34,-618.249,-1306.883,-299.418,406.727,211.178,505.521,236.975,1529.113,625.721,1093.921,296.756,938.558,235.095,904.643,
"Exceptional Item 1: Amortisation of negative goodwill",,,,,,,-22.06,-9.982,-19.964,-9.982,-20.303,,-14.634,,,
"Exceptional Item 1: Fair Value Adjustments",,,,,,,527.581,246.957,1041.553,635.703,1114.224,,953.192,,856.298,
"Exceptional Item 1: Gain on bargain purchase",,,,,,,,,507.524,,,,,,,
"Exceptional Item 1: Investment income- other",,,,,,,,,,,,,424.796,,48.345,
"Income From Associates Before Tax",-90.107,188.405,124.77,17.455,78.092,38.02,249.88,45.223,35.098,87.286,50.568,-24.96,-58.069,55.573,94.43,
"Income Before Tax",-4022.959,-70.968,-560.53,54.626,955.808,459.997,750.877,64.897,2179.558,1362.459,1455.199,476.524,1230.41,438.937,853.091,
"Tax",-255.104,-33.941,42.058,10.482,-1747.472,172.923,150.599,-4.681,794.559,332.125,471.038,116.696,218.156,77.886,209.405,
"Profit For The Period",-3767.855,-37.027,-602.588,44.144,2703.28,287.074,600.278,69.578,1384.999,1030.334,984.161,359.828,1012.254,361.051,643.686,
"Income Attributable To Minority Interests",,,,,,,-29.886,-3.472,-2.829,34.362,5.507,-4.451,66.107,5.048,29.465,
"Net Income Before Extraords",-3767.855,-37.027,-602.588,44.144,2703.28,287.074,630.164,73.05,1387.828,995.972,978.654,364.279,946.147,356.003,614.221,
"Extraordinary Items",,,,,,,,,,,,,,,108.788,
"Extraordinary Items: Discontinued operations",,,,,,,,,,,,,,,108.788,
"Income Attributable To Equity Holders",-3767.855,-37.027,-602.588,44.144,2703.28,287.074,630.164,73.05,1387.828,995.972,978.654,364.279,946.147,356.003,723.009,
"Total Comprehensive Income/Loss for the period",-3777.057,-27.754,-636.298,38.28,2698.632,290.897,471.182,3.543,1287.008,1248.329,1582.994,,1096,,752.474,
"Headline Earnings (Cont Ops)",-489.112,517.044,113.675,201.283,2276.719,76.572,161.606,39.41,84.338,378.183,14.591,100.891,305.797,-66.206,-18.202,
"Enterprise Value (EV)",14185.332,18780.894,19019.116,20157.132,20833.257,22811.871,21691.753,22736.386,23453.259,13921.884,24031.731,15554.949,18636.111,10301.442,5476.338,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Ordinary Capital & Premium",6473.103,6473.103,6463.585,6462.389,6460.108,6458.912,6456.633,6454.839,6442.805,6442.805,6439.419,6439.419,5798.843,4205.186,2196.594,
"Distributable Reserves",3682.728,7713.3,7954.665,9009.431,9534.775,7226.246,6945.483,5964.563,5891.513,5811.556,4815.584,4201.209,3836.93,3246.786,3150.726,
"Non-Distributable Reserves",,,,-104.215,-104.215,-104.215,-104.215,-116.483,-116.483,-129.483,-116.483,-116.483,-2.574,-3.183,,
"Other Capital",390.152,409.03,398.336,415.575,406.761,403.415,410.545,896.402,947.952,998.517,772.938,247.189,167.063,8.873,5.488,
"Translation Reserves",1035.588,473.064,771.146,839.868,744.701,487.954,238.254,-7.722,318.734,433.017,45.74,105.156,111.929,0.227,0.159,
"Ordinary Unitholders Interest",11581.571,15068.497,15587.732,16623.048,17042.13,14472.312,13946.7,13191.599,13484.521,13556.412,11957.198,10876.49,9912.191,7457.889,5352.967,
"Minority Interest",,,,,,,-43.087,-16.673,-13.201,41.614,7.252,-2.706,214.567,157.719,352.283,
"Total Stockholders' Interest",11581.571,15068.497,15587.732,16623.048,17042.13,14472.312,13903.613,13174.926,13471.32,13598.026,11964.45,10873.784,10126.758,7615.608,5705.25,
"Interest Bearing Loans",11372.592,9582.193,10203.134,10007.313,9527.49,9351.84,7976.11,10787.8,10445.221,,8863.852,,6226.221,,3872.731,
"Other Long-Term Liabilities",1068.163,514.123,268.649,142.331,127.424,213.146,249.342,146.929,129.237,9641.784,101.011,7184.568,112.879,4316.081,199.19,
"Long-Term Liabilities",12440.755,10096.316,10471.783,10149.644,9654.914,9564.986,8225.452,10934.729,10574.458,9641.784,8964.863,7184.568,6339.1,4316.081,4071.921,
"Deferred Tax Liability",29.8,202.468,238.539,185.367,178.923,2076.675,1932.14,1829.87,1892.145,1697.902,1365.868,1070.856,900.811,830.317,799.088,
"Total Capital Employed",24052.126,25367.281,26298.054,26958.059,26875.967,26113.973,24061.205,25939.525,25937.923,25051.862,22295.181,19129.208,17366.669,12762.006,10576.259,
"Investments",19374.421,20319.983,20081.544,20369.16,19791.145,23497,24014.228,23579.133,22407.898,21609.821,19554.517,14453.845,16620.136,10682.229,10297.652,
"Investments In Associates",1950.156,3003.827,3217.711,3371.557,3394.508,,,,,,,2835.966,,1554.337,,
"Fixed Assets / Property",16.788,18.808,10.069,37.083,41.221,45.629,52.272,48.078,33.925,10.62,10.641,11.599,11.061,8.714,5.666,
"Goodwill",,67.774,67.774,67.774,67.774,67.774,67.774,67.774,67.774,67.774,67.774,62.847,62.847,60.658,,
"Intangible Assets",,174.685,184.667,256.52,266.502,276.894,290.539,302.617,312.599,334.54,344.523,355.069,284.826,294.469,,
"Deferred Tax Asset",,,,,0.011,0.011,3.329,16.562,24.627,21.761,19.829,15.385,11.57,15.71,8.103,
"Other Assets",1692.606,1769.078,2312.671,2405.17,2541.315,,,,,891.879,,883.061,,410.453,,
"Debtors",220.345,211.092,203.45,225.707,203.014,170.452,174.623,221.154,290.579,280.178,223.084,219.532,167.302,131.713,155.497,
"Cash and Short Term Funds",772.547,711.682,673.486,728.347,1221.126,705.255,447.846,211.554,437.281,303.055,747.145,929.797,389.293,187.686,44.389,
"Other Current Assets",525.866,784.326,299.029,437.715,326.438,2485.059,2271.58,2678.485,4054.994,4152.592,2333.168,711.733,917.851,1177.82,2263.953,
"Current Assets",1518.758,1707.1,1175.965,1391.769,1750.578,3360.766,2894.049,3111.193,4782.854,4199.253,2618.956,1861.062,1335.6,1497.219,862.197,
"Total Assets",24552.729,27061.255,27050.401,27899.033,27853.054,26930.696,27322.191,27125.357,27629.677,27115.715,23300.681,20478.834,18464.886,14719.817,12775.26,
"Creditors",395.81,445.703,407.994,395.537,415.699,281.014,504.157,395.961,559.743,372.226,464.058,274.616,386.102,156.353,333.699,
"Receiver of Revenue",0.032,1.328,1.228,3.354,1.496,16.195,7.665,9.458,2.26,1.334,10.185,6.282,11.158,11.879,25.759,
"Bank O/D & S/T Loans",51.676,1217.137,259.611,503.086,538.096,174.487,2279.802,308.797,265.276,1389.876,345.678,1065.557,695.106,,1295.713,
"Other Current Liabilities",53.085,29.806,83.514,38.997,21.796,345.027,469.362,471.616,864.475,414.567,185.579,3.171,5.851,1789.579,543.83,
"Current Liabilities",500.603,1693.974,752.347,940.974,977.087,816.723,3260.986,1185.832,1691.754,2063.853,1005.5,1349.626,1098.217,1957.811,1800.428,
"Net Current Assets",1018.155,13.126,423.618,450.795,773.491,2544.043,-366.937,1925.361,3091.1,2135.4,2297.897,511.436,376.229,-460.592,264.838,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Number of Linked Units Issued (Actual)",703906577,703906577,703495224,703395224,703155224,703055224,702815224,702665224,701395224,701395224,700995224,700995224,670965594,580416250,449406150,
"Weighted Ave Stock Units (Actual)",703787442,703669602,703311279,703178702,702989909,702838702,702389882,702000822,701388667,701382181,687046081,673324370,578976838,524687572,449406150,
"Fully Diluted Weighted Average Shares in Issue",712252605,712014065,710613023,711327206,708584902,708544674,708079085,707306634,705418136,703265640,689256626,674741882,580271131,526050170,449861909,
"Market Capitalisation (R000)",3533611,8693246,9229857,10375080,11988797,13990799,11926774,11868016,13193244,12793449,15562094,15421895,11889510,10331409,,
"Number of Employees",163,151,150,146,126,102,114,102,94,92,77,,69,,48,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Sep 2020","3 Mar 2020","10 Sep 2019","5 Mar 2019","11 Sep 2018","27 Feb 2018","12 Sep 2017","28 Feb 2017","13 Sep 2016","8 Mar 2016","22 Sep 2015","16 Mar 2015","30 Sep 2014","19 Mar 2014","7 Oct 2013",
"Earnings Per Linked Unit (ZARc)",-535.4,-5.3,-85.7,6.3,384.5,40.8,89.7,10.4,197.9,142,142.4,54.1,163.4,67.9,160.9,
"Diluted Earnings Per Linked Unit (ZARc)",-535.4,-5.3,-85.7,6.2,381.5,40.5,89,10.3,196.7,141.6,142,54,163.1,67.7,160.7,
"Headline Earnings Per Linked Unit (CO) (ZARc)",-69.5,73.5,16.2,28.6,323.86,10.9,23,5.61,12,53.9,2.1,15,52.8,-12.6,-4.1,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",-69.5,72.6,16,28.3,321.31,10.8,22.8,5.57,12,53.8,2.1,15,52.7,-12.6,-4,
"Distributions Per Linked Unit (ZARc)",45,45,81.5,40.5,74,,,,,,,,,,,
"Net Asset Value Per Linked Unit (ZARc)",1645,2141,2216,2363,2424,2058,1984,1877,1923,1933,1706,1552,1477,1285,1191,
"3 Year Beta",1.43,0.3,0.32,0.52,0.53,0.61,0.59,0.5,,,,,,,,
"Cash Generated Per Linked Unit",81.62,50.22,92.87,30.36,54.69,9.07,17.65,8.35,20.04,-0.02,9.5,-25.56,41.21,-49.45,-4.3,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Net Asset Value Per Linked Unit (Base Currency)",1645,2141,2216,2363,2424,2058,1984,1877,1923,1933,1706,1552,1477,1285,1191,
"Price at Period End (Base Currency)",502,1235,1312,1475,1705,1990,1697,1689,1881,1824,2220,2200,1772,1780,,
"JSE Market Price at Period End (ZARc)",502,1235,1312,1475,1705,1990,1697,1689,1881,1824,2220,2200,1772,1780,,
"JSE Market Price High (ZARc)",1348,1355,1709,1797,2049,2001,1993,1993,2349,2349,2788,2285,1900,1850,,
"JSE Market Price Low (ZARc)",431,1072,1271,1400,1669,1680,1575,1575,1570,1644,1745,1745,1600,1600,,
"JSE Volume Traded (Actual)",340323324,152173856,304736082,187145311,304241264,149143767,255980854,125777210,233302270,111454912,260780214,140555444,125092479,43727330,,
"JSE Rand Value Traded (Actual)",3148392237,1884640076,4589440437,2867566353,5667803655,2738663737,4510183259,2221529718,4630352424,2384624529,5757990582,2878304123,2197735305,734776852,,
"12 Month HEPS",-69.5,61.1,16.2,341.56,323.86,28.29,23,-36.29,12,41,2.1,80.4,52.8,-25.2,-4.1,
