Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Turnover",476220,265466,481677,244079,406636,199463,309109,149751,241192,103563,180144,92721,155791,
"Cost of Sales",261629,121004,255783,144055,199304,100750,154857,74651,118430,47266,80529,41966,77842,
"Gross Profit",214591,144462,225894,130024,207332,98713,154252,75100,122762,56297,99615,50755,77949,
"EBITDA (ProfileData Calc)",38257,40155,11813,2392,-2662,-9244,-22134,-13468,-4129,8369,38407,13541,25470,
"EBITDA (company calc)",54466,38185,17594,,,,,,,,,,,
"Depreciation",71469,34978,34477,17131,32451,15939,28779,12636,16152,5461,8342,3981,7778,
"Operating Income",-17003,3207,-16883,-12547,-32577,-24781,-51645,-25763,-20580,2258,29556,9546,23980,
"Profit Before Exceptional Items",-17003,3207,-16883,-12547,-32577,-24781,-51645,-25763,-20580,2258,29556,9546,23980,
"Exceptional Item 1",-4743,,,,,,,,,,,,,
"Profit Before Interest And Tax",-21746,3207,-16883,-12547,-32577,-24781,-51645,-25763,-20580,2258,29556,9546,23980,
"Interest Received",1800,411,901,219,807,286,725,290,2881,2107,6861,3088,1451,
"Interest Paid",74162,35821,16370,9048,14702,6865,15097,6255,4531,916,1805,1151,2101,
"Net Interest Paid/(Received)",72362,35410,15469,8829,13895,6579,14372,5965,1650,-1191,-5056,-1937,650,
"Income Before Tax",-94108,-32203,-32352,-21376,-46472,-31360,-66017,-31728,-22230,3449,34612,11483,23330,
"Taxation",39733,-9133,-7823,-5899,-15824,-8716,-17834,-9048,-6501,1067,10773,3235,7851,
"Profit For The Period",-133841,-23070,-24529,-15477,-30648,-22644,-48183,-22680,-15729,2382,23839,8249,15479,
"Income Attributable To Minority Interests",13266,-1559,6682,2411,3343,688,-7,631,2582,1457,6352,3075,7739,
"Attributable Income Before Extraordinary Items",-147107,-21511,-31211,-17888,-33991,-23332,-48176,-23311,-18311,925,17487,5174,7740,
"Extraordinary Profit",,,-13452,,-5597,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,-13452,,-5597,,,,,,,,,
"Income Attributable To Equity Holders",-147107,-21511,-44663,-17888,-39588,-23332,-48176,-23311,-18311,925,17487,5174,7740,
"Total Comprehensive Income/Loss for the period",-102601,-24106,-41581,-15611,-29745,-25358,-59944,-35882,-1223,26793,22942,,,
"Headline Earnings (Cont Ops)",-142311,-21511,-31211,-17888,-33998,-23342,-48202,-23317,-17767,1128,7302,5174,7740,
"Enterprise Value (EV)",139615,131759,202968,277198,184933,200424,284475,330593,368202,447473,476055,385402,358294,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"25 Sep 2020","27 Feb 2020","29 Aug 2019","28 Feb 2019","30 Aug 2018","1 Mar 2018","30 Aug 2017","22 Feb 2017","30 Aug 2016","25 Feb 2016","1 Sep 2015","24 Feb 2015","29 Sep 2014",
"Fixed Assets",218805,254864,259599,280448,282744,263847,251184,253669,251317,182340,59487,60961,60601,
"Right-of-use Asset",409903,,,,,,,,,,,,,
"Goodwill",28958,29544,29669,30175,30185,30947,26597,26487,28561,28054,25461,27412,10411,
"Intangible Assets",19829,29414,30777,32256,33520,27498,28458,29073,28333,28881,25788,8340,7992,
"Deferred Tax Asset",45332,82439,75849,70480,60760,47390,36327,21634,13078,3634,2121,2643,3533,
"Other Assets",41937,526460,28761,11166,11064,9160,7134,6391,7789,,,,,
"Total Fixed Assets",764764,922721,424655,424525,418273,378842,349700,337254,329078,242909,112857,99356,82537,
"Stock",15153,15424,14442,13868,13958,11235,10038,8965,9093,6345,6587,3870,3820,
"Debtors",34781,24971,37763,20806,33393,20010,26576,20429,36970,22487,16053,13937,13977,
"Cash",59777,46294,45245,49767,41319,41764,40483,50041,52844,115458,115285,141154,143883,
"Tax",1070,945,144,1621,107,1358,354,1418,2104,3094,1450,,,
"Other Current Assets",202705,5596,8950,7855,7932,10486,11189,6501,8858,8091,42602,,3318,
"Total Current Assets",313486,93230,106544,93917,96709,84853,88640,87354,109869,155475,181977,158961,164998,
"Total Assets",1078250,1015951,531199,518442,514982,463695,438340,424608,438947,398384,294834,258317,247535,
"Ordinary Share Capital & Premium",221956,221956,221956,221956,221956,222297,137378,137378,137378,137378,137378,136844,120378,
"Distributable Reserves",-237150,-113826,-109529,-82671,-64368,-51749,-28417,-6343,16968,34571,40567,23050,,
"Non-Distributable Reserves",,,,,,,,,,,,,17876,
"Translation Reserves",52640,31397,32108,34281,34363,27534,28898,27898,40380,46243,27233,22557,31297,
"Other Capital",1283,1283,1283,2033,1880,5240,4016,5689,4465,3393,2323,3323,3323,
