Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"28 Sep 2020","2 Mar 2020","16 Sep 2019","6 Mar 2019","5 Sep 2018","5 Mar 2018","6 Sep 2017","2 Mar 2017","6 Sep 2016","29 Feb 2016","9 Sep 2015","11 Mar 2015","5 Sep 2014","7 Mar 2014","5 Sep 2013","6 Mar 2013","6 Sep 2012","14 Mar 2012","16 Sep 2011","17 Mar 2011","14 Sep 2010",
"Turnover",14804.155,7381.484,15922.641,7721.683,13628.916,6427.676,12811.498,6345.738,10969.132,4330.869,7987.636,3638.049,7152.444,3183.409,6628.299,3126.104,5859.147,2731.187,4963.256,2065.365,3166.925,
"Cost of Sales",12370.493,6089.938,13314.503,6398.562,11219.81,5278.166,10538.71,5219.096,9305.726,3773.894,6870.002,3112.831,6082.151,2645.963,5566.701,2638.635,4936.62,2300.686,4215.662,1759.395,2687.295,
"Gross Profit",2433.662,1291.546,2608.138,1323.121,2409.106,1149.51,2272.788,1126.642,1663.406,556.975,1117.634,525.218,1070.293,537.446,1061.598,487.469,922.527,430.501,747.594,305.97,479.63,
"Operating Expenses",1753.425,866.877,1748.354,863.276,1607.204,746.943,1453.23,717.065,1037.287,313.849,653.666,317.906,615.314,282.366,536.277,258.834,488.635,233.566,421.478,172.743,271.353,
"EBITDA (ProfileData Calc)",770.134,439.626,915.485,478.531,864.775,421.959,824.855,388.696,679.53,271.191,503.803,224.336,484.377,269.515,551.07,250.619,440.162,206.202,332.949,134.865,206.783,
"EBITDA (company calc)",,424.669,859.784,459.845,820.483,,,,,,,,,,,,,,,,,
"Depreciation",319.082,150.838,190.011,89.058,130.354,52.19,90.594,44.996,63.284,15.319,31.509,15.253,23.926,8.784,20.753,9.167,18.662,7.698,13.916,6.176,8.397,
"Operating Income",388.537,273.831,669.773,370.787,690.129,350.377,733.524,364.581,615.878,227.807,426.867,188.462,428.884,246.296,504.568,219.468,415.545,189.046,317.387,126.829,189.089,
"Profit Before Exceptional Items",388.537,273.831,669.773,370.787,690.129,350.377,733.524,364.581,615.878,227.807,426.867,188.462,428.884,246.296,504.568,219.468,415.545,189.046,317.387,126.829,189.089,
"Exceptional Item 1",,,,,,,,,,,,,,,,0.236,,0.5,,,,
