Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"8 Sep 2020","12 Feb 2020","12 Sep 2019","28 Feb 2019","25 Sep 2018","28 Feb 2018","29 Sep 2017","10 Mar 2017","26 Sep 2016","29 Mar 2016","29 Sep 2015","31 Mar 2015","29 Sep 2014","18 Mar 2014","11 Sep 2013","13 Mar 2013","26 Sep 2012","1 Mar 2012","30 Sep 2011","9 Mar 2011","8 Sep 2010",
"Turnover",558700,296800,542117,267700,577251,283800,580665,291700,499376,254800,498037,240800,423300,211000,650401,331100,645800,327500,591100,297300,518200,
"Cost of Sales",469000,,387811,,392341,,394054,,375333,,,,,,,,,,,,,
"Gross Profit",,,154306,,184910,,186611,,124043,,,,,,,,,,,,,
"Operating Expenses",89900,157800,91013,151100,89698,152700,,166600,,148600,,140200,364100,112800,,197800,409600,206200,452200,232500,390500,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,50200,116500,69300,117700,62600,,,,
"Depreciation",,11500,,11500,,9800,,12600,,11000,,10300,,11700,38600,19300,35500,15900,31200,16000,33200,
"Operating Income",89900,44800,63604,31900,95750,45300,107966,45000,79319,48100,88011,37400,66400,33900,69900,44000,71100,43000,107700,48800,94500,
"Other Income",,,,,,,,,,,,,,,,1800,7100,3200,5700,3300,3100,
"Profit Before Exceptional Items",89900,44800,63604,31900,95750,45300,107966,45000,79319,48100,88011,37400,66400,33900,69900,45800,78200,46200,113400,52100,97600,
"Profit Before Interest And Tax",89900,44800,63604,31900,95750,45300,107966,45000,79319,48100,88011,37400,66400,33900,69900,45800,78200,46200,113400,52100,97600,
"Interest Received",25300,14600,36487,19200,13285,6700,11731,6000,17580,8200,13164,6000,9200,4600,10600,6300,5000,1400,,,,
"Interest Paid",,,30,,46,,36,,54,,87,,,200,2100,1200,2200,1100,,,,
"Net Interest Paid/(Received)",-25300,-14600,-36457,-19200,-13239,-6700,-11695,-6000,-17526,-8200,-13077,-6000,-9200,-4400,-8500,-5100,-2800,-300,-1100,-2400,-700,
