Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Sep 2020","29 May 2020","9 Sep 2019","18 Mar 2019","30 Aug 2018","16 Mar 2018","31 Aug 2017","16 Mar 2017","22 Sep 2016","15 Mar 2016","11 Aug 2015","16 Mar 2015","11 Aug 2014","14 Mar 2014","8 Aug 2013","18 Mar 2013","13 Aug 2012","15 Mar 2012","10 Aug 2011","14 Mar 2011","10 Aug 2010",
"Turnover",3078.599,7823.169,4044.092,7543.438,3729.718,6873.471,3505.496,6002.341,3097.762,5901.431,2898.009,6608.545,3438.65,6319.104,3018.963,5670.188,2901.405,5070.784,2141.708,3410.691,1502.344,
"Cost of Sales",2522.098,6363.309,3244.23,6049.887,3090.006,5526.784,2861.329,4604.486,2367.911,4556.343,2199.741,5067.408,2648.855,4890.116,2332.784,4410.05,2262.873,3871.958,1644.956,2684.22,1177.975,
"Gross Profit",526.501,1459.86,799.862,1484.551,639.712,1346.687,644.167,1397.855,729.851,1345.088,698.268,1541.137,789.795,1428.988,686.179,1260.138,638.532,1198.826,496.752,726.471,324.369,
"Operating Expenses",569.652,1418.294,629.948,1226.314,516.443,1080.707,510.168,1418.055,,1261.195,,1504.643,,,,,,,,,,
"EBITDA (ProfileData Calc)",144.07,,412.134,,,,,,,,,,,,,,,,,,,
"Depreciation",115.068,,108.153,,,,,,,,,,,,,,,,,,,
"Operating Income",0.773,230.561,272.028,453.751,199.061,403.457,199.586,148.248,144.821,268.416,158.004,185.091,132.348,340.075,218.888,364.874,223.83,435.64,160.032,124.637,37.092,
"Profit Before Exceptional Items",0.773,230.561,272.028,453.751,199.061,403.457,199.586,148.248,144.821,268.416,158.004,185.091,132.348,340.075,218.888,364.874,223.83,435.64,160.032,124.637,37.092,
"Profit Before Interest And Tax",0.773,230.561,272.028,453.751,199.061,403.457,199.586,148.248,144.821,268.416,158.004,185.091,132.348,340.075,218.888,364.874,223.83,435.64,160.032,124.637,37.092,
"Interest Received",21.952,54.198,26.954,40.631,,,,,,,,,,,,,,,,,7.192,
"Interest Paid",90.032,166.157,77.832,89.101,,,,,,,,,,,,,,,,,43.205,
"Net Interest Paid/(Received)",68.08,111.959,50.878,48.47,15.162,0.099,1.282,32.557,18.763,61.364,27.472,54.818,37.583,34.699,13.219,41.522,29.861,33.506,8.902,58.404,36.013,
"Income Before Tax",-67.307,118.602,221.15,405.281,183.899,403.358,198.304,115.691,126.058,207.052,130.532,130.273,94.765,305.376,205.669,323.352,193.969,402.134,151.13,66.233,1.079,
"Taxation",-14.984,57.647,68.818,128.864,50.788,131.308,78.685,77.072,61.77,65.308,41.135,63.853,34.447,99.623,48.578,80.434,42.698,105.249,35.928,29.509,-9.669,
"Profit For The Period",-52.323,60.955,152.332,276.417,133.111,272.05,119.619,38.619,64.288,141.744,89.397,66.42,60.318,205.753,157.091,242.918,151.271,296.885,115.202,36.724,10.748,
"Income Attributable To Minority Interests",-6.277,-14.537,-4.999,6.832,7.024,11.841,6.097,1.147,0.628,0.575,,2.968,1.695,22.746,8.69,18.108,15.468,21.103,11.873,11.148,2.425,
"Attributable Income Before Extraordinary Items",-46.046,75.492,157.331,269.585,126.087,260.209,113.522,37.472,63.66,141.169,89.397,63.452,58.623,183.007,148.401,224.81,135.803,275.782,103.329,25.576,8.323,
"Income Attributable To Equity Holders",-46.046,75.492,157.331,269.585,126.087,260.209,113.522,37.472,63.66,141.169,89.397,63.452,58,183.007,148.401,224.81,135.803,275.782,103.329,25.576,8.323,
"Total Comprehensive Income/Loss for the period",248.025,28.027,142.878,426.403,241.243,246.615,129.007,-165.68,-25.061,427.374,76.175,44.505,,,,,,,,,,
"Headline Earnings (Cont Ops)",-29.399,76.284,156.677,265.381,125.078,257.154,113.204,45.715,63.66,131.727,84.779,46.894,58.125,182.288,147.883,224.52,135.677,270.881,99.903,25.706,8.25,
