Income statement (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"18 Aug 2020","18 Feb 2020","20 Aug 2019","19 Feb 2019","21 Aug 2018","20 Feb 2018","22 Aug 2017","21 Feb 2017","16 Aug 2016","23 Feb 2016","25 Aug 2015","24 Feb 2015","19 Aug 2014","18 Feb 2014","20 Aug 2013","20 Feb 2013","22 Aug 2012","8 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Turnover",42931,22294,44288,20742,43129,20526,35740,18796,28567,15712,44636,24860,56762,33948,53860,32066,70477,37480,71739,34166,52798,
"Operating Expenses",28775,14315,28022,13695,27527,13697,24120,13387,24091,21998,37010,17549,36523,22674,36829,26703,48644,21986,40454,19930,33295,
"Operating Income",14421,8314,16113,7333,15996,7165,12554,6057,2804,-7030,8670,7930,22649,12933,21977,7970,24600,15853,31816,14515,20031,
"Profit Before Exceptional Items",14421,8314,16113,7333,15996,7165,12554,6057,2804,-7030,8670,7930,22649,12933,21977,7970,24600,15853,31816,14515,20031,
"Profit Before Interest And Tax",14421,8314,16113,7333,15996,7165,12554,6057,2804,-7030,8670,7930,22649,12933,21977,7970,24600,15853,31816,14515,20031,
"Interest Received",351,217,446,239,322,79,143,62,137,63,88,41,81,61,80,58,168,102,245,118,215,
"Interest Paid",1262,741,1510,772,1567,737,1560,639,1150,492,702,275,995,589,1229,574,836,485,806,489,674,
"Net Interest Paid/(Received)",911,524,1064,533,1245,658,1417,577,1013,429,614,234,914,528,1149,516,668,383,561,371,459,
"Income Before Tax",13510,7790,15049,6800,14751,6507,11137,5480,1791,-7459,8056,7696,21735,12405,20828,7454,23932,15470,31255,14144,19572,
"Taxation",4774,2600,5529,2358,7007,4101,4443,2028,2103,-1726,3666,3304,6780,3518,6696,2209,7315,5325,7309,3458,6563,
"Profit For The Period",8736,5190,9520,4442,7744,2406,6694,3452,-312,-5733,4390,4392,14955,8887,14132,5245,16617,10145,23946,10686,13009,
"Income Attributable To Minority Interests",780,322,879,385,1118,559,332,248,178,-64,968,528,1392,780,1597,812,1144,100,298,162,287,
"Attributable Income Before Extraordinary Items",7956,4868,8641,4057,6626,1847,6362,3204,-490,-5669,3422,3864,13563,8107,12535,4433,15473,10045,23648,10524,12722,
"Extraordinary Profit",,,-335,-293,-2921,168,-472,,-5895,,-1512,401,269,,-1312,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,-335,-293,-2921,168,-472,,-5895,,,,,,,,,,,,,
"Income Attributable To Equity Holders",7956,4868,8306,3764,3705,2015,5890,3204,-6385,-5669,1910,4265,13832,8107,11223,4433,15473,10045,23648,10524,12722,
"Total Comprehensive Income/Loss for the period",8667,5185,9160,4102,4726,2610,6173,3365,-6184,-5755,2742,,15269,,,,,,,,,
"Headline Earnings (Cont Ops)",8651,,8544,4353,6692,2166,5695,2954,-866,-391,6843,4754,13700,7414,10812,5675,18067,9995,,10813,12521,
"Enterprise Value (EV)",768795.644,713307.037,775755.021,656147.049,672362.431,1354278.65,443490.255,487704.86,996029.52,398960.768,1311337.12,556651.014,762323.461,717224.934,1391988.56,659208.358,1282053,523576.252,567492.44,581234.103,433655.21,

Balance sheet (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"18 Aug 2020","18 Feb 2020","20 Aug 2019","19 Feb 2019","21 Aug 2018","20 Feb 2018","22 Aug 2017","21 Feb 2017","16 Aug 2016","23 Feb 2016","25 Aug 2015","24 Feb 2015","19 Aug 2014","18 Feb 2014","20 Aug 2013","20 Feb 2013","22 Aug 2012","8 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Fixed Assets",72362,70196,68041,66673,67182,78849,80497,82170,83975,85439,94072,108771,108787,105254,100565,94839,95247,89575,67945,59174,55576,
"Investments in Associates",2585,2637,2569,2582,2473,2456,2448,2451,2575,2577,3712,3550,3664,3635,3675,3517,,,,,,
"Intangible Assets",624,670,675,718,778,3873,3968,4030,4119,4214,4292,5289,5439,5533,5496,5552,5112,5321,1456,778,687,
"Deferred Tax Asset",3688,3866,3764,3849,4041,4355,5788,6158,6147,5082,2861,5080,6396,6801,6069,5355,4525,3551,3993,4177,4053,
"Other Assets",3786,2421,2126,1989,2209,2587,2446,2251,3556,1678,1775,2774,2964,3105,2422,2716,2463,2261,2153,1984,2021,
"Other Assets: Inventories",,1108,,1041,1141,1019,1095,1095,764,378,466,476,463,713,619,427,424,,363,355,343,
"Other Assets: Investories",,,,,,,,,,,,,,,,,,408,,,,
"Other Assets: Other",,48,,63,69,67,70,121,112,119,150,148,152,,84,115,158,161,188,180,168,
"Other Assets: Other assets",,,,,,,,,,,,,,124,,,,,,,,
"Other Assets: Other financial assets",,1265,,885,999,1501,1281,1035,2680,1181,1159,2150,2349,2268,1719,2174,1881,1692,1602,1449,1510,
"Long-Term Receivables",267,254,313,196,180,319,803,974,867,1296,1499,1716,1867,2089,1998,1877,1475,2038,2093,1581,1381,
"Total Fixed Assets",83312,80044,77488,76007,76863,92439,95950,98034,101239,100286,108211,127180,129117,126417,120225,113856,108822,102746,77640,67694,63718,
"Stock",4101,3939,3840,3972,3764,4020,3673,3499,3411,3914,4292,6149,6013,5917,5821,6548,6233,6406,6154,5620,5334,
"Debtors",3364,3595,3462,6395,3096,3542,2836,3594,3155,2903,4321,5584,6741,6698,6310,7299,7704,8061,8197,7876,6543,
"Cash",13426,14321,15613,15575,15871,12322,14153,13987,10319,10626,6753,6130,8803,10947,5677,4779,4781,3616,10084,16156,12456,
"Tax",366,137,124,92,106,97,195,187,567,676,658,630,318,289,267,168,137,169,273,153,189,
"Other Current Assets",214,254,334,373,12293,162,199,234,262,264,345,408,421,747,878,1868,1596,1108,572,773,612,
"Other Current Assets: Assets classified as held for sale",,,,,,,,,,,,,,,,1089,848,,,,,
"Other Current Assets: Assets held for sale",,,,,11939,,,,,,,,,,286,,,,,,,
"Other Current Assets: Other",,,,136,154,111,127,131,141,189,262,327,334,595,431,589,466,360,308,332,320,
"Other Current Assets: Other assets",,54,,,,,,,,,,,,,,,,,,,,
"Other Current Assets: Other financial assets",,200,,237,200,51,72,103,121,75,83,81,87,152,161,190,282,748,264,441,292,
"Total Current Assets",21471,22246,23373,26407,35130,20143,21056,21501,17714,18383,16369,18901,22296,24598,18953,20662,20451,19360,25280,30578,25134,
"Total Assets",104783,102290,100861,102414,111993,112582,117006,119535,118953,118669,124580,146081,151413,151015,139178,134518,129273,122106,102920,98272,88852,
"Ordinary Share Capital & Premium",2168,2168,2168,2168,2243,2243,2243,2243,2243,2243,2243,2243,2255,2255,2255,2255,2255,2252,2253,2340,2343,
"Treasury Shares",5,14,32,16,5,8,3,11,33,42,76,230,587,605,540,549,533,535,623,531,525,
"Distributable Reserves",43467,43707,42819,46262,51064,52351,52618,52021,49542,51111,60044,74990,74548,72014,66982,63149,62236,59990,53131,52445,44801,
"Non-Distributable Reserves",2306,2261,2285,2233,2290,2391,2400,2396,2538,2474,2557,2842,2927,2895,1970,1929,1912,1853,2001,1838,1906,
"Ordinary Shareholders' Interest",47936,48122,47240,50647,55592,56977,57258,56649,54290,55786,64768,79845,79143,76559,70667,66784,65870,63560,56762,56092,48525,
"Minority Interest",4310,4296,4584,4669,5078,5184,5468,5776,5781,5644,5777,6405,6239,5720,4624,4419,1215,1161,993,901,804,
"Total Shareholders' Interest",52246,52418,51824,55316,60670,62161,62726,62425,60071,61430,70545,86250,85382,82279,75291,71203,67085,64721,57755,56993,49329,
"Non-Interest Bearing Loans",1,5,5,4,3,6,5,4,13,22,29,77,113,338,286,390,509,456,555,498,469,
"Interest Bearing Loans",22036,22535,23167,23938,24069,25700,29233,30670,31768,32476,27969,28610,30327,31702,28099,30003,24799,18713,12388,14125,13573,
"Deferred Tax Liability",2758,3032,3234,3381,3472,3526,3765,4337,4324,4002,4542,7493,7066,7036,6312,5060,5287,6152,2683,3872,4320,
"Other Long-Term Liabilities",12918,10538,10292,9407,9790,9659,9911,10100,10437,9101,8642,10301,10461,9567,9051,9188,9559,9327,9801,8907,8119,
"Other Long-Term Liabilities: Deferred Income",,236,,315,337,350,,210,278,296,305,275,267,308,291,316,328,391,429,,420,
"Other Long-Term Liabilities: Deferred revenue",,,,,,,,,,,,,,,,,,,,471,,
"Other Long-Term Liabilities: Defferred income",,,,,,,360,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Interest bearing borrowings",,,,,,,,,,,,,,1141,,104,,,,,,
"Other Long-Term Liabilities: Other financial assets",,,,,,,,,,,,,303,,,,,,,,,
"Other Long-Term Liabilities: Other financial liabilities",,731,,1256,1093,633,1106,1809,1778,1622,1031,559,,,582,,317,88,79,140,266,
"Other Long-Term Liabilities: Provisions",,9459,,7700,8223,8542,8445,8081,8381,7183,7306,9467,9891,8118,8178,8768,8914,8848,9293,8296,7433,
"Other Long-Term Liabilities: Taxation",,112,,136,137,134,,,,,,,,,,,,,,,,
"Total Long-Term Liabilities",37713,36110,36698,36730,37334,38891,42914,45111,46542,45601,41182,46481,47967,48643,43748,44641,40154,34648,25427,27402,26481,
