Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Oct 2020","22 Jul 2020","21 Oct 2019","14 Jun 2019","1 Nov 2018","7 Jun 2018","14 Dec 2017","4 Aug 2017","1 Feb 2017","19 Jan 2017","9 Sep 2016","22 Apr 2016","9 Sep 2016","22 Apr 2016","2 Dec 2013","26 Jun 2013","6 Dec 2012","27 Jun 2012","28 Nov 2011","31 May 2011","24 Dec 2010","15 Jun 2010",
"Turnover",127762,292682,166051,284894,153641,273128,155655,251904,144868,317002,171480,318229,177610,283936,155392,223755,104652,134807,74925,125888,104641,280279,
"Cost of Sales",101656,230151,121853,226858,121204,198846,113550,185893,106099,230126,122339,241695,126362,212375,107792,155984,67308,93388,56270,87499,84525,241679,
"Gross Profit",26106,62531,44198,58036,32437,74282,42105,66011,38769,86876,49141,76534,51248,71561,47600,63771,37344,41419,18655,38389,20116,38600,
"Operating Expenses",27195,60692,28817,51567,27058,48599,21916,52655,23344,43669,21313,54681,25937,78339,16914,2236,14931,23588,18013,43723,21337,53714,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,,,,,24464,4316,-18395,335,-110741,
"Depreciation",,,,,,,,,,,,,,,,,,1204,694,3505,2347,8279,
"Operating Income",1409,8463,19090,12545,8479,33488,24290,18397,18259,48583,32647,25332,26563,-4866,31517,62635,23016,22082,3614,-6817,-2224,-19581,
"Profit Before Exceptional Items",1409,8463,19090,12545,8479,33488,24290,18397,18259,48583,32647,25332,26563,-4866,31517,62635,23016,22082,3614,-6817,-2224,-19581,
"Exceptional Item 1",,,,,,,,,,,,,,,,,1269,,,-15395,,-102202,
"Profit Before Interest And Tax",1409,8463,19090,12545,8479,33488,24290,18397,18259,48583,32647,25332,26563,-4866,31517,62635,24285,22082,3614,-22212,-2224,-121783,
"Interest Received",335,860,306,777,338,901,383,1606,691,3083,2628,1657,494,2353,830,2516,1207,1178,8,312,212,2763,
"Interest Paid",3295,5549,2840,6955,3859,12133,5793,13357,4533,13505,4321,15384,7080,16168,7264,25222,12642,29654,13530,28841,13299,27963,
"Net Interest Paid/(Received)",2960,4689,2534,6178,3521,11232,5410,11751,3842,10422,1693,13727,6586,13815,6434,22706,11435,28476,13522,28529,13087,25200,
"Income Before Tax",-1551,3774,16556,6367,4958,22256,18880,6646,14417,38161,30954,11605,19977,-18681,25083,39929,12850,-6394,-9908,-50741,-15311,-146983,
"Taxation",113,2236,5122,2735,2861,7724,5707,-25262,1972,5314,3204,2129,3792,3984,4132,1435,,,,-10373,-2516,-22606,
"Profit For The Period",-1664,1538,11434,3632,2097,14532,13173,31908,12445,32847,27750,9476,16185,-22665,20951,38494,12850,-6394,-9908,-40368,-12795,-124377,
"Attributable Income Before Extraordinary Items",-1664,1538,11434,3632,2097,14532,13173,31908,12445,32847,27750,9476,16185,-22665,20951,38494,12850,-6394,-9908,-40368,-12795,-124377,
"Extraordinary Profit",,,,4707,5474,-6946,404,-27689,-2197,,,,,-495,-837,-11099,-10782,-26358,-16274,-178586,2321,,
"Extraordinary Profit: Discontinued Operations",,,,4707,,-6946,404,-27689,-2197,,,,,-495,-837,-11099,-10782,-26358,-16274,-178586,2321,,
"Income Attributable To Equity Holders",-1664,1538,11434,8339,7571,7586,13577,4219,10248,32847,27750,9476,16185,-23160,20115,27395,2068,-32752,-26182,-218954,-10474,-124377,
"Total Comprehensive Income/Loss for the period",-1664,1538,11434,8339,7571,7586,13577,4219,10248,32847,27750,9476,16185,-23160,20115,27395,,-32752,,,,,
"Headline Earnings (Cont Ops)",-1101,585,9678,4016,2146,15059,12500,29215,10206,34965,28554,16857,16391,12522,20512,7045,8484,-14927,-12221,-41658,-10846,-34320,
"Enterprise Value (EV)",46807,67915,68115,72003,70286,95502,93654,97548,90103,94075,89540,115172,139582,169569,177898,192674,115144,247462,102953,110832,136302,283084,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Oct 2020","22 Jul 2020","21 Oct 2019","14 Jun 2019","1 Nov 2018","7 Jun 2018","14 Dec 2017","4 Aug 2017","1 Feb 2017","19 Jan 2017","9 Sep 2016","22 Apr 2016","9 Sep 2016","22 Apr 2016","2 Dec 2013","26 Jun 2013","6 Dec 2012","27 Jun 2012","28 Nov 2011","31 May 2011","24 Dec 2010","15 Jun 2010",
"Fixed Assets",62203,65260,67491,70402,68062,73591,62525,89757,110243,109202,113447,114393,113616,117079,131290,124376,95185,80718,140892,208672,401175,410741,
"Goodwill",,,,,,,,,,,,,,,,,,,,,10825,10825,
"Intangible Assets",3362,3633,3904,4176,4480,4784,5546,10198,11651,12320,12989,13656,14034,14413,14791,15169,8350,8350,6639,6639,10529,10997,
"Deferred Tax Asset",28776,27691,25719,26837,24676,29919,26030,28082,1121,209,897,,78,,,,,,,,,,
"Other Assets",20337,21166,20963,21942,21390,20316,18304,16326,14242,12714,13585,12283,11610,9508,28440,25280,28836,27378,3410,3526,2822,3567,
"Total Fixed Assets",114678,117750,118077,123357,118608,128610,112405,144363,137257,134445,140918,140332,139338,141000,174521,164825,132371,116446,150941,218837,425351,436130,
"Stock",34357,44920,47819,44098,46207,36607,34754,44432,45219,45499,40516,38305,44558,42761,48607,47195,41016,38380,33397,50554,69833,66067,
"Debtors",34388,31112,35530,27176,34329,29877,41063,21883,35689,29871,27798,36974,48666,43072,49229,33157,33032,18317,16574,28978,30926,35010,
"Cash",18332,4804,10968,7306,12836,11248,16140,14225,29494,21247,29357,94491,55078,21045,18308,9868,5358,2418,6695,6512,7114,8469,
"Tax",2470,3700,1484,3802,,,,,,,,,,,,,,,,,,,
"Other Current Assets",4473,4377,4302,4222,4108,44711,51515,3571,,,,,,,,14959,34580,60159,58050,,1450,,
"Total Current Assets",94020,88913,100103,86604,97480,122443,143472,84111,110402,96617,97671,169770,148302,106878,116144,105179,113986,119274,114716,86044,109323,109546,
"Total Assets",208698,206663,218180,209961,216088,251053,255877,228474,247659,231062,238589,310102,287640,247878,290665,270004,246357,235720,265657,304881,534674,545676,
"Ordinary Share Capital & Premium",228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228242,228243,228242,228243,228242,227742,227742,
"Distributable Reserves",-161370,-159706,-149810,-161244,-162012,-169583,-163592,-177169,-171140,-181388,-186485,-214235,-207526,-223711,-180438,-200551,-225879,-227946,-221377,-195194,13286,23760,
"Ordinary Shareholders' Interest",66872,68536,78432,66998,66230,58659,64650,51073,57102,46854,41757,14007,20716,4531,47804,27691,2364,296,6866,33048,241028,251502,
