Income statement (ZAR million),"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013","May 2013","Nov 2012","May 2012","Nov 2011","May 2011","Nov 2010","May 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","28 Feb 2020","26 Sep 2019","28 Feb 2019","22 Aug 2018","22 Feb 2018","24 Aug 2017","28 Feb 2017","24 Aug 2016","24 Feb 2016","19 Aug 2015","18 Feb 2015","20 Aug 2014","19 Feb 2014","20 Aug 2013","20 Feb 2013","21 Aug 2012","22 Feb 2012","24 Aug 2011","22 Feb 2011","24 Aug 2010",
"Turnover",21135.326,11488.576,23602.264,11273.841,26734.249,13633.442,26469.581,13245.513,26204.722,12875.274,22044.222,10327.392,19401.666,9079.022,18984.21,9466.174,18715.39,9249.177,18064.572,9069.984,15939.764,
"Cost of Sales",,,,,,,,,,,,,,,,8822.436,,8659.445,,8496.645,,
"Gross Profit",,,,,,,,,,,,,,,,643.738,,589.732,,573.339,,
"EBITDA (ProfileData Calc)",865.84,717.729,-5993.713,142.772,1915.33,1893.013,1333.709,931.347,1322.666,664.783,,563.994,,474.804,,452.534,,510.677,,381.779,,
"Depreciation",189.314,118.122,170.455,79.859,155.54,225.883,112.851,55.435,98.183,47.083,,46.479,,34.357,,33.557,,45.953,,51.013,,
"Operating Income",636.05,605.099,86.845,159.155,1097.549,708.013,1174.89,659.774,1142.376,573.154,986.146,469.484,722.856,397.107,645.671,334.151,658.925,433.703,451.747,400.785,454.544,
"Other Income",,,,,,,,,,,,,,,,4.498,,89.787,,6.769,,
"Profit Before Exceptional Items",636.05,605.099,86.845,159.155,1097.549,708.013,1174.89,659.774,1142.376,573.154,986.146,469.484,722.856,397.107,645.671,338.649,658.925,523.49,451.747,407.554,454.544,
"Exceptional Item 1",,,-2639.564,,,0.716,160.2,264.204,,,,,,,,,,-146.339,,-147.768,97.264,
