Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Aug 2020","10 Mar 2020","2 Sep 2019","11 Mar 2019","28 Aug 2018","6 Mar 2018","23 Aug 2017","27 Feb 2017","23 Aug 2016","29 Feb 2016","18 Aug 2015","24 Feb 2015","26 Aug 2014","4 Mar 2014","27 Aug 2013","5 Mar 2013","23 Aug 2012","6 Mar 2012","23 Aug 2011","22 Feb 2011","25 Aug 2010",
"Other Income",,,,,1284.489,,1234.142,,1086.569,1899.954,960.695,1968.233,968.172,1930.997,990.709,1795.026,895.372,1759.846,839.642,1510.815,706.684,
"Turnover",2116.473,4440.085,2078.872,3376.655,1369.62,2783.431,1307.279,2688.49,1181.134,2208.137,1073.333,2221.054,1092.346,2086.376,1048.942,1946.472,952.356,1867.915,874.253,1796.904,891.854,
"Other Expenses",1811.971,3783.976,1900.712,2988.096,1185.963,2408.978,1151.416,2229.01,1057.949,2022.394,1012.689,2119.196,988.342,2021.99,1005.285,1815.434,877.844,1735.292,830.798,1482.667,691.84,
"Net Rental / Investment Income",304.502,656.109,178.16,388.559,183.657,374.453,155.863,459.48,123.185,185.743,60.644,101.858,104.004,64.386,43.657,131.038,74.512,132.623,43.455,314.237,200.014,
"Dividend Income",26.855,175.263,31.47,239.367,85.131,223.103,73.137,339.898,94.565,308.183,112.638,252.821,124.174,155.379,58.233,151.446,56.984,108.069,34.611,286.089,185.17,
"Other Income",9.265,53.163,22.266,79.297,28.932,48.942,22.292,27.042,13.092,30.991,9.237,23.028,9.429,23.037,14.496,26.41,12.081,23.735,11.434,24.09,10.227,
"Depreciation",,199.972,,128.036,,114.722,,,,,,,,,,,,,,,,
"Total Income",340.622,884.535,231.896,707.223,297.72,646.498,251.292,826.42,230.842,524.917,182.519,377.707,237.607,242.802,116.386,308.894,143.577,264.427,89.5,624.416,395.411,
"EBITDA (ProfileData Calc)",,750.925,,395.504,,566.476,,,,,,,,,,,,,,,,
"Interest Payable",261.96,530.507,268.048,378.146,158.89,290.506,149.947,260.708,116.488,224.237,98.37,188.182,86.544,110.553,45.859,131.597,65.773,93.345,46.155,159.674,113.02,
"Income Before Exceptional Items",78.662,354.028,-36.152,329.077,138.83,355.992,101.345,565.712,114.354,300.68,84.149,189.525,151.063,132.249,70.527,177.297,77.804,171.082,43.345,464.742,282.391,
"Exceptional Item 1",-209.823,-316.615,-41.372,-460.406,-488.79,-151.744,-328.254,-380.512,8.623,-704.899,-295.192,182.411,208.993,409.344,111.11,898.228,588.606,404.755,230.56,-346.35,-299.071,
"Income From Associates Before Tax",33.354,144.136,66.151,170.479,76.901,58.116,3.976,98.3,39.615,-341.545,-275.17,-65.431,31.204,13.204,28.533,27.612,30.84,22.057,6.681,-4.786,16.215,
"Income Before Tax",-97.807,181.549,-11.373,39.15,-273.059,262.364,-222.933,283.5,162.592,-745.764,-486.213,306.505,391.26,554.797,210.17,1103.137,697.25,597.894,280.586,113.606,-0.465,
"Tax",31.784,106.22,72.896,-32.173,-45.915,115.29,-21.958,86.173,114.336,-77.625,-6.139,28.712,81.575,81.405,45.145,261.021,215.04,129.093,51.596,-297.659,-353.104,
"Profit For The Period",-129.591,75.329,-84.269,71.323,-227.144,147.074,-200.975,197.327,48.256,-668.139,-480.074,277.793,309.685,473.392,165.025,842.116,482.21,468.801,228.99,411.265,352.639,
"Income Attributable To Minority Interests",58.549,161.103,71.186,149.828,54.976,101.116,43.127,26.588,18.651,30.839,22.947,18.743,13.867,9.281,11.106,-7.282,3.522,18.05,12.369,-0.192,2.955,
"Net Income Before Extraords",-188.14,-85.774,-155.455,-78.505,-282.12,45.958,-244.102,170.739,29.605,-698.978,-503.021,259.05,295.818,464.111,153.919,849.398,478.688,450.751,216.621,411.457,349.684,
"Income Attributable To Equity Holders",-188.14,-85.774,-155.455,-78.505,-282.12,45.958,-244.102,170.739,29.605,-698.978,-503.021,259.05,295.818,464.111,153.919,849.398,478.688,450.751,216.621,411.457,349.684,
