Income statement ('000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Feb 2014","Nov 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","May 2011",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (10m)","Qtrly (3m)","Interim (4m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"20 Nov 2020","21 Aug 2020","29 May 2020","9 Apr 2020","15 Nov 2019","29 Aug 2019","31 May 2019","25 Apr 2019","21 Nov 2018","10 Aug 2018","17 May 2018","22 Mar 2018","9 Nov 2017","23 Aug 2017","12 May 2017","28 Mar 2017","30 Nov 2016","26 Aug 2016","13 May 2016","30 Mar 2016","12 Nov 2015","14 Aug 2015","15 May 2015","27 Mar 2015","14 Nov 2014","14 Aug 2014","2 Jun 2014","15 Jan 2014","16 Oct 2013","25 Jul 2013","30 May 2013","18 Jan 2013","16 Oct 2012","17 Jul 2012","30 May 2012","17 Jan 2012","18 Oct 2011","15 Aug 2011",
,"ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD","CAD",
"Other Income",,,,50981,,,2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Working Revenue",65495,201658,127185,398968,99711,198779,96188,758517,206404,394746,190425,738121,183494,325866,171424,660582,178148,298547,142488,630999,159871,343920,17222,56313,18669,22178,72343,16639,39158,20510,68497,10832,44190,20800,104497,31152,54851,19608,
"Working Cost",51125,159144,224553,367937,74959,136403,88142,704771,156676,296180,145168,632722,155458,317957,158046,61991,166690,302925,139007,68684,189386,377297,18974,97099,20937,2413,8555,16610,33598,16800,11009,13126,34481,16181,13940,24367,36593,12495,
"Working Profit",14370,42514,-97367,73970,24753,62376,10469,-13744,49728,98565,45257,-70225,28035,7909,13377,33755,11458,-4378,3482,-457018,-193392,-33377,-1751,-40786,-6347,-4058,-28515,30,-345,325,-12660,-2295,4164,1812,3490,6785,9810,4185,
"Net Sundry Revenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,495,,214,,42,,325,,236,
"Profit Before Exceptional Items",14370,42514,-97367,73970,24753,62376,10469,-13744,49728,98565,45257,-70225,28035,7909,13377,33755,11458,-4378,3482,-457018,-193392,-33377,-1751,-40786,-6347,-4058,-28515,255,-345,820,-12660,-2081,4164,1854,3490,7110,9810,4421,
