Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Sep 2020","2 Mar 2020","2 Sep 2019","4 Mar 2019","3 Sep 2018","26 Feb 2018","28 Aug 2017","27 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","1 Sep 2014","27 Feb 2014","26 Aug 2013","4 Mar 2013","27 Aug 2012","27 Feb 2012","29 Aug 2011","28 Feb 2011","30 Aug 2010",
"Turnover",76542.581,43677.636,76058.362,40002.674,76963.472,39908.81,70998.001,47198.87,68241.101,46277.924,88628.961,104436.524,183645.179,89641.608,153404.532,75375.78,133533.633,67344.875,118482.736,58492.467,109789.207,
"Cost of Sales",53101.006,30345.538,53511.794,28291.821,54716.818,28691.135,50342.325,,48342.24,,,,,,123039.972,60728.367,106241.73,54204.077,93930.778,46774.301,86778.366,
"Gross Profit",23441.575,13332.098,22546.568,11710.853,22246.654,11217.675,20655.676,10079.97,19898.861,9717.937,18965.351,21010.2,37364.655,17757.473,30364.56,14647.413,27291.903,13140.798,24551.958,11718.166,23010.841,
"Operating Expenses",18079.797,9475.506,16501.399,8596.279,16199.932,8207.847,15131.637,7252.262,14602.043,7101.665,13732.222,16565.648,29276.028,13371.5,23490.15,11483.042,20923.733,10192.376,18941.92,9179.991,17880.87,
"EBITDA (ProfileData Calc)",5478.145,,7931.984,,,,,,,,,,,,,,,,,,,
"Depreciation",2947.695,,1513.7,,,,,,,,,,,,,,,,,,,
"Operating Income",5339.702,3839.008,6667.382,3221.268,5919.211,2995.47,6877.15,2951.912,4430.125,2425.283,5364.026,4417.758,7881.985,4205.6,7438.92,3495.558,7140.299,3542.973,5847.911,2835.688,5463.343,
"Profit Before Exceptional Items",5339.702,3839.008,6667.382,3221.268,5919.211,2995.47,6877.15,2951.912,4430.125,2425.283,5364.026,4417.758,7881.985,4205.6,7438.92,3495.558,7140.299,3542.973,5847.911,2835.688,5463.343,
"Exceptional Item 1",-2520.872,-300.08,-1041.8,112.479,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",2818.83,3538.928,5625.582,3333.747,5919.211,2995.47,6877.15,2951.912,4430.125,2425.283,5364.026,4417.758,7881.985,4205.6,7438.92,3495.558,7140.299,3542.973,5847.911,2835.688,5463.343,
