Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Turnover",929578,2914453,1419353,2613905,1193150,2454635,894077,2702153,749918,2083512,823405,
"Cost of Sales",701826,2124703,1071202,1826024,867563,1649406,604226,1691129,435970,1188400,467068,
"Gross Profit",227752,789750,348151,787881,325587,805229,289851,1011024,313948,895112,356337,
"Operating Expenses",121014,235613,107134,173808,80195,140995,75238,130145,86359,134585,43870,
"Operating Income",109549,573984,252076,630075,246441,670821,216775,903338,235234,767593,318782,
"Profit Before Exceptional Items",109549,573984,252076,630075,246441,670821,216775,903338,235234,767593,318782,
"Profit Before Interest And Tax",109549,573984,252076,630075,246441,670821,216775,903338,235234,767593,318782,
"Interest Received",7329,13673,7093,4590,2613,15273,10416,15221,7113,10797,3499,
"Interest Paid",4062,12643,2613,6176,2427,3559,419,1375,787,251,191,
"Net Interest Paid/(Received)",-3267,-1030,-4480,1586,-186,-11714,-9997,-13846,-6326,-10546,-3308,
"Income From Associates Before Tax",75,322,,,,,,,,,,
"Income Before Tax",112891,575336,256556,628489,246627,682535,226772,917184,241560,778139,322090,
"Taxation",31653,163976,71188,176106,68727,191190,63694,256444,67010,219572,88476,
"Profit For The Period",81238,411360,185368,452383,177900,491345,163078,660740,174550,558567,233614,
"Income Attributable To Minority Interests",80,-250,,,,,,,,,,
"Attributable Income Before Extraordinary Items",81158,411610,185368,452383,177900,491345,163078,660740,174550,558567,233614,
"Income Attributable To Equity Holders",81158,411610,185368,452383,177900,491345,163078,660740,174550,558567,233614,
"Total Comprehensive Income/Loss for the period",81238,411396,185363,452486,178044,491996,163764,660343,173960,559170,234134,
"Headline Earnings (Cont Ops)",81158,410703,185559,452484,177910,491330,163061,660463,174279,557385,320939,
"Enterprise Value (EV)",1004891,1159930,1048223,813112,1770330,2550289,3033955,3211577,3968787,2843060,-178489,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Fixed Assets",95026,90654,94302,89486,80086,73214,52116,43180,43877,40806,31408,
"Investments in Associates",398,323,1,1,,,,,,,,
"Investments and Loans",,,,,,,,,,,2739,
"Intangible Assets",13259,9049,6851,6125,29,31,,,,,,
"Deferred Tax Asset",,,1380,5573,2579,1540,4862,4862,5679,5679,1900,
"Total Fixed Assets",108683,100026,102534,101185,82694,74785,56978,48042,49556,46485,36047,
"Stock",3487816,3369972,3221589,3042919,3027910,2588472,2413677,2011324,2404581,1342793,1153479,
"Debtors",666476,597208,455314,913194,571224,859408,307830,633852,50186,32448,81369,
"Cash",427726,476532,273916,329382,62339,100033,266671,546969,164241,462288,178674,
"Tax",46333,15812,13167,,29689,4566,60241,358,418,491,,
"Other Current Assets",60673,48190,15839,13431,,3858,8601,30129,3220,7375,34162,
"Total Current Assets",4689024,4507714,3979825,4298926,3691162,3556337,3057020,3222632,2622646,1845395,1447684,
"Total Assets",4797707,4607740,4082359,4400111,3773856,3631122,3113998,3270674,2672202,1891880,1483731,
"Ordinary Share Capital & Premium",663079,652978,652978,652978,664354,664354,664354,664354,663354,661854,6,
"Distributable Reserves",2369920,2288762,2118208,2001355,1726872,1648132,1367084,1350386,916561,841171,835753,
"Non-Distributable Reserves",,,-482,-477,-436,-580,-545,-1231,-1423,,-917,
"Translation Reserves",,,,,,,,,,-834,,
"Other Capital",3981,9900,3667,,,,,,,,,
"Ordinary Shareholders' Interest",3036980,2951640,2774371,2653856,2390790,2311906,2030893,2013509,1578492,1502191,834842,
"Minority Interest",-170,-250,,,,,,,,,,
"Total Shareholders' Interest",3036810,2951390,2774371,2653856,2390790,2311906,2030893,2013509,1578492,1502191,834842,
"Deferred Tax Liability",131534,99882,67163,,,,,,,,,
"Other Long-Term Liabilities",155631,255562,257369,375473,352912,579628,583992,610677,589136,80957,,
"Total Long-Term Liabilities",287165,355444,324532,375473,352912,579628,583992,610677,589136,80957,,
"Creditors and Provisions",151774,133228,126200,101049,128458,67536,109583,151722,75632,107689,56844,
"Tax",,,,30181,,2,2,4562,5435,39801,77981,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,,,185,
"Other Current Liabilities",1321958,1167678,857256,1239552,901696,672050,389528,490204,423507,161242,513879,
"Total Current Liabilities",1473732,1300906,983456,1370782,1030154,739588,499113,646488,504574,308732,648889,
"Total Liabilities",1760897,1656350,1307988,1746255,1383066,1319216,1083105,1257165,1093710,389689,648889,
"Total Equity and Liabilities",4797707,4607740,4082359,4400111,3773856,3631122,3113998,3270674,2672202,1891880,1483731,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Oct 2020","18 May 2020","21 Oct 2019","15 May 2019","15 Oct 2018","14 May 2018","20 Nov 2017","15 May 2017","15 Nov 2016","23 May 2016","25 Nov 2015",
"Number of Shares in Issue (Actual)",468231000,467632000,472192592,472105000,469915000,469915273,472192592,469818275,469662237,472192592,472193000,
"Weighted Average Shares in Issue (Actual)",468231000,467632000,467632000,472105000,469915000,469915273,469818000,469818275,472193000,424541867,400000000,
"Fully Diluted Weighted Average Shares in Issue",472193000,472193000,472193000,472193000,472192000,472192593,472192000,472095595,,427072222,,
