Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"21 Sep 2020","19 Mar 2020","19 Sep 2019","28 Feb 2019","30 Aug 2018","22 Feb 2018","31 Aug 2017","22 Feb 2017","31 Aug 2016","23 Feb 2016","3 Sep 2015","26 Feb 2015","26 Aug 2014","19 Feb 2014","28 Aug 2013","20 Feb 2013","29 Aug 2012","20 Feb 2012","8 Sep 2011","16 Feb 2011","24 Aug 2010",
"Turnover",5572.359,3340.208,6320.895,3404.591,6333.921,3353.93,6407.172,3493.161,6404.995,3300.927,6261.388,3272.788,5389.551,2913.009,5156.911,2721.903,4819.103,2585.874,4340.422,2374.166,4087.277,
"Operating Expenses",5359.421,3114.245,5781.541,3112.144,5694.734,3016.712,5785.918,3121.732,5779.088,2942.255,5615.379,2888.574,4793.567,2545.248,4415.015,2331.322,4157.55,2224.068,3686.981,2014.464,3529.689,
"EBITDA (ProfileData Calc)",,374.508,,418.539,824.98,,,,872.568,,869.392,,816.839,,915.941,,854.914,,856.584,,831.358,
"Depreciation",298.399,145.101,288.56,146.809,293.669,147.827,285.744,142.287,289.15,140.396,280.727,136.688,259.728,125.78,241.592,118.678,226.516,112.112,188.724,89.391,171.268,
"Operating Income",51.902,140.931,365.1,195.425,465.806,248.841,462.956,280.151,473.187,266.713,477.188,291.689,430.447,-107.52,595.865,315.374,520.112,286.993,546.107,306.602,471.08,
"Profit Before Exceptional Items",51.902,140.931,365.1,195.425,465.806,248.841,462.956,280.151,473.187,266.713,477.188,291.689,430.447,-107.52,595.865,315.374,520.112,286.993,546.107,306.602,471.08,
"Exceptional Item 1",-236.097,-5.26,-66.635,-1.274,-70.344,-9.946,-25.274,,-28.377,,-25.418,,-459.548,391.246,-36.608,,-21.688,,-25.632,,-12.702,
"Profit Before Interest And Tax",-184.195,135.671,298.465,194.151,395.462,238.895,437.682,280.151,444.81,266.713,451.77,291.689,-29.101,283.726,559.257,315.374,498.424,286.993,520.475,306.602,458.378,
"Interest Received",,97.965,,72.27,124.041,58.039,147.799,73.099,129.417,61.534,117.335,55.304,575.755,46.662,104.518,53.013,109.15,50.575,134.47,72.606,153.752,
"Interest Received: Dividends",,,,,,,,,,,,30.924,,23.651,,26.891,,14.436,,17.564,33.801,
