Income statement (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Aug 2020","26 Feb 2020","25 Jul 2019","27 Feb 2019","25 Jul 2018","27 Feb 2019","21 Jul 2017","22 Feb 2017","26 Jul 2016","24 Feb 2016","29 Jul 2015","26 Feb 2015","1 Aug 2014","25 Feb 2014","30 Jul 2013","28 Feb 2013","31 Jul 2012","29 Feb 2012","3 Aug 2011","2 Mar 2011","3 Aug 2010",
"Turnover",38100,79400,40100,74700,42300,87700,43700,94100,40500,114900,52000,110600,54200,115500,51200,109400,52000,108400,58400,113700,59200,
"Admin & Collection Fees",16600,43400,18400,34200,19700,38800,,,,,,,,,,,,,,,,
"Other Expenses",,,,,,,21400,42000,21000,24400,11800,30300,14100,29100,14300,31700,15600,39400,21700,44600,20900,
"Net Rental / Investment Income",21500,36000,21700,40500,22600,48900,22300,52100,19500,90500,40200,80300,40100,86400,36900,77700,36400,69000,36700,69100,38300,
"Interest Receivable",13600,12400,5900,12300,6400,12500,500,300,100,700,600,800,300,1100,600,800,400,1700,,,,
"Other Income",,,,,,,,,,,,,,,,,,,800,1400,600,
"Depreciation",700,1300,600,1900,1000,1900,,,,,,,,,,,,,,,,
"Total Income",35100,48400,27600,52800,29000,61400,22800,52400,19600,91200,40800,81100,40400,87500,37500,78500,36800,70700,37500,70500,38900,
"EBITDA (ProfileData Calc)",,19300,44700,130500,36700,24300,,,,,,,,,,,,,,,,
"Interest Payable",10800,21200,10600,19300,9500,19900,10100,19600,9700,20800,9700,15900,8300,20700,9900,20900,11600,36500,18500,40300,20700,
"Expenses",19700,16500,7500,,6900,13100,,50600,,52100,25000,43200,18700,32600,14900,26200,12700,22200,800,7100,7100,
"Income Before Exceptional Items",4600,10700,9500,33500,12600,28400,12700,-17800,9900,18300,6100,22000,13400,34200,12700,31400,12500,12000,18200,23100,11100,
"Amortisation",6400,3900,-1000,1000,1200,2300,,,,,,,,,,,,,,,,
"Exceptional Item 1",-445700,-69500,-15500,25100,-17500,-90900,9800,-233600,-208100,441600,271200,428200,126400,313000,198400,187300,65000,149900,52000,109400,43700,
"Income From Associates Before Tax",,-2500,-2500,,,,-100,,,,,,,,,,,,,,,
"Income Before Tax",-441100,-61300,-8500,41600,-4900,-62500,22400,-251400,-198200,459900,277300,450200,139800,347200,211100,218700,77500,161900,70200,132500,54800,
"Tax",-600,1000,2500,4300,1800,6700,100,-19500,-23100,2700,8200,1300,2000,13500,2400,8000,1600,3400,1700,900,500,
"Profit For The Period",-440500,-62300,-11000,37300,-6700,-69200,22300,-231900,-175100,457200,269100,448900,137800,333700,208700,210700,75900,158500,68500,131600,54300,
"Income Attributable To Minority Interests",,-54200,-43000,-66700,-29900,-62700,-6300,-104900,-63400,26100,5200,,,1000,500,,,,,,,
"Net Income Before Extraords",-440500,-8100,32000,104000,23200,-6500,28600,-127000,-111700,431100,263900,448900,137800,332700,208200,210700,75900,158500,68500,131600,54300,
"Extraordinary Items",-200,-245500,-119200,-160900,,6100,6100,8400,2700,,,-300,-300,4700,3600,29300,20900,,,,,
"Extraordinary Items: Discontinued operations",-200,-245500,-119200,-160900,,6100,6100,8400,2700,,,,,,,,20900,,,,,
"Income Attributable To Equity Holders",-440700,-253600,-87200,-56900,23200,-400,34700,-118600,-109000,431100,263900,448600,137500,337400,211800,240000,96800,158500,68500,131600,54300,
"Total Comprehensive Income/Loss for the period",-440700,-307800,-130200,-123600,-6700,-63100,28400,-225900,-172400,457800,269100,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-8800,-18400,-19900,-6700,40300,26300,16200,-4100,-13700,7700,-400,10400,8900,22400,15400,11200,8100,16700,7200,12400,3000,
"Enterprise Value (EV)",27256109,41612230,33608715,36931240,44780664,45759628,43410297,43065550,50141425,87755475,71259069,56067814,50221476,47896604,41271182,28162072,20762081,18060552,14933390,10817099,8033600,

Balance sheet (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"12 Aug 2020","26 Feb 2020","25 Jul 2019","27 Feb 2019","25 Jul 2018","27 Feb 2019","21 Jul 2017","22 Feb 2017","26 Jul 2016","24 Feb 2016","29 Jul 2015","26 Feb 2015","1 Aug 2014","25 Feb 2014","30 Jul 2013","28 Feb 2013","31 Jul 2012","29 Feb 2012","3 Aug 2011","2 Mar 2011","3 Aug 2010",
"",,,,,,,,,,,,,3600,,,,,,,,,
"Ordinary Capital & Premium",212800,213600,212800,212700,212600,212200,212100,211500,211400,210500,210500,209100,208900,189500,188600,188300,171000,170900,170900,155400,793400,
"Other Capital",1808000,2263900,2430900,2523500,2606700,2587600,2625300,2593500,2610200,2723500,2559500,2297200,1987100,1622600,1497800,1289500,1015400,932200,855600,728000,,
"Ordinary Unitholders Interest",2020800,2477500,2643700,2736200,2819300,2799800,2837400,2805000,2821600,2934000,2770000,2506300,2196000,1812100,1686400,1477800,1186400,1103100,1026500,883400,793400,
"Minority Interest",,,205400,247400,282000,305800,362200,368200,409700,468800,434900,,,,44400,,,,,,,
"Total Stockholders' Interest",2020800,2477500,2849100,2983600,3101300,3105600,3199600,3173200,3231300,3402800,3204900,2506300,2196000,1812100,1730800,1477800,1186400,1103100,1026500,883400,793400,
"Interest Bearing Loans",1005300,555300,650900,616500,615200,776200,631400,827800,681600,607600,463200,432200,282400,357700,270000,269600,330800,534600,629400,651500,655700,
"Other Long-Term Liabilities",11600,3600,3700,,,5800,10500,14800,18900,3200,3200,4300,11800,17600,23400,29700,39900,41700,55700,59200,,
"Long-Term Liabilities",1016900,558900,654600,616500,615200,782000,641900,842600,700500,610800,466400,436500,294200,375300,293400,299300,370700,576300,685100,710700,655700,
"Deferred Tax Liability",,,,,,,,2700,2000,19500,17500,12900,,9900,,,,,,,,
"Total Capital Employed",3037700,3036400,3503700,3600100,3716500,3887600,3841500,4018500,3933800,4033100,3688800,2955700,2490200,2197300,2024200,1777100,1557100,1679400,1711600,1594100,1449100,
"Investments",,,,,,,,,200,200,400,400,300,400,3900,3600,5600,19500,30400,66300,52300,
"Investments In Associates",300,300,300,17300,16900,16900,16800,15000,14600,14800,14600,100,100,93300,,,,,,,,
"Fixed Assets / Property",2126600,2551200,3219500,3338600,3429800,3650300,3614300,3827000,3755300,3862200,3570900,2785400,2310000,2050700,1887700,1587200,1604700,1618000,1502900,1378600,1310700,
"Fixed Assets / Property: Investment Property",2121500,2545500,,3335500,3426100,,3608900,3819900,3748000,3855300,3569900,2784400,2308800,2049800,,,,,,,,
"Fixed Assets / Property: Investment property held for sale",,,3212200,,,,,,,,,,,,,,,,,,,
"Fixed Assets / Property: Investment property under development",,,,,,,,,,,,,,,1886500,1586200,1604100,1616800,1501900,1377600,1309900,
"Fixed Assets / Property: Properties held for sale",,,,,,,,,,,,,,,,,,,1000,,,
"Fixed Assets / Property: Property Plant and Equipment",5100,5700,7300,3100,3700,,5400,7100,7300,6900,1000,1000,1200,900,1200,1000,600,1200,,1000,800,
"Deferred Tax Asset",7400,6600,4200,5500,7600,7800,14100,,,,,,,,,,,,,,,
"Other Assets",505700,248800,230600,223500,236100,224500,201300,195000,170400,160400,134700,131600,125500,117800,43300,39900,,,,,,
