Income statement (EUR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"6 Nov 2020","15 May 2020","8 Nov 2019","17 May 2019","9 Nov 2018","18 May 2018","10 Nov 2017","12 May 2017","4 Nov 2016","20 May 2016","6 Nov 2015","22 May 2015","7 Nov 2014","15 May 2014","8 Nov 2013","16 May 2013","9 Nov 2012","16 May 2012","11 Nov 2011","19 May 2011","12 Nov 2010","27 May 2010",
"Turnover",5478,14238,7397,13989,6808,11013,5620,10647,5086,11076,5821,10410,5073,10023,5324,10150,5106,8868,4214,6892,3259,5176,
"Cost of Sales",2313,5627,2787,5344,2552,3829,1940,3848,1856,3958,2035,3534,1724,3532,1922,3631,1796,3217,1549,2498,1146,1985,
"Gross Profit",3165,8611,4610,8645,4256,7184,3680,6799,3230,7118,3786,6876,3349,6491,3402,6519,3310,5651,2665,4394,2113,3191,
"Operating Expenses",2713,7093,3445,6702,3126,5340,2514,5178,2432,5035,2396,4438,2034,4063,2032,4093,1930,3611,1590,3039,1353,2361,
"Operating Income",452,1518,1165,1943,1130,1844,1166,1764,798,2061,1390,2670,1315,2427,1370,2426,1380,2048,1075,1355,760,830,
"Profit Before Exceptional Items",452,1518,1165,1943,1130,1844,1166,1764,798,2061,1390,2670,1315,2427,1370,2426,1380,2048,1075,1355,760,830,
"Profit Before Interest And Tax",452,1518,1165,1943,1130,1844,1166,1764,798,2061,1390,2670,1315,2427,1370,2426,1380,2048,1075,1355,760,830,
"Interest Received",108,167,74,111,76,185,125,73,37,168,155,19,48,245,148,111,,79,,,,,
"Interest Paid",225,504,184,294,123,335,53,233,146,166,79,972,265,173,79,158,99,314,226,,120,,
"Net Interest Paid/(Received)",117,337,110,183,47,150,-72,160,109,-2,-76,953,217,-72,-69,47,99,235,226,181,120,137,
"Income From Associates Before Tax",9,17,12,1408,1408,-41,-16,-34,-10,-5,-5,-12,-3,-5,-2,-4,-4,-9,-1,101,102,4,
"Income Before Tax",344,1198,1067,3168,2491,1653,1222,1570,679,2058,1461,1705,1095,2494,1437,2375,1277,1804,848,1275,742,697,
"Taxation",185,267,198,381,238,432,248,360,139,370,270,369,178,415,252,370,199,264,139,196,98,94,
"Profit For The Period",159,931,869,2787,2253,1221,974,1210,540,1688,1191,1336,917,2079,1185,2005,1078,1540,709,1079,644,603,
"Income Attributable To Minority Interests",,-2,,3,,,,,,,2,,-1,-5,-3,-8,-5,-4,,-11,-2,1,
"Attributable Income Before Extraordinary Items",159,933,869,2784,2253,1221,974,1210,540,1688,1189,1336,918,2084,1188,2013,1083,1544,709,1090,646,602,
"Extraordinary Profit",,,,,,,,,,539,,-2,,-12,,,,,,,,-3,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,539,,-2,,-12,,,,,,,,-3,
"Income Attributable To Equity Holders",159,933,869,2784,2253,1221,974,1210,540,2227,1189,1334,918,2072,1188,2013,1083,1544,709,1090,646,599,
"Total Comprehensive Income/Loss for the period",-141,1159,1092,3404,2595,80,133,1370,537,1600,603,3195,,,,,,,,,,,
"Headline Earnings (Cont Ops)",,984,870,1467,932,1339,1000,1079,530,1626,1112,1208,910,2078,1191,2020,1084,1553,713,1002,540,611,
"Enterprise Value (EV)",588782.4,507333.8,585402.6,548465.4,608520.4,556873.4,62902.8,57082.404,433789.4,506805.8,559864,507484.2,479518,525289.6,525691.8,377841.6,260440.2,247438,188042,206392.4,176966.2,147704,

Balance sheet (EUR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
