Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"18 Sep 2020","11 Mar 2020","18 Sep 2019","15 Mar 2019","27 Sep 2018","9 Mar 2018","27 Sep 2017","22 Mar 2017","27 Sep 2016","24 Mar 2016","29 Sep 2015","26 Mar 2015","18 Sep 2014","28 Feb 2014","27 Sep 2013","2 Apr 2013","5 Sep 2012","29 Feb 2012","23 Sep 2011","16 Mar 2011","22 Sep 2010",
"Turnover",263166,145739,215149,83239,157884,200367,279700,121050,173893,82079,102605,50413,118198,63279,107367,47897,98617,52561,91579,46230,91921,
"Cost of Sales",49184,333315,59824,27074,62244,151111,179905,72780,92439,41686,40707,20343,48123,26822,41180,17980,35026,20776,36055,18986,34232,
"Gross Profit",213981,112424,155324,56165,95640,49256,99795,48270,81453,40393,61898,30070,70075,36457,66187,29917,63591,31785,55525,27244,57689,
"Operating Expenses",79089,93670,50942,42735,18357,36306,19041,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",2899,18659,30805,17504,36968,17089,34157,16980,29438,14663,39892,19916,43597,21666,40703,19646,37449,18669,32935,16432,33818,
"Depreciation",14901,4842,9619,3592,7650,3828,6983,3186,6486,2942,4118,2053,4578,2432,4520,2150,4253,2175,4217,1935,3827,
"Operating Income",-11275,13912,16070,10696,22464,10077,22082,11607,17518,12014,29318,17665,33350,16560,31350,14948,28600,14230,24489,12275,25288,
"Other Income",,803,,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",-11275,14715,16070,10696,22464,10077,22082,11607,17518,12014,29318,17665,33350,16560,31350,14948,28600,14230,24489,12275,25288,
"Exceptional Item 1",,,,,,,,,,-3005,,-3597,,,,,,,,,,
"Profit Before Interest And Tax",-11275,14715,16070,10696,22464,10077,22082,11607,17518,9009,29318,14068,33350,16560,31350,14948,28600,14230,24489,12275,25288,
"Interest Received",5288,3124,7181,3098,6467,3089,5617,2599,5158,2868,6158,3151,5669,2674,4833,2548,4596,2264,4229,2222,4703,
"Interest Paid",1357,646,174,23,983,101,448,210,518,251,390,197,440,228,548,294,764,390,914,453,1273,
