Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"24 Nov 2020","3 Jul 2020","26 Nov 2019","12 Jun 2019","28 Nov 2018","12 Jun 2018","29 Nov 2017","31 May 2017","29 Nov 2016","31 May 2016","26 Nov 2015","2 Jun 2015","2 Dec 2014","3 Jun 2014","3 Dec 2013","28 May 2013","27 Nov 2012","29 May 2012","29 Nov 2011","31 May 2011","30 Nov 2010","24 May 2010",
"Turnover",412067,703677,437882,665693,337759,477183,346602,663951,452036,542712,353162,526087,310406,439019,266922,362348,239172,342514,206796,298303,190421,305883,
"Cost of Sales",,490018,,487865,,,,425153,,331554,,324031,,,,,,,,,,,
"Gross Profit",,213659,,177828,,,,238798,,226484,,202056,,,,,,,,,,,
"Operating Expenses",,90626,,99925,,,,88971,,90930,,91856,,,,,,,,,,,
"EBITDA (ProfileData Calc)",,138343,,126400,,,,,,,,,,,,,,,,,,,
"Depreciation",,69948,,59989,,,,,,,,,,,,,,,,,,,
"Operating Income",66097,56503,33925,78502,39101,4087,43845,125154,122984,72212,43456,61109,14543,90765,52481,85843,42459,90286,52297,25794,17430,36402,
"Other Income",,,,,,,,,,,,,,,72,,,,,,,,
"Profit Before Exceptional Items",66097,56503,33925,78502,39101,4087,43845,125154,122984,72212,43456,61109,14543,90765,52553,85843,42459,90286,52297,25794,17430,36402,
"Exceptional Item 1",8366,19526,,,,,,,,,,251,,7430,,,,,,93741,92972,13188,
"Profit Before Interest And Tax",74463,76029,33925,78502,39101,4087,43845,125154,122984,72212,43456,61360,14543,98195,52553,85843,42459,102972,52297,119535,110402,49590,
"Interest Received",336,3363,1507,1801,791,1666,634,9055,,3956,,3211,970,4504,1664,35271,32587,9722,3030,5412,1198,502,
"Interest Paid",17838,44287,23835,26747,11190,14050,7866,5453,,8026,,7316,3263,4538,1739,2183,1810,3467,2503,4353,3825,5828,
"Net Interest Paid/(Received)",17502,40924,22328,24946,10399,12384,7232,-3602,-1140,4070,4693,4105,2293,34,75,-33088,-30777,-6255,-527,-1059,2627,5326,
"Income From Associates Before Tax",7323,3958,3027,1209,,3641,,2105,,3549,,655,,1121,,158,,120,,51,,7,
"Income Before Tax",64284,39063,14624,54765,28702,-4656,36613,130861,124124,71691,38763,57910,12250,99282,52478,119089,73236,109347,52824,120645,107775,44271,
"Taxation",17999,15375,3479,14080,7223,-4466,10252,34655,34663,21638,12301,14774,2906,19692,11025,30726,18750,24906,14917,7439,6528,7214,
"Profit For The Period",46285,23688,11145,40685,21479,-190,26361,96206,89461,50053,26462,43136,9344,79590,41453,88363,54486,82184,37907,113206,101247,37057,
"Income Attributable To Minority Interests",14225,14955,15849,15101,10508,4608,19152,31380,31266,1160,1000,2439,910,1551,1994,-307,3145,3923,3494,378,1665,-390,
"Attributable Income Before Extraordinary Items",32060,8733,-4704,25584,10971,-4798,7209,64826,58195,48893,25462,40697,8434,78039,39459,88670,51341,78261,34413,112828,99582,37447,
"Extraordinary Profit",,,,,-1008,,,,,,,,,123107,7617,5550,2346,,,,,-16797,
"Extraordinary Profit: Discontinued Operations",,,,,-1008,,,,,,,,,123107,7617,5550,2346,,,,,-16797,
"Income Attributable To Equity Holders",32060,8733,-4704,25584,9963,-4798,7209,64826,58195,48893,25462,40697,8434,201146,47076,94220,53687,78261,34413,112828,99582,20650,
"Total Comprehensive Income/Loss for the period",38334,15260,9622,38450,16534,-8989,26806,97962,91403,23799,17801,41912,,,,,,,,,,,
"Headline Earnings (Cont Ops)",23070,-7402,-5070,22133,8082,-7723,7209,64734,58143,48774,25538,41531,8281,84603,46740,93327,53145,72855,34127,25250,12493,11133,
"Enterprise Value (EV)",1014328,990629,931348,1154046,946563,1172275,1178577,1121141,1005070,833662,861408,989257,981212,885777,836978,670207,622717,607713,537130,460527,471088,615653,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"24 Nov 2020","3 Jul 2020","26 Nov 2019","12 Jun 2019","28 Nov 2018","12 Jun 2018","29 Nov 2017","31 May 2017","29 Nov 2016","31 May 2016","26 Nov 2015","2 Jun 2015","2 Dec 2014","3 Jun 2014","3 Dec 2013","28 May 2013","27 Nov 2012","29 May 2012","29 Nov 2011","31 May 2011","30 Nov 2010","24 May 2010",
"Fixed Assets",756108,787744,934242,960879,967627,967756,937599,874815,790517,769941,794947,514116,503555,460961,327781,285614,263353,236952,198027,177847,164799,159790,
"Right-of-use Asset",155315,160145,157208,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",78992,69481,64241,61393,59843,60816,56361,55410,53030,23612,19336,19336,18683,18681,15310,15310,13257,13257,9818,9818,8063,8063,
"Investments and Loans",58901,47127,35603,35322,23658,14930,3402,1019,710,710,627,727,842,979,613,5517,5256,3769,6881,5576,3891,3873,
"Goodwill",,,,,,,,,,,,254234,218280,192883,171004,145518,137767,116000,113258,101730,104714,79153,
"Deferred Tax Asset",23578,23646,11162,14406,8972,6044,6112,,2421,6946,,,,,,,,,,,,,
"Other Assets",17979,4935,5132,4056,4151,3269,2738,,,,9635,9635,6530,6644,1225,1203,960,938,673,650,658,,
"Total Fixed Assets",1090873,1093078,1207588,1076056,1064251,1052815,1006212,931244,846678,801209,824545,798048,747890,680148,515933,453162,420593,370916,328657,295621,282125,250879,
"Stock",330386,384914,316798,377411,215173,341937,293625,364463,215135,301123,156823,245519,156253,243570,159738,209920,153518,189847,127712,143025,101834,141450,
"Debtors",178754,130862,183453,136414,171744,124419,166815,84512,188768,53963,123050,45659,127574,58669,81134,29487,100118,43818,59969,18358,43686,16732,
"Cash",40548,22767,83693,56683,61303,26874,42058,56868,125587,125743,10432,13073,18845,28847,27719,36620,13264,19383,30309,7811,30968,3338,
"Tax",9194,6941,13116,7362,5688,8398,2673,6900,2580,4356,786,9686,2987,,,491,,1572,,5466,4054,1495,
"Other Current Assets",163382,152051,25125,28006,110755,13987,15444,10752,10248,10248,6221,,17314,14636,93067,73763,81765,105320,128971,129004,135938,116875,
"Total Current Assets",722264,697535,622185,605876,564663,515615,520615,523495,542318,495433,297312,313937,322973,345722,361658,350281,348665,359940,346961,303664,316480,279890,
"Total Assets",1813137,1790613,1829773,1681932,1628914,1568430,1526827,1454739,1388996,1296642,1121857,1111985,1070863,1025870,877591,803443,769258,730856,675618,599285,598605,530769,
"Ordinary Share Capital & Premium",226271,226271,226271,226271,226271,226271,226271,226271,226271,226271,13009,13009,13008,12109,12109,3208,3208,3208,3208,3208,3208,3208,
"Distributable Reserves",866457,839930,826612,831316,815434,805471,816618,836706,837456,796815,776128,761356,736180,742804,590442,565534,533005,496039,460239,433878,432399,335913,
"Non-Distributable Reserves",951,951,951,951,951,951,951,951,997,997,869,869,1068,1058,7774,6436,5339,3615,5393,5131,3602,3589,
"Translation Reserves",-47757,-39807,-32951,-31498,-32939,-29002,-23319,-23764,-23373,-25315,-5936,2725,6731,4846,12435,5103,1205,-3673,1614,-3513,-4476,-867,
"Other Capital",5780,5898,4612,4612,3473,3473,2414,2414,1434,1434,1036,1036,792,792,720,720,552,551,421,420,308,308,
"Ordinary Shareholders' Interest",1051702,1033243,1025495,1031652,1013190,1007164,1022935,1042578,1042785,1000202,785106,778995,757780,761609,623480,581001,543309,499740,470875,439124,435041,342151,
"Minority Interest",52452,32695,43789,27968,35500,24992,53295,24400,35181,3915,5608,4608,3080,2169,5541,3548,7000,3855,3425,-68,1219,-446,
"Total Shareholders' Interest",1104154,1065938,1069284,1059620,1048690,1032156,1076230,1066978,1077966,1004117,790714,783603,760860,763778,629021,584549,550309,503595,474300,439056,436260,341705,
"Non-Interest Bearing Loans",30078,32512,41034,44045,44998,44674,38504,37423,31075,33959,,,,,,,,,,,,,
