Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"3 Sep 2020","20 Feb 2020","16 Aug 2019","14 Feb 2019","16 Aug 2018","15 Feb 2018","16 Aug 2017","16 Feb 2017","12 Aug 2016","18 Feb 2016","14 Aug 2015","18 Feb 2015","15 Aug 2014","13 Feb 2014","14 Aug 2013","13 Feb 2013","15 Aug 2012","15 Feb 2012","12 Aug 2011","16 Feb 2011","12 Aug 2010",
"Turnover",1159283,809251,1547984,807414,1498426,787084,1520410,791273,1493163,753442,1303112,642394,1062749,533949,975893,492093,875822,443257,790198,405397,749099,
"Operating Expenses",735414,470470,961422,461319,845483,445931,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",-155045,286489,484288,290444,576789,312224,605732,335538,623064,317404,605891,267993,462761,237956,395575,224225,330355,184448,281494,168182,333821,
"Depreciation",223458,112818,117471,57951,105217,51879,102779,51640,96399,46748,86380,42386,78421,40574,79011,40570,78375,39569,73078,35836,47334,
"Operating Income",107370,171885,364584,231534,467541,258238,496350,280682,524397,270032,453165,223103,357732,183547,332674,171998,297355,141776,252280,128724,320328,
"Profit Before Exceptional Items",107370,171885,364584,231534,467541,258238,496350,280682,524397,270032,453165,223103,357732,183547,332674,171998,297355,141776,252280,128724,320328,
"Exceptional Item 1",-488353,,,,,,,,,,59977,,71,,-38804,,-53852,,-50185,,-47729,
"Exceptional Item 1: Bee preference dividend",,,,,,,,,,,-39542,,-37245,,-34720,,-51035,,-47733,,-45594,
"Exceptional Item 1: Bee shareholder`s loan",,,,,,,,,,,-4270,,,,,,,,,,,
"Exceptional Item 1: Fair value adj of investments",,,,,,,,,,,59977,,,,,,,,,,,
"Exceptional Item 1: Fair value gains",,,,,,,,,,,,,44671,,,,,,,,,
"Exceptional Item 1: Interest Expense",,,,,,,,,,,,,-3638,,-848,,,,,,,
"Exceptional Item 1: Notional Interest on BBE",,,,,,,,,,,,,-3717,,-3236,,-2817,,-2452,,-2135,
