Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"19 Aug 2020","24 Feb 2020","26 Aug 2019","28 Feb 2019","20 Aug 2018","19 Feb 2018","21 Aug 2017","20 Feb 2017","15 Aug 2016","15 Feb 2016","17 Aug 2015","16 Feb 2015","18 Aug 2014","17 Feb 2014","19 Aug 2013","18 Feb 2013","17 Aug 2012","20 Feb 2012","22 Aug 2011","21 Feb 2011","16 Aug 2010",
"Total Premiums",2222.815,1148.876,2278.452,1148.067,2199.43,1095.728,2003.255,989.545,1852.516,921.408,1641.189,798.302,1406.175,684.364,1224.459,608.853,1194.852,598.542,1114.995,543.409,1005.66,
"Reinsurance Cost",128.564,65.697,137.867,69.589,123.112,60.052,130.69,64.806,126.525,59.191,114.001,56.192,100.005,47.432,78.596,36.538,68.916,33.253,56.673,27.192,42.755,
"Net Earned Premiums",2094.251,1083.179,2140.585,1078.478,2076.327,1035.676,1872.565,924.739,1725.991,862.217,1527.188,742.11,1306.17,636.932,1145.863,572.315,1125.936,565.289,1058.322,516.217,962.905,
"Other Income",,,,,,83.534,,77.436,,81.801,,88.952,,88.277,639.627,87.249,455,83.774,408.015,259.081,360.23,
"Total Income",2094.251,1083.179,2140.585,1078.478,2076.327,1119.21,1872.565,1002.175,1725.991,944.018,1527.188,831.062,1306.17,725.209,1785.49,659.564,1580.936,649.063,1466.337,775.298,1323.135,
"Marketing & Administration Costs",1385.999,764.695,1509.464,751.204,1335.172,644.596,1132.005,553.393,1061.901,526.736,990.505,490.187,927.937,455.183,818.555,397.109,739.165,383.066,766.258,381.365,674.438,
"Policy Payouts",330.499,171.196,342.778,170.59,384.49,194.667,359.47,172.868,325.777,156.18,300.499,145.896,311.102,156.326,339.755,172.087,291.027,137.175,239.351,212.252,279.131,
"Other Outgoing",,,,,,,,,,,,,,1.582,818.555,68.25,723.037,79.631,623.255,219.782,486.142,
"Total Outgoing",1716.498,935.891,1852.242,921.794,1719.662,839.263,1491.475,726.261,1387.678,682.916,1291.004,636.083,1239.039,613.091,1976.865,637.446,1753.229,599.872,1628.864,813.399,1439.711,
