Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","23 Apr 2020","24 Oct 2019","17 Apr 2019","25 Oct 2018","19 Apr 2018","26 Oct 2017","21 Apr 2017","27 Oct 2016","21 Apr 2016","22 Oct 2015","23 Apr 2015","23 Oct 2014","24 Apr 2014","24 Oct 2013","25 Apr 2013","18 Oct 2012","26 Apr 2012","20 Oct 2011","14 Apr 2011","21 Oct 2010","22 Apr 2010",
"Turnover",34364.398,16856.6,31352.109,15334.139,29239.054,14432.573,26809.101,13125.101,24170.879,12093.347,22070.092,10664.306,19149.524,9348.825,17543.301,8529.084,15436.947,7657.499,14135.948,7166.768,13276.277,6565.754,
"Cost of Sales",27156.052,13272.251,24662.049,11970.087,23071.202,11324.681,21185.124,10297.945,19156.612,9545.841,17545.318,8338.559,15026.159,7284.418,13760.77,6626.166,11961.536,5873.924,,,10372.685,5109.066,
"Gross Profit",7208.346,3584.349,6690.06,3364.052,6167.852,3107.892,5623.977,2827.156,5014.267,2547.506,4524.774,2275.747,4123.365,2064.407,3782.531,1902.918,3475.411,1783.575,3256.775,1681.326,2903.592,1456.688,
"Operating Expenses",6607.789,3355.532,6144.001,3113.451,5852.575,2966.136,5333.405,2658.735,4796.464,2423.41,4338.817,2168.825,3953.943,1953.569,3590.481,,3093.102,,,,2706.412,1349.71,
"EBITDA (ProfileData Calc)",1688.859,1835.217,1567.414,1650.58,2379.411,1112.478,2105.337,980.045,1826.419,854.417,1629.185,756.328,1472.523,677.464,1301.467,627.999,1182.468,572.92,1089.256,537.034,949.113,463.619,
"Depreciation",-1131.068,543.631,-1004.998,486.86,319.976,160.5,283.227,137.089,252.662,121.9,237.67,117.077,219.871,107.538,200.398,97.702,171.535,83.309,149.714,72.401,128.095,60.508,
"Operating Income",2766.872,1245.618,2506.539,1138.151,2032.424,938.406,1813.577,840.193,1571.636,732.199,1396.039,640.116,1217.701,570.596,1103.785,531.854,1011.328,488.936,937.59,462.301,823.272,396.786,
"Other Income",,,,,,,,,,,,,,,,,,,,,,289.808,
"Profit Before Exceptional Items",2766.872,1245.618,2506.539,1138.151,2032.424,938.406,1813.577,840.193,1571.636,732.199,1396.039,640.116,1217.701,570.596,1103.785,531.854,1011.328,488.936,937.59,462.301,823.272,686.594,
"Exceptional Item 1",-9.533,-1.094,-0.351,0.491,-1.287,-0.112,-4.868,-2.109,-6.388,-3.098,-9.446,-4.082,29.687,-3.346,-7.854,-3.632,-6.578,-2.579,-6.25,-2.509,-14.161,-290.983,
"Profit Before Interest And Tax",2757.339,1244.524,2506.188,1138.642,2031.137,938.294,1808.709,838.084,1565.248,729.101,1386.593,636.034,1247.388,567.25,1095.931,528.222,1004.75,486.357,931.34,459.792,809.111,395.611,
"Interest Received",60.483,45.249,63.421,23.77,25.757,12.339,10.501,3.455,6.255,3.416,4.922,3.217,5.497,2.828,5.535,2.353,5.876,3.34,8.235,4.867,10.304,6.15,
"Interest Paid",235.933,112.13,239.175,119.072,23.692,13.468,47.838,31.319,59.106,21.598,62.231,27.957,46.157,25.528,51.904,22.401,52.272,28.448,41.861,22.08,49.055,25.529,
"Net Interest Paid/(Received)",175.45,66.881,175.754,95.302,-2.065,1.129,37.337,27.864,52.851,18.182,57.309,24.74,40.66,22.7,46.369,20.048,46.396,25.108,33.626,17.213,38.751,19.379,
"Income From Associates Before Tax",2.105,1.813,2.803,1.308,2.541,1.345,2.9,1.417,2.254,,,,,,,,,,,,,,
"Income Before Tax",2583.994,1179.456,2333.237,1044.648,2035.743,938.51,1774.272,811.637,1514.651,710.919,1329.284,611.294,1206.728,544.55,1049.562,508.174,958.354,461.249,897.714,442.579,770.36,376.232,
"Taxation",703.819,329.402,652.115,291.442,567.375,262.723,496.63,228.886,420.779,201.913,374.709,172.701,341.883,154.665,298.873,144.336,269.974,130.078,246.749,121.69,206.55,103.473,
"Profit For The Period",1880.175,850.054,1681.122,753.206,1468.368,675.787,1277.642,582.751,1093.872,509.006,954.575,438.593,864.845,389.885,750.689,363.838,688.38,331.171,650.965,320.889,563.81,272.759,
"Income Attributable To Minority Interests",,,,,,,,,,,,,0.233,0.152,0.397,0.278,-0.307,0.086,0.033,0.026,-1.603,-1.35,
"Attributable Income Before Extraordinary Items",1880.175,850.054,1681.122,753.206,1468.368,675.787,1277.642,582.751,1093.872,509.006,954.575,438.593,864.612,389.733,750.292,363.56,688.687,331.085,650.932,320.863,565.413,274.109,
"Income Attributable To Equity Holders",1880.175,850.054,1681.122,753.206,1468.368,675.787,1277.642,582.751,1093.872,509.006,954.575,438.593,864.612,389.733,750.292,363.56,688.687,331.085,650.932,320.863,565.413,274.109,
"Total Comprehensive Income/Loss for the period",1935.597,855.242,1655.533,684.07,1517.355,651.748,1261.083,561.245,1086.766,515.419,993.355,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1887.374,851.177,1682.08,752.853,1469.295,675.868,1268.552,584.269,1098.471,511.236,960.455,441.532,838.362,392.143,755.947,366.175,692.405,332.942,655.432,322.669,575.609,274.955,
"Enterprise Value (EV)",55040.007,56924.833,49540.963,45895.515,50027.629,42043.366,36514.632,31491.162,29437.512,22740.677,22130.735,22162.004,16824.812,14225.184,14965.144,16456.081,16066.596,12579.803,10905.836,10474.216,9966.732,7864.689,

Balance sheet (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Sep 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"22 Oct 2020","23 Apr 2020","24 Oct 2019","17 Apr 2019","25 Oct 2018","19 Apr 2018","26 Oct 2017","21 Apr 2017","27 Oct 2016","21 Apr 2016","22 Oct 2015","23 Apr 2015","23 Oct 2014","24 Apr 2014","24 Oct 2013","25 Apr 2013","18 Oct 2012","26 Apr 2012","20 Oct 2011","14 Apr 2011","21 Oct 2010","22 Apr 2010",
"Fixed Assets",2120.674,2120.231,2067.036,1930.401,1843.402,1640.482,1533.935,1442.171,1345.024,1284.961,1221.658,1150.461,1135.007,1067.116,1058.967,1036.047,1010.657,959.216,949.906,924.052,888.053,840.602,
"Investments in Associates",20.062,20.505,20.091,20.32,20.044,20.665,20.039,20.375,20.282,19.666,,,,,,,,,,,,,
"Investments and Loans",9.608,10.153,10.131,14.491,15.003,8.572,4.5,9.521,9.521,13.246,13.003,12.755,12.54,12.306,12.105,11.701,12.494,5.778,5.733,16.185,23.407,31.679,
"Goodwill",102.806,102.806,102.806,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,103.51,105.335,96.124,
"Intangible Assets",568.7,531.654,497.078,461.714,476.761,451.356,457.603,439.915,434.083,405.02,395.625,376.942,371.623,353.665,349.018,319.911,306.286,301.51,301.579,307.032,314.473,308.233,
"Deferred Tax Asset",110.694,97.205,95.06,337.504,478.608,610.756,573.567,506.822,347.4,195.123,177.037,195.165,126.335,55.545,59.098,66.298,57.401,43.87,53.756,28.201,51.907,56.539,
"Other Assets",2597.963,2495.877,2253.346,2290.454,214.11,94.381,134.891,97.74,231.242,124.356,81.662,82.474,,,,,,,,,,,
"Other Assets: Derivative financial assets",,,,,,,,97.74,231.242,124.356,81.662,82.474,,,,,,,,,,,
"Long-Term Receivables",,,,,82.482,25.265,27.58,22.03,16.145,19.946,16.668,17.248,22.621,21.889,18.763,16.042,,,,,,,
