Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","26 May 2020","19 Nov 2019","21 May 2019","20 Nov 2018","22 May 2018","21 Nov 2017","23 May 2017","15 Nov 2016","17 May 2016","10 Nov 2015","19 May 2015","11 Nov 2014","20 May 2014","12 Nov 2013","14 May 2013","13 Nov 2012","15 May 2012","8 Nov 2011","17 May 2011","9 Nov 2010","6 May 2010",
"Turnover",3642,1769,3291,1632,3848,2079,3919,1936,4046,2067,4442,2167,4774,2308,3635,1475.048,1975,911.929,1725.91,820.686,1290.887,654.825,
"Operating Expenses",1952,950,1797,891,1933,1055,1934,933,2019,1023,2090,1035,2171,1042,1695,716.423,1016,470.7,838.056,401.759,656.554,328.418,
"Share Option Costs",,,,,3,1,6,3,7,4,11,3,1,2,6,1.213,3,1.427,4.856,2.061,14.059,9.588,
"Operating Income",1719,832,1516,752,1933,1025,1991,1004,2047,1050,2380,1141,2617,1273,1943,760.229,962,441.791,909.261,437.308,638.147,316.819,
"Non Trading Income",9,,4,,5,,2,3,20,7,25,15,41,33,88,48.525,43,22.286,19.518,9.583,34.583,19.998,
"Other Income",6,3,6,3,8,5,8,5,9,4,,4,7,4,5,3.025,4,2.182,2.365,1.173,,1.73,
"Profit Before Exceptional Items",1734,835,1526,755,1946,1030,2001,1012,2076,1061,2405,1160,2665,1310,2036,811.779,1009,466.259,931.144,448.064,672.73,338.547,
"Exceptional Item 1",96,-6,40,11,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",1830,829,1566,766,1946,1030,2001,1012,2076,1061,2405,1160,2665,1310,2036,811.779,1009,466.259,931.144,448.064,672.73,338.547,
"Interest Received",23,13,37,17,38,17,37,16,35,15,32,13,42,15,27,11.011,18,7.797,12.263,4.638,21.48,13.655,
"Interest Paid",30,14,24,14,24,13,23,13,22,11,15,6,4,1,,0.233,5,1.487,5.262,3.16,8.851,5.25,
"Net Interest Paid/(Received)",7,1,-13,-3,-14,-4,-14,-3,-13,-4,-17,-7,-38,-14,-27,-10.778,-13,-6.31,-7.001,-1.478,-12.629,-8.405,
"Income From Associates Before Tax",,,,,,,,,,,8,,,,,,,,,,,,
"Income Before Tax",1823,828,1579,769,1960,1034,2015,1015,2089,1065,2430,1167,2703,1324,2063,822.557,1022,472.569,938.145,449.542,685.359,346.952,
"Taxation",429,204,383,191,489,252,492,252,515,261,620,306,699,358,606,250.536,338,175.773,314.295,150.455,244.983,120.421,
"Profit For The Period",1394,624,1196,578,1471,782,1523,763,1574,804,1810,861,2004,966,1457,572.021,684,296.796,623.85,299.087,440.376,226.531,
"Income Attributable To Minority Interests",,,,,,,,,,,-2,-2,3,1,2,,,0.918,-0.127,0.245,3.268,2.534,
"Attributable Income Before Extraordinary Items",1394,624,1196,578,1471,782,1523,763,1574,804,1812,863,2001,965,1455,572.021,684,295.878,623.977,298.842,437.108,223.997,
"Income Attributable To Equity Holders",1394,624,1196,578,1471,782,1523,763,1574,804,1812,863,2001,965,1455,572.021,684,295.878,623.977,298.842,437.108,223.997,
"Total Comprehensive Income/Loss for the period",1391,651,1203,568,1526,767,1590,779,1611,863,1863,897,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1394,624,1196,578,1471,782,1530,771,1565,804,1805,862,1999,963,1455,571.374,684,295.878,605.842,280.712,437.208,223.997,
"Enterprise Value (EV)",14181.896,11283.672,14348.125,16247.771,18505.674,28142.779,23443.48,21737.295,24467.889,25326.254,22110.377,33791.762,32983.083,33797.111,23703.673,16377.149,9335.389,8779.566,5947.758,5521.354,4448.237,3065.93,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","26 May 2020","19 Nov 2019","21 May 2019","20 Nov 2018","22 May 2018","21 Nov 2017","23 May 2017","15 Nov 2016","17 May 2016","10 Nov 2015","19 May 2015","11 Nov 2014","20 May 2014","12 Nov 2013","14 May 2013","13 Nov 2012","15 May 2012","8 Nov 2011","17 May 2011","9 Nov 2010","6 May 2010",
"Fixed Assets",18,15,18,24,20,17,21,22,31,38,37,37,22,24,16,11.439,13,13.404,14.839,13.925,13.993,14.133,
"Investments in Associates",41,38,42,38,41,38,39,36,37,38,41,37,38,34,34,32.152,33,30.782,31.338,30.147,,,
"Investments and Loans",49473,44967,49603,51532,51424,54504,55721,59848,64007,68704,66256,74698,73721,70318,70269,64047.311,53669,40276.713,31566.179,27379.486,23930.963,21301.229,
"Goodwill",,,,,,,,,,,,1088,1088,1088,1088,1087.772,1088,1087.772,1087.772,1087.772,1097.309,1097.309,
"Intangible Assets",1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,,,,,,,,,,,,
"Deferred Tax Asset",151,98,126,106,125,122,171,144,162,98,145,129,166,177,111,99.565,6,2.65,8.069,2.496,4.9,4.309,
"Other Assets",1778,1363,1145,1159,1190,862,934,834,1097,1079,751,619,234,223,175,108.288,112,104.482,28.467,28.965,28.274,26.168,
"Other Assets: Financial Assets",,,,,,,,,,,,,,223,,108.288,,104.482,,28.965,,26.168,
"Other Assets: Investment Securities",,,,,,,,,,1079,,619,,,,,,,,,,,
"Other Assets: Loans and receivables",,,,,,,,,,,751,,234,,175,,112,,28.467,,28.274,,
"Long-Term Receivables",,78,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",52549,47647,52022,53947,53888,56631,57974,61972,66422,71045,68318,76608,75269,71864,71693,65386.527,54921,41515.803,32736.664,28542.791,25075.439,22443.148,
"Debtors",695,569,448,484,448,466,558,530,498,485,509,525,760,733,946,503.162,321,286.159,242.45,289.82,227.006,305.454,
"Cash",519,340,682,285,805,553,564,524,538,498,728,581,832,838,294,415.305,426,215.746,393.169,148.147,300.638,108.521,
"Tax",35,,,,15,,,,,,2,,,,,,,,,,,,
"Total Current Assets",1249,909,1130,769,1268,1019,1122,1054,1036,983,1239,1106,1592,1571,1240,918.467,747,501.905,635.619,437.967,527.644,413.975,
"Total Assets",53798,48556,53152,54716,55156,57650,59096,63026,67458,72028,69557,77714,76861,73435,72933,66304.994,55668,42017.708,33372.283,28980.758,25603.083,22857.123,
"Ordinary Share Capital & Premium",256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,,,255.907,,255.907,,255.907,
"Distributable Reserves",1752,1604,1609,1568,1539,1630,1607,1587,1586,1617,1757,1669,1841,1650,1570,,,992.975,,920.345,,810.161,
"Non-Distributable Reserves",167,196,169,152,301,229,243,219,200,219,156,131,92,188,177,,,119.531,,115.309,,112.626,
"Translation Reserves",,,,,,,,,,,,,,,,,,18.05,,1.572,,9.369,
"Other Capital",,,,,,,,,,,,,,,,,,4.089,,4.284,,,
"Ordinary Shareholders' Interest",2175,2056,2034,1976,2096,2115,2106,2062,2042,2092,2169,2056,2189,2094,2003,1671.696,1473,1390.552,1389.781,1297.417,1238.443,1188.063,
"Minority Interest",130,127,147,163,160,153,166,140,136,149,,5,7,5,4,2.097,2,2.665,1.747,1.419,10.702,9.968,
"Total Shareholders' Interest",2305,2183,2181,2139,2256,2268,2272,2202,2178,2241,2169,2061,2196,2099,2007,1673.793,1475,1393.217,1391.528,1298.836,1249.145,1198.031,
"Interest Bearing Loans",467,328,150,300,300,300,150,,150,,,,,,,,,20.3,42.8,64.3,82,98.144,
"Deferred Tax Liability",44,4,27,23,23,10,24,23,25,68,78,80,76,100,78,70.002,31,29.423,18.629,22.548,22.528,19.994,
"Other Long-Term Liabilities",49601,44966,49598,51529,51421,54503,55718,60132,64257,69181,66605,74924,73799,70372,70191,63978.394,53639,40247.627,31547.55,27357.188,23908.436,21281.235,
"Other Long-Term Liabilities: External investors in consolidated funds",,,,,,,,,,241,,,,,,,,,,,,,
"Other Long-Term Liabilities: Lease liabilities",108,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Long-term liabilities",,,,,,,,300,,300,300,303,152,,,,,,,,,,
"Other Long-Term Liabilities: Long-term payable",29,,,,,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Other liabilities",,,,,,,,,269,,124,,,,,,,,,,,,
"Other Long-Term Liabilities: Policyholder investment contract liabilities",49464,44966,49598,51529,51421,54503,55718,59832,63988,68640,66181,74621,73647,,,,,,,,,,
"Total Long-Term Liabilities",50112,45298,49775,51852,51744,54813,55892,60155,64432,69249,66683,75004,73875,70472,70269,64048.396,53670,40297.35,31608.979,27444.036,24012.964,21399.373,
"Creditors and Provisions",804,397,748,466,935,560,747,587,694,515,705,572,731,776,646,496.275,510,320.305,361.916,193.261,337.759,214.406,
"Tax",,70,38,47,,9,35,82,4,23,,77,59,88,11,86.53,13,6.836,9.86,44.625,3.215,45.313,
"Bank Overdrafts/Short-Term Loans",,150,150,,,,150,,150,,,,,,,,,,,,,,
"Other Current Liabilities",577,458,260,212,221,,,,,,,,,,,,,,,,,,
"Total Current Liabilities",1381,1075,1196,725,1156,569,932,669,848,538,705,649,790,864,657,582.805,523,327.141,371.776,237.886,340.974,259.719,
"Total Liabilities",51493,46373,50971,52577,52900,55382,56824,60824,65280,69787,67388,75653,74665,71336,70926,64631.201,54193,40624.491,31980.755,27681.922,24353.938,21659.092,
"Total Equity and Liabilities",53798,48556,53152,54716,55156,57650,59096,63026,67458,72028,69557,77714,76861,73435,72933,66304.994,55668,42017.708,33372.283,28980.758,25603.083,22857.123,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","26 May 2020","19 Nov 2019","21 May 2019","20 Nov 2018","22 May 2018","21 Nov 2017","23 May 2017","15 Nov 2016","17 May 2016","10 Nov 2015","19 May 2015","11 Nov 2014","20 May 2014","12 Nov 2013","14 May 2013","13 Nov 2012","15 May 2012","8 Nov 2011","17 May 2011","9 Nov 2010","6 May 2010",
"Number of Shares in Issue (Actual)",349799000,349799102,349799102,349799102,349799102,349799102,349799102,349799102,349799102,349799102,349799000,349799102,349799102,349799102,349762000,349799102,314819000,314819192,314819000,314819192,314819000,314819192,
"Weighted Average Shares in Issue (Actual)",349799000,349799102,349799102,349799102,349799102,349799102,349799102,349799102,349799000,349799102,349799000,349799102,349799102,349799102,335328000,320777309,314819000,314819192,314819000,314819192,314733000,314646591,
"Fully Diluted Weighted Average Shares in Issue",349799000,349799102,349799102,349799102,349799102,349799102,349779102,349799102,349799000,349799102,349799000,349799102,349799102,349799102,349762000,349724973,349617000,349643634,349512000,349391630,348849000,347731074,
"Market Capitalisation (R'000)",14103896,11018672,14583125,16069771,18850674,28242779,23541480,22121295,24569889,25675254,22838377,34367762,33808083,34630111,23993673,16790357,9759389,8972347,6296380,5603782,4656173,3066339,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Number of Employees",,,,,335,,305,,286,,274,,274,,246,,,,201,,189,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","26 May 2020","19 Nov 2019","21 May 2019","20 Nov 2018","22 May 2018","21 Nov 2017","23 May 2017","15 Nov 2016","17 May 2016","10 Nov 2015","19 May 2015","11 Nov 2014","20 May 2014","12 Nov 2013","14 May 2013","13 Nov 2012","15 May 2012","8 Nov 2011","17 May 2011","9 Nov 2010","6 May 2010",
"Earnings Per Share (ZARc)",398.5,178.3,341.9,165.1,420.7,223.4,435.4,218.5,450,229.7,517.9,246.8,572.1,276,434,178.32,217.27,94,198.2,94.92,138.88,71.19,
"Diluted Earnings Per Share (ZARc)",398.5,178.3,341.9,165.1,420.7,223.4,435.4,218.5,450,229.7,517.9,246.8,572.1,276,416.1,163.5,197.8,86.7,181.3,86.9,127.9,64.8,
"Headline Earnings Per Share (Cont Ops) (ZARc)",398.5,178.3,341.9,165.1,420.7,223.4,437.5,220.7,447.6,229.7,516,246.7,571.6,275.4,433.9,178.1,217.3,94,192.4,89.2,138.9,71.2,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",398.5,178.3,341.9,165.1,420.7,223.4,437.5,220.7,447.6,229.7,516,246.7,571.6,275.4,416,163.4,197.8,86.7,176.1,81.7,128,64.8,
"Interim Dividend (ZARc)",178,178,165,165,223,223,220,220,229,229,246,246,275,275,163,163,95,95,80,80,51,51,
