Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Nov 2020","31 Mar 2020","30 Sep 2019","29 Mar 2019","1 Oct 2018","9 Mar 2018","27 Sep 2017","22 Feb 2017","30 Sep 2016","22 Feb 2016","25 Sep 2015","22 May 2015","27 Nov 2014","14 May 2014","18 Nov 2013","22 Apr 2013","22 Nov 2012","24 Apr 2012","16 Nov 2011","20 Apr 2011","17 Nov 2010","5 May 2010",
"Total Premiums",310438,168668,387869,162833,392544,158999,381904,163657,375708,221066,314760,467155,882998,492567,1039463,580623,1071936,519289,920517,510925,771207,410355,
"",,,,,,,,,,,,,,,,,369870,195847,356046,166724,374304,197220,
"Interest Received",-393091,-184747,-363795,187198,368843,203142,40860,9749,4665,3843,45576,,25889,,,,,,,,,,
"Total Income",1069675,518626,882415,394724,977303,425743,750833,350957,692717,386374,677423,400406,743372,423599,844944,465095,,,,,,,
"Marketing & Administration Costs",747619,409745,697248,328606,604854,275653,469145,215245,332514,174499,24702,15289,32293,17064,28851,16986,3514,2010,3519,1513,3152,1418,
"Interest Paid",8329,3849,3181,296,1143,431,577,173,924,204,212,53,387,,,,,,,,,,
"Policy Payouts",171359,78893,157535,49487,245919,116012,229805,84889,187318,104805,158656,70563,142097,69251,174512,90282,,,,,,,
"Other Outgoing",323806,,,,,,,,,,,,,,,,,,,,,,
"Total Outgoing",1251113,492487,857964,378389,851916,392096,699527,300307,520756,279508,183570,85905,174777,86315,203363,107268,,,,,,,
"Excess Income Over Outgoing",-181438,26139,24451,16335,125387,33647,51306,50650,171961,106866,493853,314501,568595,337284,641581,357827,,,,,,,
"Underwriting Surplus",-173109,-126308,-287510,-126913,-141078,-92951,-134349,-43218,-20390,-2152,46536,26618,58616,34645,68352,29964,,,,,,,
"Income Before Exceptional Items",-173109,-100169,-263059,-110578,-15691,-59304,-83043,7432,-35298,-3216,-15398,-2357,1953,5975,49979,26296,64731,21726,27828,12671,9726,6694,
"Exceptional Item 1",-472157,-251436,-446596,156549,210377,155337,-94210,-53431,-11858,-7646,48299,23407,122776,108945,26525,15934,528,,1190,28,3790,25,
"Income From Associates Before Tax",3244,3070,2971,1923,6619,4510,8997,-255,13153,8710,14015,9368,16162,7021,522,184,723,318,667,187,57,121,
"Income Before Tax",-642022,-348535,-706684,47894,201305,100543,-168256,-46254,-34003,-2152,46916,30418,140891,121941,77026,42414,79671,38258,53308,24661,29595,15332,
"Tax",-71393,-41338,-53888,25692,73831,43154,-28245,-11760,-918,1355,9247,4916,24508,24131,18293,7140,30418,9807,16988,7575,6006,4164,
"Profit For The Period",-570629,-307197,-652796,22202,127474,57389,-140011,-34494,-33085,-3507,37669,25502,116383,97810,58733,35274,49253,28451,36320,17086,23589,11168,
"Income Attributable To Minority Interests",-1933,172,-1131,-933,252,-8,-36,-112,-231,-86,43,59,101,41,19108,10323,17097,8563,13901,7023,12200,4222,
"Income Before Extraordinary Items",-568696,-307369,-651665,23135,127222,57397,-139975,-34382,-32854,-3421,37626,25443,116282,97769,39625,24951,32156,19888,22419,10063,11389,6946,
"Income Attributable To Equity Holders",-568696,-307369,-651665,23135,127222,57397,-139975,-34382,-32854,-3421,37626,25443,116282,97769,39625,24951,32156,19888,22419,10063,11389,6946,
"Total Comprehensive Income/Loss for the period",-570629,-307197,-652796,22202,127474,56360,-140011,-34494,-33085,-3507,37669,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-547332,-297814,-622938,23135,133548,57859,-82668,-34370,-17740,-3421,38179,25449,40162,21625,39980,24991,32163,20438,21557,10052,11392,5917,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"2 Nov 2020","31 Mar 2020","30 Sep 2019","29 Mar 2019","1 Oct 2018","9 Mar 2018","27 Sep 2017","22 Feb 2017","30 Sep 2016","22 Feb 2016","25 Sep 2015","22 May 2015","27 Nov 2014","14 May 2014","18 Nov 2013","22 Apr 2013","22 Nov 2012","24 Apr 2012","16 Nov 2011","20 Apr 2011","17 Nov 2010","5 May 2010",
"Ordinary Share Capital & Premium",1168594,1170538,1162575,1163605,1170713,1185463,846603,323195,323195,323167,176704,176704,176704,176704,176704,176703,175917,175917,199155,199155,199155,199155,
"Distributable Reserves",-994751,-733424,-426055,248987,225852,156027,98630,204223,238605,268038,271459,266361,253737,235123,137354,122681,97694,85236,65538,53798,43626,38675,
"Translation Reserves",,,,,,,,,,,,,,,,,,157,,,,,
"Ordinary Shareholders' Interest",173843,437114,736520,1412592,1396565,1341490,945233,527418,561800,591205,448163,443065,430441,411827,314058,299384,273793,261493,265293,253574,243144,237911,
"Minority Interest",1617,10805,9305,9503,10436,1992,310,234,346,491,577,593,612,611,13567,19712,14504,18869,17565,16687,16419,11445,
"Total Shareholders' Interest",175460,447919,745825,1422095,1407001,1343482,945543,527652,562146,591696,448740,443658,431053,412438,327625,319096,288297,280362,282858,270261,259563,249356,
"Interest Bearing Loans",,2059,,306,304,638,,,,,,,,,2695,2675,3753,4125,3796,8339,12661,16183,
"Other Long-Term Liabilities",87757,114885,126134,31494,37200,29384,29384,25987,25987,32606,32606,20522,20522,19214,19214,19051,19052,18776,19661,21837,21837,24548,
"Long-Term Liabilities",87757,116944,126134,31800,37504,30022,29384,25987,25987,32606,32606,20522,20522,19214,21909,21726,30840,30086,28629,38568,40054,47610,
"Deferred Tax Liability",44754,71835,111752,236544,197778,168648,125763,35660,26896,35603,28675,36422,27946,30519,10456,9432,8035,7185,5172,8392,5556,6879,
"Total Capital Employed",307971,636698,983711,1690439,1642283,1542152,1100690,589299,615029,659905,510021,500602,479521,462171,359990,350254,,,,,,,
"Fixed Assets",72850,86010,88537,18234,16746,15369,14331,12863,10787,9065,9067,9705,9985,10209,14102,14452,14601,14680,14457,14825,14998,16082,
"Investments In Associates",39972,38951,89166,116561,116941,103543,92527,2376,110133,125872,124411,120967,124931,121185,323,395,311,327,281,3468,756,2245,
"Investments",419148,620677,843106,1398522,1221613,1026933,837602,252277,251626,174469,110501,262362,247439,250289,79883,81569,85110,81826,70261,65233,30338,29565,
"",,,,,,,,,,,,,,,,,4073,5379,5351,7322,6884,4761,
"",,,,,,,,,,,,,,,,,160517,157935,143629,148107,107229,105842,
"Intangible Assets",106083,172566,161046,114660,122878,103557,93701,38291,37226,35079,35246,35147,35113,35171,46865,47058,46457,46459,46089,46114,46277,46274,
"Deferred Tax Asset",12252,11457,7922,47618,34413,39260,37276,18557,10790,16045,9334,15237,9364,14826,13625,13701,9965,9264,7190,11145,7976,6915,
"Other Assets",166559,17292,25129,,,9080,4249,18297,16783,7963,16004,15730,17721,18642,12801,3789,,,,,,,
"",,,,,,,,,,,,,,,,,413,2118,262,981,1160,1331,
"Debtors and O/S Premiums",269408,431353,436769,370844,263079,228133,222427,237860,182535,180497,129962,125666,128743,146101,183120,157613,113513,116012,78761,91002,91519,95898,
"Cash and Short Term Funds",149211,115807,194773,239352,340090,451131,208101,251792,272473,389849,312932,105442,88962,108684,276449,260231,269972,252101,269862,254716,270255,243299,
"Other Current Assets",454320,494473,437877,400314,289557,245447,284922,470399,286897,329923,316756,392629,355082,387049,400693,448562,357402,354000,320776,342540,243592,275268,
"Other Current Assets: Assets held for sale",11779,32920,,,,,,110000,,,,,,,,,,,,,,,
"Other Current Assets: Insurance assets",439212,458255,437041,397803,278484,232770,265001,332869,267108,316086,302672,360150,,382623,389895,435877,357402,349890,316026,331740,228542,255143,
"Other Current Assets: Insurance contracts",,,,,,,,,,,,,345605,,,,,,,,,,
"Other Current Assets: Inventory",2033,2553,,,,,,,,,,,,,,,,,,,,,
"Other Current Assets: Investments",,,2,2,2,,,,,,,23970,4683,,,,,,,,,,
"Other Current Assets: Loans and receivables",632,492,500,,6330,7149,14299,2365,2365,1180,1180,1629,376,1496,4707,,,,,,,,
"Other Current Assets: Loans Receivable",,,,,,,,,,,,,,,,10158,,,,,,,
"Other Current Assets: Non-current assets",,,,,,,,,,,,,,,,,,,4750,,15050,,
"Other Current Assets: Non-current assets held for sale",,,,,,,,,,,,,,,,,,4110,,10800,,20125,
"Other Current Assets: Taxation",664,253,334,2509,4741,5528,5622,25165,17424,12657,12904,6880,4418,2930,6091,2527,,,,,,,
