Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"19 Aug 2020","25 Feb 2020","14 Aug 2019","13 Feb 2019","14 Aug 2018","19 Feb 2018","15 Aug 2017","28 Feb 2017","16 Aug 2016","23 Feb 2016","13 Aug 2015","17 Feb 2015","5 Aug 2014","18 Feb 2014","20 Aug 2013","22 Feb 2013","20 Aug 2012","28 Feb 2012","15 Aug 2011",
"Turnover",1590000,2944000,1480000,2496000,1240000,2099000,1051000,1715000,872000,1383739,705000,1000701,487200,659128,315600,365749,161303,166298,79271,
"Operating Expenses",1042000,2241000,1065000,1853000,898000,1626000,796000,1338000,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",408000,669000,457000,686000,378000,538000,288000,442000,,,,,,,,,,,,
"EBITDA (company calc)",466000,693000,415000,627000,342000,472000,,,,,,,,,,,,,,
"Depreciation",112000,187000,91000,154000,79000,131000,67000,105000,,,,,,,,,,,,
"Operating Income",354000,506000,324000,473000,263000,341000,188000,272000,159000,206835,122000,133029,68800,76702,35400,35366,12416,3777,2252,
"Profit Before Exceptional Items",354000,506000,324000,473000,263000,341000,188000,272000,159000,206835,122000,133029,68800,76702,35400,35366,12416,3777,2252,
"Exceptional Item 1",-83000,-75000,29000,,,13000,1000,3000,,-1820,,-811,,,,,,,,
"Profit Before Interest And Tax",271000,431000,353000,473000,263000,354000,189000,275000,159000,205015,122000,132218,68800,76702,35400,35366,12416,3777,2252,
"Interest Received",23000,36000,17000,55000,31000,41000,26000,57000,18000,27425,11000,11906,4100,3802,1700,1502,,,,
"Interest Paid",158000,279000,126000,193000,104000,119000,69000,127000,78000,117836,66000,66827,34500,26199,16700,16618,,,,
"Net Interest Paid/(Received)",135000,243000,109000,138000,73000,78000,43000,70000,60000,90411,55000,54921,30400,22397,15000,15116,16558,12948,13226,
"Income From Associates Before Tax",,,,-2000,1000,1000,,1000,,689,,1149,-600,1000,,,,,,
"Income Before Tax",136000,188000,244000,333000,191000,277000,146000,206000,99000,115293,67000,78446,37800,55305,20400,20250,-4142,-9171,-10974,
"Taxation",45000,1000,6000,91000,52000,75000,38000,45000,19000,23272,19000,27688,10300,15584,5692,5573,-1160,-1767,-3278,
"Profit For The Period",91000,187000,238000,242000,139000,202000,108000,161000,80000,92021,48000,50758,27500,39721,14708,14677,-2982,-7404,-7696,
"Income Attributable To Minority Interests",-2000,-15000,4000,-6000,-4000,-11000,-6000,-4000,1000,-6323,-3000,-4217,200,2672,585,-427,,,,
"Attributable Income Before Extraordinary Items",93000,202000,234000,248000,143000,213000,114000,165000,79000,98344,51000,54975,27300,37049,14123,15104,-2982,-7404,-7696,
"Extraordinary Profit",,,,,,-4000,-3000,7000,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,-4000,-3000,7000,,,,,,,,,,,,
"Income Attributable To Equity Holders",93000,202000,234000,248000,143000,209000,111000,172000,79000,98344,51000,54975,27300,37049,14123,15104,-2982,-7404,-7696,
"Total Comprehensive Income/Loss for the period",30000,174000,227000,247000,144000,185000,102000,147000,62000,116727,53000,,,,,,,,,
