Income statement (ZAR million),"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Feb 2020","17 Sep 2019","19 Feb 2019","18 Sep 2018","13 Feb 2018","12 Sep 2017","14 Feb 2017","13 Sep 2016","16 Feb 2016","14 Sep 2015","17 Feb 2015","9 Sep 2014","11 Feb 2014","10 Sep 2013","12 Feb 2013","11 Sep 2012","14 Feb 2012","13 Sep 2011","15 Feb 2011","14 Sep 2010",
"Turnover",3818.41,7125.642,3705.181,6536.54,3301.043,6063.737,3128.842,5959.573,2960.721,5890.746,3126.877,5903.219,2963.143,5386.581,2411.335,4162.938,2053.784,3587.754,1756.663,3009.544,
"Operating Expenses",3341.266,6263.975,3170.419,5412.752,2715.226,4999.789,2583.879,5129.781,2571.386,5157.578,2658.833,5198.457,2598.023,4765.356,2176.919,3974.163,2093.944,3311.147,1682.717,2723.009,
"Operating Income",477.144,861.667,534.762,670.58,387.056,637.79,363.469,415.855,157.143,327.057,242.732,416.774,233.139,373.81,124.303,20.787,-40.16,117.772,73.946,143.993,
"Other Income",3.152,5.929,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",480.296,867.596,534.762,670.58,387.056,637.79,363.469,415.855,157.143,327.057,242.732,416.774,233.139,373.81,124.303,20.787,-40.16,117.772,73.946,143.993,
"Amortisation",488.853,558.079,256.314,,,,,,,,,,,,,,,,,,
"Exceptional Item 1",-483.262,983.732,-11.336,0.012,-0.266,-11.27,,,,,,,,,,,-6.638,-12.071,-3.333,-13.108,
"Profit Before Interest And Tax",-491.819,1293.249,267.112,670.592,386.79,626.52,363.469,415.855,157.143,327.057,242.732,416.774,233.139,373.81,124.303,20.787,-46.798,105.701,70.613,130.885,
"Interest Received",34.831,46.328,12.36,36.611,20.297,49.67,25.92,41.44,19.884,40.428,22.209,32.149,17.301,20.217,7.523,8.2,,,,,
"Interest Paid",200.872,256.774,121.37,248.938,124.921,250.377,116.021,170.496,64.847,72.93,38.668,77.34,38.485,61.641,23.499,19.433,,,,,
"Net Interest Paid/(Received)",166.041,210.446,109.01,212.327,104.624,200.707,90.101,129.056,44.963,32.502,16.459,45.191,21.184,41.424,15.976,11.233,,,,,
"Income From Associates Before Tax",12.852,20.449,11.328,12.979,6.606,8.874,4.919,8.011,5.749,6.799,0.948,2.327,-1.06,-1.725,0.426,1.329,1.856,0.762,-1.392,-6.814,
"Income Before Tax",-645.008,1103.252,169.43,471.244,288.772,434.687,278.287,294.81,117.929,301.354,227.221,373.91,210.895,330.661,108.753,10.883,-44.942,106.463,69.221,124.071,
"Taxation",-89.416,206.443,42.354,145.633,85.394,137.717,79.281,102.108,34.196,82.578,63.649,109.059,57.455,103.135,29.625,3.202,-10.776,29.466,20.823,34.364,
"Profit For The Period",-555.592,896.809,127.076,325.611,203.378,296.97,199.006,192.702,83.733,218.776,163.572,264.851,153.44,227.526,79.128,7.681,-34.166,76.997,48.398,89.707,
"Income Attributable To Minority Interests",4.584,2.005,0.71,1.074,0.664,0.947,0.467,0.147,,0.889,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",-560.176,894.804,126.366,324.537,202.714,296.023,198.539,192.555,83.733,217.887,163.572,264.851,153.44,227.526,79.128,7.681,-34.166,76.997,48.398,89.707,
"Income Attributable To Equity Holders",-560.176,894.804,126.366,324.537,202.714,296.023,198.539,192.555,83.733,217.887,163.572,264.851,153.44,227.526,79.128,7.681,-34.166,76.997,48.398,89.707,
"Total Comprehensive Income/Loss for the period",-555.592,896.809,127.076,325.611,203.378,296.97,199.006,233.089,124.12,178.389,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-563.641,917.123,126.366,323.027,202.906,311.751,198.539,169.434,60.612,219.42,163.572,262.239,153.44,231.635,79.128,18.278,-23.497,76.997,48.398,89.707,
"Enterprise Value (EV)",4378.822,4677.84,4987.206,4439.839,5292.149,4179.788,4402.231,3053.75,2953.577,2661.753,3326.362,2424.417,2624.953,1788.259,2016.583,736.511,1103.128,1443.376,1493.072,1216.246,

Balance sheet (ZAR million),"Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Feb 2020","17 Sep 2019","19 Feb 2019","18 Sep 2018","13 Feb 2018","12 Sep 2017","14 Feb 2017","13 Sep 2016","16 Feb 2016","14 Sep 2015","17 Feb 2015","9 Sep 2014","11 Feb 2014","10 Sep 2013","12 Feb 2013","11 Sep 2012","14 Feb 2012","13 Sep 2011","15 Feb 2011","14 Sep 2010",
"Fixed Assets",6311.431,6314.91,5798.076,5509.614,4985.985,4631.326,4504.287,3988.323,3557.404,2760.584,2700.119,2545.033,2610.403,2314.082,2381.578,1432.509,1375.284,1315.357,1064.964,991.853,
"Investments in Associates",66.007,67.649,61.374,52.645,49.731,45.296,41.341,36.422,,,,,,,,,16.824,,76.637,75.887,
"Investments and Loans",2.845,2.845,,,,,,,34.16,28.411,7.56,6.612,0.99,2.05,9.293,8.717,,8.327,,153,
"Goodwill",13.169,13.169,42.236,13.169,12.93,6.615,6.615,6.615,3.668,6.615,3.668,3.668,3.668,3.668,3.668,3.668,3.668,3.668,,,
"Intangible Assets",32.687,29.667,13.917,14.97,16.731,15.892,19.517,21.953,23.962,27.49,25.922,31.106,36.291,41.475,51.307,51.515,,,,,
"Deferred Tax Asset",3.807,3.807,3.853,3.853,3.902,3.902,3.942,3.942,4.94,4.965,,,,,,,,,,,
"Other Assets",1391.307,,,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",,360.203,,,,,,,,,,,,,,,,,,,
