Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Sep 2020","14 Apr 2020","26 Sep 2019","28 Mar 2019","26 Sep 2018","27 Mar 2018","27 Sep 2017","28 Mar 2017","27 Sep 2016","30 Mar 2016","29 Sep 2015","24 Mar 2015","29 Sep 2014","26 Mar 2014","25 Sep 2013","27 Mar 2013","26 Sep 2012","28 Mar 2012","28 Sep 2011","30 Mar 2011","29 Sep 2010","31 Mar 2010",
"Interest Paid",2652,5680,2677,4510,2187,4184.449,2015,3551.821,1708,2883.666,1372,2425.702,1179.874,2132.718,1039.538,1662.513,725.627,1022.374,450.856,751.36,353.389,490.636,
"Interest Received",8404,17041,8124,15501,7606,15474.457,7759,14934.427,7430,13411.671,6040,10782.229,5201.633,9432.796,4616.442,7084.752,3034.829,4346.902,1939.554,2808.543,1267.576,1763.966,
"Net Interest Received",5752,11361,5447,10991,5419,11290.008,5744,11382.606,5722,10528.005,4668,8356.527,4021.759,7300.078,3576.904,5422.239,2309.202,3324.528,1488.698,2057.183,914.187,1273.33,
"Other Income",994,1961,914,1726,823,1792.852,869,1136.821,496,606.844,729,3248.625,617.82,1287.822,678.479,1524.802,801.113,1696.448,837.994,1296.444,618.535,1061.228,
"Other Income: Dividend Income",,,,,,,,,,,,,,0.007,0.104,0.009,0.009,1.532,0.727,0.571,0.54,0.519,
"Other Income: Fees and commission income",,,,,,,,,,,732,,601.099,1306.619,679.222,1496.009,782.453,1657.018,819.925,1273.574,607.145,1038.905,
"Other Income: Financial instruments",,,,,,,,,,,-3,,16.418,-19.083,-1.827,-0.298,2.533,12.07,6.321,-0.21,-0.382,1.011,
"Other Income: Other Income",,,,,,,,,,,,,0.303,0.279,0.98,29.082,16.118,25.828,11.021,22.509,11.232,20.793,
"Operating expenses",4348,8612,4003,7494,3500,6363.337,3156,5438.722,2626,4590.99,2315,4030.791,1912.22,3241.57,1619.963,3016.459,1496.991,2508.66,1193.806,1835.171,884.406,1387.139,
"Operating Income",2398,4710,2358,5223,2742,6719.523,3457,7080.705,3592,6543.859,3082,7574.361,1636.701,5346.33,1364.501,2277.276,1026.349,1557.872,718.662,940.3,420.852,642.356,
"Bad Debt Provision",6086,4474,2115,4450,2542,5279.99,2811,5121.177,2600,4400.637,2113,4014.085,1996,3976.17,1955.379,2658.923,1018.613,1604.19,678.866,988.177,403.089,547.731,
"Net Income Before Exceptional Items",-3688,236,243,773,200,1439.533,646,1959.528,992,2143.222,2051,3560.276,1636.701,1370.16,1364.501,2277.276,1026.349,1557.872,718.662,940.3,420.852,642.356,
"Exceptional Inc 1",4246,7809,3592,6302,3042,4713.182,2175,3281.077,1452,2329.009,,-0.886,,1460.954,,,,,,,,,
"Income From Associates Before Tax",-20,11,-3,2,9,2.536,,,,,,,0.112,1.683,0.405,0.167,,,,,,,
"Net Income Before Tax",538,8056,3832,7077,3251,6155.251,2821,5240.605,2444,4472.231,2051,3559.39,1636.813,2832.797,1364.906,2277.443,1026.349,1557.872,718.662,940.3,420.852,642.356,
