Income statement (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 Sep 2020","5 Mar 2020","11 Sep 2019","14 Mar 2019","14 Aug 2018","8 Mar 2018","10 Aug 2017","9 Mar 2017","18 Aug 2016","4 Mar 2016",
"Turnover",36500,88900,45200,91000,45500,89200,43900,87200,43900,80700,
"Admin & Collection Fees",17800,35300,17500,34900,17200,33500,16600,32500,16100,29100,
"Other Expenses",,,,,,,,10900,5200,10800,
"Net Rental / Investment Income",18700,53600,27700,56100,28300,55700,27300,43800,22600,40800,
"Interest Receivable",300,400,100,3100,3200,1200,800,400,200,700,
"Other Income",1600,-1500,-1600,-4500,1300,300,300,,4400,68200,
"Depreciation",1300,500,200,300,200,200,,,,,
"Total Income",20600,52500,26200,54700,32800,57200,28400,44200,27200,109700,
"EBITDA (ProfileData Calc)",-99200,-96600,-41000,-6300,16300,41400,,,,,
"Interest Payable",15000,23900,14200,18900,9400,18800,9100,33000,11600,19900,
"Expenses",5400,8800,4400,9200,4400,10200,4800,16000,,,
"Income Before Exceptional Items",200,19800,7600,26600,19000,28200,14500,-4800,15600,89800,
"Exceptional Item 1",-115700,-140800,-63000,-47500,-10300,-3800,-1300,,-10300,,
"Income From Associates Before Tax",,,,-4600,-2000,-2000,-1100,300,1900,7800,
"Income Before Tax",-115500,-121000,-55400,-25500,6700,22400,12100,-4500,7200,97600,
"Tax",,,,100,,,,-100,,,
"Profit For The Period",-115500,-121000,-55400,-25600,6700,22400,12100,-4400,7200,97600,
"Net Income Before Extraords",-115500,-121000,-55400,-25600,6700,22400,12100,-4400,7200,97600,
"Extraordinary Items",,,,,,,,,,2400,
"Extraordinary Items: Discontinued operations",,,,,,,,,,2400,
"Income Attributable To Equity Holders",-115500,-121000,-55400,-25600,6700,22400,12100,-4400,7200,100000,
"Total Comprehensive Income/Loss for the period",-115500,-121000,-55400,-25600,6700,22400,12100,-4400,7200,98400,
"Headline Earnings (Cont Ops)",-200,21400,9000,30500,17700,28400,14600,12700,8300,22700,
"Enterprise Value (EV)",2254658,4319070,2291740,4400226,10840853,11573963,7176696,6620700,8834740,11362600,

Balance sheet (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 Sep 2020","5 Mar 2020","11 Sep 2019","14 Mar 2019","14 Aug 2018","8 Mar 2018","10 Aug 2017","9 Mar 2017","18 Aug 2016","4 Mar 2016",
"Ordinary Capital & Premium",255500,248400,173800,173800,172500,170500,168600,165200,164200,164200,
"Treasury Shares",,,,,100,100,400,400,600,600,
"Distributable Reserves",-64700,62000,135200,194500,239800,246300,248200,248100,271100,274900,
"Non-Distributable Reserves",64700,64700,64700,64700,64700,64700,64700,64700,64700,64700,
"Ordinary Unitholders Interest",255500,375100,373700,433000,476900,481400,481100,477600,499400,503200,
"Total Stockholders' Interest",255500,375100,373700,433000,476900,481400,481100,477600,499400,503200,
"Interest Bearing Loans",423400,422800,433300,432900,422600,422200,422200,26200,418600,374900,
"Other Long-Term Liabilities",84100,66700,67000,63800,63900,65300,65400,65800,69100,67500,
"Long-Term Liabilities",507500,489500,500300,496700,486500,487500,487600,92000,487700,442400,
"Total Capital Employed",763000,864600,874000,929700,963400,968900,968700,569600,987100,945600,
"Investments",658000,772100,842400,901000,928600,932700,926200,840400,945200,883300,
"Investments In Associates",,,,,5400,7400,12600,13900,15600,15900,
"Fixed Assets / Property",2500,2200,1900,2000,2100,1800,1100,900,800,600,
"Right-of-use Asset",13300,,,,,,,,,,
"Other Assets",12600,14700,15300,16500,17200,14200,13400,14300,15100,15900,
"Debtors",28300,15400,18500,15300,17300,21600,19500,13400,17400,13700,
"Cash and Short Term Funds",82100,95900,30200,32000,25700,30200,31100,49100,28500,49900,
"Other Current Assets",,,,,,,,13900,,,
"Current Assets",110400,111300,48700,47300,43000,51800,50600,76400,45900,63600,
"Total Assets",796800,900300,908300,966800,996300,1007900,1003900,945900,1022600,979300,
"Creditors",33800,35700,34300,37100,32900,39000,35200,41300,35500,33700,
"Bank O/D & S/T Loans",,,,,,,,334600,,,
"Other Current Liabilities",,,,,,,,400,,,
"Current Liabilities",33800,35700,34300,37100,32900,39000,35200,376300,35500,33700,
"Net Current Assets",76600,75600,14400,10200,10100,12800,15400,-299900,10400,29900,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 Sep 2020","5 Mar 2020","11 Sep 2019","14 Mar 2019","14 Aug 2018","8 Mar 2018","10 Aug 2017","9 Mar 2017","18 Aug 2016","4 Mar 2016",
