Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Dec 2020","1 Jun 2020","18 Nov 2019","10 Jun 2019","14 Nov 2018","16 May 2018","14 Nov 2017","19 Jun 2017","3 Nov 2016","19 May 2016",
"Turnover",323654,701230,281551,607723,315418,508204,201776,80173,39745,32996,
"Cost of Sales",179983,368996,160271,309256,184734,264578,120290,,,,
"Gross Profit",143671,332234,121280,298467,130684,243625,81486,,,,
"Operating Expenses",59195,143183,53635,127992,47917,80022,15470,5014,2385,2215,
"EBITDA (ProfileData Calc)",92744,243423,89748,196844,92223,203518,81641,,,,
"Depreciation",8269,17778,7995,8462,3479,2743,3260,69339,,,
"Operating Income",64483,188350,51623,164691,72286,162296,57201,-19859,37361,30781,
"Profit Before Exceptional Items",64483,188350,51623,164691,72286,162296,57201,-19859,37361,30781,
"Amortisation",8858,16645,,13984,,,,,,,
"Exceptional Item 1",8858,-1083,8663,-12161,,,,,,,
"Profit Before Interest And Tax",64483,170622,60286,138546,72286,162296,57201,-19859,37361,30781,
"Interest Received",11134,38724,21813,38280,17664,39437,21633,80173,,,
"Interest Paid",977,3033,1580,602,300,785,180,,,,
"Net Interest Paid/(Received)",-10157,-35691,-20233,-37678,-17364,-38652,-21453,-80173,,,
"Income From Associates Before Tax",,-346,-346,-2428,-1206,-958,-453,,,,
"Income Before Tax",74640,205967,80173,173796,88444,199990,78201,60314,37361,30781,
"Taxation",20424,56135,22302,49183,25142,57054,22047,21109,10466,8622,
"Profit For The Period",54216,149832,57871,124613,63302,142936,56154,39205,26894,22159,
"Attributable Income Before Extraordinary Items",54216,149832,57871,124613,63302,142936,56154,39205,26894,22159,
"Income Attributable To Equity Holders",54216,149832,57871,124613,63302,142936,56154,39205,26894,22159,
"Total Comprehensive Income/Loss for the period",54216,149832,57871,124613,63302,142936,56154,39205,22159,22159,
"Headline Earnings (Cont Ops)",54216,142273,50311,124613,63302,143396,,39205,,,
"Enterprise Value (EV)",756084,280879,592804,541907,970143,733820,749768,39711,125466,191980,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
