Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Turnover",1083135,1941893,938159,1692708,788338,1324245,629866,1140989,554148,1005481,469751,834795,
"Cost of Sales",297846,574770,282298,484700,184804,357093,141270,228598,108711,186749,84388,185536,
"Gross Profit",788289,1367123,655861,1208008,603534,967152,488596,912391,445437,818732,385363,649259,
"Operating Expenses",382844,672395,315970,669197,336101,541947,292306,550356,280398,479988,224962,366106,
"EBITDA (ProfileData Calc)",571743,957899,473539,,,,,,,,,,
"EBITDA (company calc)",576560,968747,479822,,,,,,,,,,
"Depreciation",176800,282976,146153,,,,,,,,,,
"Operating Income",367899,641723,315865,499919,255032,434296,200072,368831,168091,344806,163922,290005,
"Profit Before Exceptional Items",367899,641723,315865,499919,255032,434296,200072,368831,168091,344806,163922,290005,
"Amortisation",31861,44048,17804,,,,,,,,,,
"Exceptional Item 1",,,,,,,,2607,,15667,,,
"Profit Before Interest And Tax",367899,641723,315865,499919,255032,434296,200072,371438,168091,360473,163922,290005,
"Interest Received",2470,2592,1164,2749,1748,3641,1982,3962,2095,6256,4638,4533,
"Interest Paid",3337,16831,11009,31438,12595,15729,5965,5775,2117,4463,3963,924,
"Net Interest Paid/(Received)",867,14239,9845,28689,10847,12088,3983,1813,22,-1793,-675,-3609,
"Income Before Tax",367032,627484,306020,471230,244185,422208,196089,369625,168069,362266,164597,293614,
"Taxation",99164,171062,82632,110182,71925,111726,52137,105451,48704,102779,46732,85646,
"Profit For The Period",267868,456422,223388,361048,172260,310482,143952,264174,119365,259487,117865,207968,
"Income Attributable To Minority Interests",7287,13440,7447,13242,3756,10336,4762,7279,4265,19813,8730,16157,
"Attributable Income Before Extraordinary Items",260581,442982,215941,347806,168504,300146,139190,256895,115100,239674,109135,191811,
"Income Attributable To Equity Holders",260581,442982,215941,347806,168504,300146,139190,256895,115100,239674,109135,191811,
"Total Comprehensive Income/Loss for the period",305351,491474,258697,390976,234448,307687,163708,178458,99968,262886,121778,200596,
"Headline Earnings (Cont Ops)",260403,442438,215585,346109,168416,299217,138059,255285,114869,241934,112148,191073,
