Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","27 Feb 2020","28 Aug 2019","1 Mar 2019","24 Aug 2018","23 Feb 2018","31 Aug 2017","23 Feb 2017","31 Aug 2016","17 Feb 2016","19 Aug 2015","16 Feb 2015","25 Aug 2014","20 Feb 2014","21 Aug 2013","25 Feb 2013","22 Aug 2012","15 Feb 2012","24 Aug 2011","16 Feb 2011","25 Aug 2010",
"Turnover",22370.224,14815.17,26179.58,14423.824,24230.765,13443.53,21940.043,12296.566,21470.12,12222.913,19588.97,10996.674,17739.609,9947.576,15725.608,8644.784,14176.047,7972.502,12327.786,6878.716,11808.884,
"Cost of Sales",16065.724,10322.941,18090.006,9736.796,16442.193,8951.016,14646.189,,,,,,,,,,,,,,,
"Gross Profit",,,,,7788.572,,2372.824,,,,,,,,,,,,,,,
"Operating Expenses",5114.193,,5792.802,2711.005,5393.879,2722.455,19567.219,10636.063,19040.418,10517.268,17454.599,9527.515,15744.401,8575.441,13972.438,7437.411,12762.506,6811.854,10889.439,5930.686,10413.146,
"EBITDA (ProfileData Calc)",1761.313,,2428.481,,,,,,,,,,,,,,,,,,,
"EBITDA (company calc)",1889.062,,2453.35,,,,,,,,,,,,,,,,,,,
"Depreciation",702.026,,579.876,,,,,,,,,,,,,,,,,,,
"Operating Income",980.908,1864.314,1726.274,1901.315,2388.173,1831.915,2344.88,1599,2351.621,1705.212,2129.056,1464.275,2167.322,1535.64,1763.819,1207.514,1412.325,1160.305,1436.591,948.177,1392.917,
"Other Income",2.538,0.775,4.211,3.795,6.657,1.123,7.163,3.391,7.501,3.583,6.698,0.362,6.15,0.559,6.279,0.106,7.645,0.307,5.18,2.583,1.493,
"Profit Before Exceptional Items",983.446,1865.089,1730.485,1905.11,2394.83,1833.038,2352.043,1602.391,2359.122,1708.795,2135.754,1464.637,2173.472,1536.199,1770.098,1207.62,1419.97,1160.612,1441.771,950.76,1394.41,
"Profit Before Interest And Tax",983.446,1865.089,1730.485,1905.11,2394.83,1833.038,2352.043,1602.391,2359.122,1708.795,2135.754,1464.637,2173.472,1536.199,1770.098,1207.62,1419.97,1160.612,1441.771,950.76,1394.41,
