Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"18 Nov 2020","18 May 2020","20 Nov 2019","22 May 2019","19 Nov 2018","21 May 2018","15 Nov 2017","17 May 2017","9 Nov 2016","11 May 2016","11 Nov 2015","27 May 2015","12 Nov 2014","28 May 2014","14 Nov 2013","28 May 2013","14 Nov 2012","16 May 2012","15 Nov 2011",
"Turnover",1291472,680151,1338418,687734,1141348,537160,1069660,537439,1065387,525302,729109,362606,598294,241354,374720,159347,299583,142752,110171,
"Admin & Collection Fees",422649,219096,411249,210988,362824,183082,353463,184434,349646,175762,250216,120634,199062,8803,14244,6590,11757,4964,4691,
"Other Expenses",40893,21322,33023,18805,24470,11519,31887,17559,32013,17766,25789,14274,18327,45303,70136,27218,58080,30755,27394,
"Net Rental / Investment Income",827930,439733,894146,457941,754054,342559,684310,335446,683728,331774,453104,227698,380905,187248,290340,125539,229746,107033,78086,
"Interest Receivable",31308,16382,26000,10556,42103,13229,20606,3801,8540,5302,7626,3070,3977,1763,5474,16813,2096,634,322,
"Other Income",,,,,,,,,,,,,69821,-18579,126537,-270,85072,-7043,3350,
"Total Income",859238,456115,920146,468497,796157,355788,704916,339247,692268,337076,460730,230768,454703,170432,422351,142082,316914,100624,81758,
"Debenture Interest",,,,,,,,,,,127814,131874,244761,111440,201649,102563,147947,71156,5096,
"Interest Payable",333937,169838,334232,163175,273708,133952,264238,129514,250542,119715,149456,73425,121888,58098,80863,19669,67305,30542,140895,
"Expenses",,,,,,,,,,,,,,,,16813,,634,,
"Income Before Exceptional Items",525301,286277,585914,305322,522449,221836,440678,209733,441726,217361,183460,25469,88054,894,139839,3037,101662,-1708,-64233,
"Amortisation",37500,18750,37500,18750,37500,18750,35155,,,,,,,,,,,,,
"Exceptional Item 1",-344639,-39235,185191,-63110,-2027,25365,1352,-24893,241993,-26106,207391,-31225,5580,,20422,,,,,
"Income Before Tax",143162,228292,733605,223462,482922,228451,406875,184840,683719,191255,390851,-5756,93634,894,160261,3037,101662,-1708,-64233,
"Tax",,,,,,,,,,,,,,,-39011,-1738,20843,8589,-9771,
"Profit For The Period",143162,228292,733605,223462,482922,228451,406875,184840,683719,191255,390851,-5756,93634,894,199272,4775,80819,-10297,-54462,
"Income Attributable To Minority Interests",24091,13551,52031,12372,11382,1288,18953,6366,17670,7692,,,,,,,,,,
"Net Income Before Extraords",119071,214741,681574,211090,471540,227163,387922,178474,666049,183563,390851,-5756,93634,894,199272,4775,80819,-10297,-54462,
"Income Attributable To Equity Holders",119071,214741,681574,211090,471540,227163,387922,178474,666049,183563,390851,-5756,93634,894,199272,4775,80819,-10297,-54462,
"Total Comprehensive Income/Loss for the period",143162,228292,733605,223462,482922,228451,406875,184840,683719,191255,390851,,,,,,,,,
"Headline Earnings (Cont Ops)",271393,,540895,247584,530635,213195,395294,190114,423837,215973,312677,151497,262994,130913,222049,107558,168448,66587,-52372,
"Enterprise Value (EV)",6750518,8448230,9328714,9648299,8740168,7380913,7039320,7294930,7683073,7058013,6501827,5716821,4772617,4510434,4489306,3777133,2992249,2511941,2547287,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
