Income statement (USD million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"22 Oct 2020","27 May 2020","17 Oct 2019","16 May 2019","18 Oct 2018","17 May 2018","13 Nov 2017","22 May 2017","19 Oct 2016","11 May 2016","21 Oct 2015","13 May 2015","15 Oct 2014","14 May 2014","16 Oct 2013","15 May 2013","17 Oct 2012","16 May 2012","12 Oct 2011","11 May 2011","13 Oct 2010","13 May 2010",
"Turnover",2031.205,4304.845,2056.307,4332.381,2004.839,3923.715,1844.823,6083.383,1976.119,6454.782,3285.932,6443.536,2983.592,5688.054,2765.508,5246.667,2621.254,5033.394,2437.813,4302.972,2132.992,3738.026,
"Cost of Sales",1706.963,3563.267,1696.525,3644.637,1685.466,3287.67,1545.46,5250.251,1658.125,5586.043,2855.719,5510.605,2537.362,4846.618,2351.991,4466.333,2244.218,4328.814,2094.071,3705.417,1851.038,3239.65,
"Gross Profit",324.242,741.578,359.782,687.744,319.373,636.045,299.363,833.132,317.994,868.739,430.213,932.931,446.23,841.436,413.517,780.334,377.036,704.58,343.742,597.555,281.954,498.376,
"Operating Expenses",251.569,571.598,278.323,569.896,265.022,571.016,289.487,713.401,291.633,706.629,349.643,726.538,356.131,666.171,324.435,593.151,284.645,514.974,258.897,454.949,222.265,387.75,
"EBITDA (ProfileData Calc)",60.443,161.621,73.631,92.882,35.631,-42.163,-4.392,93.575,28.702,136.043,68.232,173.492,74.86,151.113,76.245,175.89,85.998,175.514,78.478,111.386,44.765,83.049,
"EBITDA (company calc)",60.72,158.657,,86.761,,,,,,,,,,,,,,,,,,,
"Depreciation",25.26,60.002,28.496,25.889,12.499,27.548,13.648,31.43,27.44,28.589,13.672,26.256,12.855,32.669,11.831,28.657,13.634,23.861,11.587,21.045,10.29,17.132,
