Income statement (ZAR '000),"Oct 2020","Apr 2020","Oct 2019","Apr 2019","Oct 2018","Apr 2018","Oct 2017","Apr 2017","Oct 2016","Apr 2016","Oct 2015","Apr 2015","Oct 2014","Apr 2014","Oct 2013","Apr 2013","Oct 2012","Apr 2012","Oct 2011","Apr 2011","Oct 2010","Apr 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"4 Dec 2020","1 Oct 2020","30 Jan 2020","5 Aug 2019","31 Jan 2019","30 Jul 2018","4 Dec 2017","28 Jul 2017","29 Dec 2016","26 Jul 2016","25 Jan 2016","31 Jul 2015","18 Dec 2014","22 Jul 2014","21 Jan 2014","23 Jul 2013","22 Jan 2013","23 Jul 2012","24 Jan 2012","20 Jul 2011","20 Jan 2011","20 Jul 2010",
"Turnover",656651,1169867,644293,1357739,659575,1371830,696687,1311492,644529,1362761,881498,1590247,160910,531676,406003,1996053,1125748,1711252,721200,1316055,652562,1156477,
"Cost of Sales",454577,861361,454338,1009244,463693,968701,486955,977369,460285,956609,,,,,,,,,,,,,
"Gross Profit",202094,308506,189955,348495,195882,403129,209732,334123,184244,406152,,,,,,,,,,,,,
"Operating Expenses",163590,377656,188421,362144,182294,326104,166028,360113,206444,388000,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",37585,-113267,-819,-23491,16746,87406,49140,-47452,-22131,30546,45719,-433594,-8030,75984,52507,352532,198353,269640,104630,159664,78677,131953,
"Depreciation",11081,21233,12232,8944,5777,9367,6245,10547,6094,13555,8063,-16378,1284,2374,1942,11331,8202,15074,8170,12228,6390,11904,
"Operating Income",22026,-152336,-17696,-42194,6581,70608,38670,-61954,-26208,14568,31125,-309953,-15890,62692,46881,336394,189676,257740,97032,146055,71769,119101,
"Profit Before Exceptional Items",22026,-152336,-17696,-42194,6581,70608,38670,-61954,-26208,14568,31125,-309953,-15890,62692,46881,336394,189676,257740,97032,146055,71769,119101,
