Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Nov 2020","6 Apr 2020","17 Sep 2019","5 Apr 2019","19 Sep 2018","14 Mar 2018","20 Sep 2017","14 Mar 2017","29 Sep 2016","16 Mar 2016","23 Sep 2015","20 Mar 2015","19 Sep 2014","14 Mar 2014","18 Sep 2013","13 Mar 2013","19 Sep 2012","19 Mar 2012","21 Sep 2011","16 Mar 2011","22 Sep 2010",
"Turnover",835433,868551,1110586,1310911,3714238,1715259,2480497,1053603,1782718,1040829,2544394,1301414,2349282,1143856,1984597,760906,1725479,858669,1369366,792554,1241323,
"Operating Expenses",822501,894386,1014790,1532350,3531662,1629398,2342364,977791,2008904,1058390,2359582,1214504,2165799,1079304,1813048,702246,1579727,830345,1252530,725746,1157413,
"EBITDA (ProfileData Calc)",26116,-26301,100379,-216934,201704,89345,,78574,-169159,768,181145,86399,181165,62307,166154,58815,148334,35654,119535,60633,91762,
"Depreciation",9387,12533,9999,9063,20076,10425,,10472,25000,14188,28405,16652,20590,8509,14212,6856,10754,3629,6669,2898,4837,
"Operating Income",6936,-43995,79711,-230502,162500,75436,113624,65340,-251186,-31749,156407,70258,162893,56043,157337,51804,134998,24695,101955,56845,79073,
"Profit Before Exceptional Items",6936,-43995,79711,-230502,162500,75436,113624,65340,-251186,-31749,156407,70258,162893,56043,157337,51804,134998,24695,101955,56845,79073,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,,,,3609,
"Exceptional Item 1: Profit on realisation of non current assets",,,,,,,,,,,,,,,,,,,,,3609,
"Profit Before Interest And Tax",6936,-43995,79711,-230502,162500,75436,113624,65340,-251186,-31749,156407,70258,162893,56043,157337,51804,134998,24695,101955,56845,82682,
"Interest Received",9787,5478,12029,6025,19787,10383,17528,7413,15661,9665,16598,8710,26088,7294,17303,8790,25973,12702,25579,9975,11894,
"Interest Paid",8918,8679,5812,8766,12310,6161,12091,6572,15369,8269,12540,6463,10380,3687,11275,5311,11899,5599,6334,3745,5162,
