Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","19 Feb 2020","14 Aug 2019","13 Feb 2019","15 Aug 2018","14 Feb 2018","16 Aug 2017","15 Feb 2017","17 Aug 2016","17 Feb 2016","19 Aug 2015","18 Feb 2015","13 Aug 2014","19 Feb 2014","20 Aug 2013","13 Feb 2013","22 Aug 2012","15 Feb 2012","16 Aug 2011","16 Feb 2011","18 Aug 2010",
"Turnover",1501.114,770.905,1686.962,878.631,1771.585,855.356,1721.36,878.314,1796.951,878.818,1811.968,864.403,1476.358,741.135,1342.244,658.566,1253.379,637.051,1223.96,610.125,1162.179,
"Admin & Collection Fees",116.93,56.953,128.483,61.142,103.36,47.098,92.41,49.1,84.612,39.863,86.341,45.157,68.178,31.886,70.572,35.99,66.764,32.357,57.013,27.23,43.213,
"Other Expenses",651.906,302.671,640.756,325.642,647.537,306.738,677.049,343.952,652.645,340.38,591.076,308.422,573.115,281.78,541.725,249.798,554.148,322.65,591.603,361.071,437.683,
"Net Rental / Investment Income",732.278,411.281,917.723,514.326,1055.878,519.382,985.06,503.239,1117.739,527.29,1145.298,510.824,879.29,440.58,766.269,355.459,665.989,293,597.717,221.824,681.283,
"Interest Receivable",51.578,26.432,30.451,8.395,15.007,6.499,11.278,6.263,10.896,5.075,10.833,5.651,13.546,5.233,8,4.688,5.274,2.654,10.205,7.458,5.484,
"Depreciation",,4.931,10.555,5.707,9.611,4.636,11.054,,,,,,,,,,,,,,,
"Total Income",783.856,437.713,948.174,522.721,1070.885,525.881,996.338,509.502,1128.635,532.365,1156.131,516.475,892.836,445.813,774,360.147,671.263,296,608,229.282,686.767,
"EBITDA (ProfileData Calc)",,596.645,1325.241,,,,,,,,,,,,,,,,,,,
"Interest Payable",399.96,205.2,433.384,228.247,418.444,204.462,404.819,200.073,405.202,143.262,361.97,201.345,240.395,109.274,116.264,153.119,330.449,177.635,173.097,121.816,217.323,
"Income Before Exceptional Items",383.896,232.513,514.79,294.474,652.441,321.419,591.519,382.192,723.433,389.103,794.161,315.13,652.441,336.539,650.005,207.028,340.814,107.063,412.452,107.466,469.444,
