Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"19 Nov 2020","29 May 2020","21 Nov 2019","23 May 2019","21 Nov 2018","23 May 2018","22 Nov 2017","24 May 2017","23 Nov 2016","25 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","19 Nov 2012","17 May 2012","17 Nov 2011","20 May 2011","19 Nov 2010","20 May 2010",
"Turnover",1048.637,2491.304,122.383,2356.255,1154.858,2318.357,1184.936,2303.112,1262.542,2416.156,1137.719,2390.282,1180.852,1223.603,1053.099,1845.524,1199.283,2506.794,1207.947,2358.986,1177.02,2165.727,
"Cost of Sales",683.155,1294.048,636.409,1188.62,574.191,1199.371,595.255,1096.441,555.411,1083.336,527.706,983.171,,,,,,2023,,1823,,,
"Gross Profit",379.77,1211.544,596.68,1180.949,588.92,1118.986,589.681,1206.671,707.131,1332.82,610.013,1407.111,707.319,743.132,274.042,454.012,255.007,483.846,229.021,536.361,278.683,565.911,
"Operating Expenses",310.376,794.673,388.91,882.49,432.699,907.663,465.516,819.025,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",86.563,-1652.402,190.81,311.565,165.717,273.511,130.992,330.375,241.489,562.399,222.78,,,,,,,,,,,,
"EBITDA (company calc)",79.125,427.688,214.964,323.434,160.382,,,,,,,,,,,,,,,,,,
"Depreciation",64.678,135.423,67.353,139.216,77.409,1748.738,76.52,136.906,95.837,260.401,95.409,,,,,,,,,,,,
"Operating Income",14.447,-1747.64,147.611,184.218,82.973,-1517.573,52.061,242.231,181.433,260.607,161.959,407.782,215.881,247.856,98.787,108.625,23.818,179.015,25.55,121.658,16.463,66.907,
"Profit Before Exceptional Items",14.447,-1747.64,147.611,184.218,82.973,-1517.573,52.061,242.231,181.433,260.607,161.959,407.782,215.881,247.856,98.787,108.625,23.818,179.015,25.55,121.658,16.463,66.907,
"Exceptional Item 1",,,,14.275,11.4,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",14.447,-1747.64,147.611,198.493,94.373,-1517.573,52.061,242.231,181.433,260.607,161.959,407.782,215.881,247.856,98.787,108.625,23.818,179.015,25.55,121.658,16.463,66.907,
"Interest Received",7.565,7.776,2.98,5.991,2.141,6.91,4.454,9.333,5.27,8.34,2.916,14.456,8.254,,0.862,2.909,1.456,4.594,3.451,7.925,1.888,22.352,
"Interest Paid",11.89,21.955,12.544,31.168,17.948,44.175,21.288,57.408,28.298,50.936,21.892,55.305,36.035,120.958,21.778,26.627,23.344,38.467,17.842,35.651,11.177,44.62,
"Net Interest Paid/(Received)",4.325,14.179,9.564,25.177,15.807,37.265,16.834,48.075,23.028,42.596,18.976,40.849,27.781,120.958,20.916,23.718,21.888,33.873,14.391,27.726,9.289,22.268,
"Income From Associates Before Tax",-2.368,24.676,3.435,2.774,-0.543,1.289,-0.279,-2.241,1.799,7.829,1.024,-0.756,-0.832,-5.367,,,,,,,,,
"Income Before Tax",7.754,-1737.143,141.482,176.09,78.023,-1553.549,34.948,191.915,160.204,225.84,144.007,366.177,187.268,121.531,77.871,84.907,1.93,145.142,11.159,93.932,7.174,44.639,
"Taxation",-0.377,61.206,37.923,57.41,31.527,32.028,16.193,79.652,56.753,168.635,20.85,147.428,89.959,83.979,-0.496,-1.117,-1.119,-13.131,1.095,-10.084,1.486,1.74,
"Profit For The Period",8.131,-1798.349,103.559,118.68,46.496,-1585.577,18.755,112.263,103.451,57.205,123.157,218.749,97.309,37.552,78.367,86.024,3.049,158.273,10.064,104.016,5.688,42.899,
"Income Attributable To Minority Interests",-2.241,72.637,30.569,34.909,7.663,-34.147,1.764,55.854,42.85,-25.222,38.528,27.357,42.202,52.77,,,,-0.113,,0.009,,,
"Attributable Income Before Extraordinary Items",10.372,-1870.986,72.99,83.771,38.833,-1551.43,16.991,56.409,60.601,82.427,84.629,191.392,55.107,-15.218,78.367,86.024,3.049,158.386,10.064,104.007,5.688,42.899,
"Extraordinary Profit",-15.065,-16.519,-7.38,-35.622,-27.516,-27.343,-19.485,48.351,28.025,-146.021,-9.471,-66.579,0.536,4.061,-50.312,-45.173,-1.286,-21.442,-8.624,-95.44,-77.029,-246.355,
"Extraordinary Profit: Discontinued Operations",-15.065,,-7.38,-35.622,-27.516,-27.343,-2.714,48.351,28.025,-146.021,-9.471,-66.579,0.38,4.061,-50.312,,,,,,,,
"Income Attributable To Equity Holders",-4.693,-1887.505,65.61,48.149,11.317,-1578.773,-2.494,104.76,88.626,-63.592,75.158,124.813,55.642,-11.157,28.055,40.851,1.763,136.944,1.44,8.567,-71.341,-203.456,
"Total Comprehensive Income/Loss for the period",-15.97,-1819.881,103.277,79.746,28.887,-1620.378,4.095,93.367,71.658,-57.363,179.839,174.898,,,,,,,,,,,
"Headline Earnings (Cont Ops)",5.178,152.169,70.601,70.952,22.263,8.752,-2.44,81.721,68.655,35.057,84.373,162.912,52.222,0.844,28.029,20.04,0.466,146.736,0.657,-24.752,-79.348,-156.002,
"Enterprise Value (EV)",3042.578,2892.067,2462.258,2742.918,2919.082,2809.307,4097.515,4945.036,6984.276,5928.67,6952.864,8051.795,10383.534,8489.129,2466.713,1213.709,1318.705,1206.423,836.076,859.6,549.624,522.829,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"19 Nov 2020","29 May 2020","21 Nov 2019","23 May 2019","21 Nov 2018","23 May 2018","22 Nov 2017","24 May 2017","23 Nov 2016","25 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","19 Nov 2012","17 May 2012","17 Nov 2011","20 May 2011","19 Nov 2010","20 May 2010",
"Fixed Assets",978.539,925.39,859.378,848.033,869.542,784.492,903.699,941.584,993.942,1013.908,1046.905,886.974,1390.665,1241.852,759.446,653.858,701.64,695.048,677.618,665.727,859.49,906.162,
"Right-of-use Asset",26.987,45.625,26.935,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",181.022,180.077,162.547,153.845,147.642,143.495,209.498,203.038,231.637,230.912,207.459,206.985,240.673,132.698,,,,,,,,,
"Investments and Loans",,,,,,,,,,,,,693.984,673.263,552.746,528.809,445.818,401.203,289.05,259.257,55.342,34.76,
"Goodwill",182.143,182.143,2222.048,2222.048,2228.978,2153.8,3778.264,3778.264,3776.769,3774.453,3737.528,3737.528,3882.514,3708.837,14.016,,,,,,,,
"Intangible Assets",2381.235,2403.01,2423.343,2451.759,2524.114,2537.697,2590.434,2596.701,2628.304,2676.785,2718.368,2750.263,2923.898,2817.234,16.184,13.03,11.688,10.563,9.278,8.812,,3.933,
"Deferred Tax Asset",74.72,45.829,55.298,79.575,84.036,92.848,90.974,86.814,55.602,62.347,47.234,40.153,97.064,86.241,41.299,49.603,36.449,32.27,30.287,30.022,11.07,15.175,
"Other Assets",,45.625,,,,,,,,,,,,,,,3.298,3.329,14.983,3.329,32.212,3.026,
