Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"23 Nov 2020","27 May 2020","25 Nov 2019","17 Apr 2019","29 Oct 2018","14 May 2018","23 Oct 2017","15 May 2017","23 Nov 2016","13 May 2016","23 Nov 2015","15 May 2015","19 Nov 2014","15 May 2014","21 Nov 2013","20 May 2013","19 Nov 2012","24 May 2012","17 Nov 2011","20 May 2011","22 Nov 2010","19 May 2010",
"Turnover",7206.109,2849.654,7790.851,2780.078,5345.29,3624.391,6218.342,2399.978,1150.951,517.726,882.835,326.469,585.006,264.11,502.709,261.142,417.531,194.205,384.967,202.78,401.943,192.219,
"Cost of Sales",,,,,,,,,,378.438,628.468,227.87,410.416,179.686,348.401,181.692,290.911,127.322,256.856,128.382,242.655,112.655,
"Gross Profit",,,,,,,,,,139.288,254.367,98.599,174.59,84.424,154.308,79.45,126.62,66.883,128.111,74.398,159.288,79.564,
"Operating Expenses",5411.346,2235.374,5882.332,2214.228,4231.974,2662.802,4485.094,1707.749,1111.076,107.225,198.601,81.656,156.772,72.591,151.486,66.073,153.592,75.437,133.479,75.523,129.082,61.204,
"EBITDA (ProfileData Calc)",1263.635,829.053,1747.098,767.174,1014.886,962.698,1025.916,,36.364,,,,,,,,,,,,,,
"Depreciation",1429.536,614.28,1146.962,565.85,664.623,577.152,1026.379,,9.799,,,,,,,,,,,,,,
"Operating Income",381.75,207.734,757.175,200.466,387.714,354.105,673.103,271.855,23.256,26.238,35.557,1.2,23.843,13.654,4.581,16.339,-22.447,-6.606,-3.491,-0.102,36.636,19.786,
"Profit Before Exceptional Items",381.75,207.734,757.175,200.466,387.714,354.105,673.103,271.855,23.256,26.238,35.557,1.2,23.843,13.654,4.581,16.339,-22.447,-6.606,-3.491,-0.102,36.636,19.786,
