Income statement (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Other Income",,37676,,39610,,,,,,,,,
"Turnover",76811,163633,101194,157506,142351,92449,46571,152210,66347,31241,96511,38485,
"Turnover: Rental inc and recoveries",,,,,,,,151706,,,95278,,
"Turnover: Straight line rental income",,,,,,,,504,,,1233,,
"Other Expenses",24164,53209,29356,54442,40106,26235,13661,48955,20816,9496,29209,12253,
"Net Rental / Investment Income",52647,148100,71838,142674,102245,66214,32910,103255,45531,21745,67302,26232,
"Interest Receivable",623,6229,953,4865,4635,1236,1100,7419,1600,141,7339,3180,
"Other Income",378,3402,21,23759,1135,735,293,713,1029,621,2109,1026,
"Depreciation",,629,,,,,,39,,,,,
"Total Income",53648,157731,72812,171298,108015,68185,34303,110883,48160,22507,75517,30438,
"EBITDA (ProfileData Calc)",,131070,,,,,,,,,,,
"Interest Payable",21409,43645,22267,39758,27901,16689,8557,23085,9596,4371,18582,16250,
"Expenses",10219,16508,7611,17235,12566,7700,4505,16934,,3363,15142,,
"Expenses: Administrative expenses",,15739,,15821,,,,,,,,,
"Expenses: Other expenses",,769,,1414,,,,,,,,,
"Income Before Exceptional Items",22020,97578,42934,114305,67548,43796,21241,70864,38564,14773,41793,14188,
"Exceptional Item 1",-39287,-10782,-515,23287,29208,34655,,90041,8130,,49959,7320,
"Exceptional Item 1: Fair Value Adjustments",,-740,,,,,,,,,,,
"Exceptional Item 1: Foreign currency (loss)gain",,-10042,,5814,,,,,,,,,
"Exceptional Item 1: Gain on fair value adjustment",,,,17473,,,,,,,,,
"Income From Associates Before Tax",-8137,,3142,,28381,25321,-48,,2682,91,,,
"Income Before Tax",-25404,86796,45561,137592,125137,103772,21193,160905,49376,14864,91752,21508,
"Tax",-1093,21615,11133,13427,29636,24373,178,32557,9821,-9082,19424,-40367,
"Profit For The Period",-24311,65181,34428,124165,95501,79399,21015,128348,39555,23946,72328,61875,
"Net Income Before Extraords",-24311,65181,34428,124165,95501,79399,21015,128348,39555,23946,72328,61875,
"Income Attributable To Equity Holders",-24311,65181,34428,124165,95501,79399,21015,128348,39555,23946,72328,61875,
"Total Comprehensive Income/Loss for the period",-82512,76047,43382,118356,88321,70836,19564,128498,36536,21792,71894,60162,
"Headline Earnings (Cont Ops)",62677,61120,25385,87454,69252,50597,21996,46053,23973,232987,32045,48447,
"Enterprise Value (EV)",9752027,16816746,19570752,16778832,18272842,14920199,16652755,12809675,14397265,11739551,12178855,681654,

Balance sheet (EUR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
,"29 Sep 2020","12 Mar 2020","6 Sep 2019","7 Mar 2019","6 Dec 2018","7 Sep 2018","25 Jun 2018","8 Mar 2018","5 Sep 2017","29 Jun 2017","9 Mar 2017","30 Sep 2016",
"Ordinary Capital & Premium",963664,963664,963664,875610,875447,830446,830446,718560,718581,569714,569797,474268,
"Treasury Shares",677,,2142,,,3095,783,783,,,,,
"Distributable Reserves",89028,113339,134263,147250,118586,150789,132434,111419,74056,59975,38075,52100,
"Other Capital",5972,6580,7107,5921,4490,6694,5802,4909,,,,,
"Translation Reserves",-54412,3789,2861,-6093,-7464,-8846,-1734,-284,-3453,-2588,-434,-1713,
"Ordinary Unitholders Interest",1003575,1087372,1105753,1022688,991059,975988,966165,833821,789184,627101,607438,524655,
"Total Stockholders' Interest",1003575,1087372,1105753,1022688,991059,975988,966165,833821,789184,627101,607438,524655,
"Interest Bearing Loans",1397150,1291838,1291784,1273767,1266072,1067031,1070638,831183,861159,762843,741776,672679,
"Other Long-Term Liabilities",38539,42556,44533,16335,62523,14837,14013,16774,13543,10946,17766,12166,
"Long-Term Liabilities",1435689,1334394,1336317,1290102,1328595,1081868,1084651,847957,874702,773789,759542,684845,
"Deferred Tax Liability",100469,109443,103305,97110,115600,109755,90806,93753,74965,51759,58916,,
"Total Capital Employed",2539733,2531209,2545375,2409900,2435254,2167611,2141622,1775531,1738851,1452649,1425896,1209500,
"Investments",2395140,2492501,2464201,2340435,2199067,2066718,2018289,1771581,1623302,1367360,1413717,1205012,
"Investments In Associates",,,,,141062,138485,116618,,91920,55892,,,
"Fixed Assets / Property",,,,,88,89,40,47,63,74,85,,
"Deferred Tax Asset",988,687,435,1908,1410,1019,,,,,,,
"Other Assets",6574,7866,13310,18017,16828,18071,26347,25917,27441,9234,10032,11437,
"Debtors",20103,17129,19644,16970,17985,16827,38430,26723,11641,15047,32658,5936,
"Cash and Short Term Funds",189951,80506,113123,87911,78338,70055,94465,123157,92685,51287,43766,17807,
"Other Current Assets",3111,8026,9018,6474,48201,8412,5121,4689,20894,12423,9140,19825,
"Current Assets",213165,105661,141785,111355,144524,95294,138016,154569,125220,78757,85564,43568,
"Total Assets",2615867,2606715,2619731,2471715,2502979,2319676,2299310,1952114,1867946,1511317,1509398,1260017,
"Creditors",52929,38181,39918,29188,26044,20041,32944,40530,29047,31360,13905,6167,
"Receiver of Revenue",1418,359,1031,1960,4192,5683,1773,879,3861,6699,175,2573,
"Bank O/D & S/T Loans",19208,34127,33407,30667,28818,123338,122945,117155,93363,16091,52845,26782,
"Other Current Liabilities",2579,2839,,,8671,3003,26,18019,2824,4518,16577,14995,
"Current Liabilities",76134,75506,74356,61815,67725,152065,157688,176583,129095,58668,83502,50517,
"Net Current Assets",137031,30155,67429,49540,76799,-56771,-19672,-22014,-3875,20089,2062,-6949,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Dec 2017","Jun 2017","Mar 2017","Dec 2016","Jun 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)",
