Income statement (USD '000),"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Working Revenue",16847,9298,23477,39242,11310,15836,10486,414,,,,,,,,,,,,,,,,,31783,1341,16561,29903,,102433,23329,61808,31152,24386,113203,31453,62578,26876,35702,155000,38073,36612,71311,34699,
"Working Cost",14287,9628,24045,31233,8361,17410,10265,427,4864,,,,,,,,,,,,,,,,47045,3618,24677,42630,,115389,26319,68821,35751,26800,114614,28541,60446,31156,29290,109901,26953,26855,52558,25703,
"Depreciation",910,688,1716,2485,965,667,629,,66,,,,,,,,,,,,,,,,,249,2369,4591,,,3192,8133,3810,4323,20451,5502,10378,5259,5119,22507,5782,5528,10843,5315,
"Working Profit",1650,-1018,-2209,-2384,1984,-2241,-408,-25741,-4930,-2376,-10451,-5438,-2545,-56745,-29776,-25944,-29949,-3525,-7008,-2797,-147210,-8118,-4021,-3678,-181583,-6966,-157961,-164524,-11585,-126439,-8166,-104993,-98256,-11257,-88361,-5158,-22542,-12517,-10025,9023,3136,2179,925,-1254,
"EBITDA (ProfileData Calc)",2471,-968,-6854,6051,-615,1430,2086,,-3582,,,,,,,,,,,,,,,,,-5527,-136854,-145391,,,-2127,-95290,-93118,-1454,-54489,6741,-2924,-2810,-114,36742,10774,9021,14982,5961,
"Profit Before Exceptional Items",-841,-1018,-2209,-2384,-837,-2241,-408,-25741,-4930,-2376,-10451,-5438,-2545,-56745,-29776,-25944,-29949,-3525,-7008,-2797,-147210,-8118,-4021,-3678,-181583,-6966,-157961,-164524,-11585,-126439,-8166,-104993,-98256,-11257,-88361,-5158,-22542,-12517,-10025,9023,3136,2179,925,-1254,
"Exceptional Income",2252,-1022,-8411,3993,-1598,1984,1468,-756,-597,-1628,1363,598,294,1646,-955,437,5467,211,1353,456,2114,971,527,25,200,610,-551,-7391,-1818,741,174,-6833,-2560,247,-2551,3108,1677,113,1564,-160,546,-36,232,268,
"Profit Before Interest And Tax",1411,-2040,-10620,1609,-2435,-257,1060,-26497,-5527,-4004,-9088,-4840,-2251,-55099,-30731,-25507,-24482,-3314,-5655,-2341,-145096,-7147,-3494,-3653,-181383,-6356,-158512,-171915,-13403,-125698,-7992,-111826,-100816,-11010,-90912,-2050,-20865,-12404,-8461,8863,3682,2143,1157,-986,
"Interest Received",95,153,312,708,153,387,181,1108,604,324,1161,584,300,801,415,214,1195,313,695,382,2091,1048,521,527,2137,580,458,1002,544,3407,791,1929,897,1032,5529,1376,2922,1413,1509,1797,459,421,793,372,
"Interest Paid",1369,1281,2521,3241,1164,874,793,569,304,148,973,386,192,666,316,161,788,257,449,192,769,383,196,187,1327,649,235,497,262,5619,281,5099,4805,294,1549,322,875,353,522,1807,392,593,963,370,
"Net Interest Paid/(Received)",1274,1128,2209,2533,1011,487,612,-539,-300,-176,-188,-198,-108,-135,-99,-53,-407,-56,-246,-190,-1322,-665,-325,-340,-810,69,-223,-505,-282,2212,-510,3170,3908,-738,-3980,-1054,-2047,-1060,-987,10,-67,172,170,-2,
"Pre-Tax Profit",137,-3168,-12829,-924,-3446,-744,448,-25958,-5227,-3828,-8900,-4642,-2143,-54964,-30632,-25454,-24075,-3258,-5409,-2151,-143774,-6482,-3169,-3313,-180573,-6425,-158289,-171410,-13121,-127910,-7482,-114996,-104724,-10272,-86932,-996,-18818,-11344,-7474,8853,3749,1971,987,-984,
"Taxation",20,72,103,222,12,129,66,308,183,410,308,93,70,160,-153,55,-722,-39,22,61,-11114,217,99,118,358,94,252,197,-55,-13968,98,-12475,-15312,2837,56,-447,-593,-471,-122,-924,561,-548,-1096,-548,
"Profit For The Period",117,-3240,-12932,-1146,-3458,-873,382,-26266,-5410,-4238,-9208,-4735,-2213,-55124,-30479,-25509,-23353,-3219,-5431,-2212,-132660,-6699,-3268,-3431,-180931,-6519,-158541,-171607,-13066,-113942,-7580,-102521,-89412,-13109,-86988,-549,-18225,-10873,-7352,9777,3188,2519,2083,-436,
"Income Attributable To Minority Interests",-55,-231,-1738,-1249,-702,-633,-216,-4446,-1275,-797,-1841,-956,-463,-4328,-3661,-3302,-3738,-553,-1036,-483,-7639,-2814,-1379,-1435,-24079,-1902,-18831,-20931,-2100,-10234,-1882,-6474,-2991,-4201,-10443,-1913,-4641,-2922,-1719,-3575,-851,-929,-2189,-1260,
"Attributable Income Before Extraordinary Items",172,-3009,-11194,103,-2756,-240,598,-21820,-4135,-3441,-7367,-3779,-1750,-50796,-26818,-22207,-19615,-2666,-4395,-1729,-125021,-3885,-1889,-1996,-156852,-6519,-139710,-150676,-10966,-103708,-5698,-96047,-86421,-8908,-76545,1364,-13584,-7951,-5633,13352,4039,3448,4272,824,
"Income Attributable To Equity Holders",172,-3009,-11194,103,-2756,-240,598,-21820,-4135,-3441,-7367,-3779,-1750,-50796,-26818,-22207,-19615,-2666,-4395,-1729,-125021,-3885,-1889,-1996,-156852,-6519,-139710,-150676,-10966,-103708,-5698,-96047,-86421,-8908,-76545,1364,-13584,-7951,-5633,13352,4039,3448,4272,824,
"Total Comprehensive Income/Loss for the period",2655,,-31117,1364,-10156,888,2494,-43806,-18275,-21389,3604,954,933,-39790,-20609,-24833,-77907,-2847,-19524,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Capex",172,-3009,-11194,103,-2756,-240,598,-21820,-4135,-3441,-7367,-3779,-1750,-50796,-26818,-22207,-19615,-2666,-4395,-1729,-125021,-366925,-364929,-365036,-519892,-369559,-139710,-513716,-10966,-103708,-5698,-96047,-86421,-8908,-76545,1364,-13584,-7951,-5633,13352,4039,3448,4272,824,
"Profit After Capex",172,-3009,-11194,103,-2756,-240,598,-21820,-4135,-3441,-7367,-3779,-1750,-50796,-26818,-22207,-19615,-2666,-4395,-1729,-125021,-366925,-364929,-365036,-519892,-369559,-139710,-513716,-10966,-103708,-5698,-96047,-86421,-8908,-76545,1364,-13584,-7951,-5633,13352,4039,3448,4272,824,
"Headline Earnings (Cont Ops)",70,-3188,-11519,-2329,-2939,-596,344,-8429,-4135,-3482,-7603,-3779,-3779,-25133,-6749,-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enterprise Value (EV)",405494,208643,208168,231102,252620,12714,12714,101646,224889,224889,248225,232190,232190,556886,1141940,1141940,702799,1460355,1460355,1312487,1266920,799433,799433,703414,604222,564914,610045,610045,1150450,1282327,1272023,1471120,1471120,2789268,3995148,5082215,5012077,5012077,8517993,7933544,6761717,4780849,4775305,7294348,

Balance sheet (USD '000),"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
