Income statement (AUD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"7 Oct 2020","30 Mar 2020","1 Oct 2019","15 Mar 2019","1 Oct 2018","16 Mar 2018","29 Sep 2017","16 Mar 2017","30 Sep 2016","15 Mar 2016","30 Sep 2015","16 Mar 2015","1 Oct 2014","13 Mar 2014","1 Oct 2013","12 Mar 2013","27 Sep 2012","15 Mar 2012",
"Other Income",,,7,,71,,,184,,,,,,,,,,,
"Working Revenue",,,,7,,71,18,11,23,20,24,20,36,20,86,73,205,128,
"Working Cost",,-1399,2397,1546,1739,810,1595,766,1417,659,1478,791,1595,857,1593,953,2323,1446,
"Working Profit",,-1399,-2392,-1538,-1883,-739,-11287,-689,-1573,-727,-1315,-433,-2566,-1688,-1901,-1214,4480,5160,
"Profit Before Exceptional Items",,-1399,-2392,-1538,-1883,-739,-11287,-689,-1573,-727,-1315,-433,-2566,-1688,-1901,-1214,4480,5160,
"Exceptional Income",,,,4,,26,,,,,-1000,,,,,,,,
"Profit Before Interest And Tax",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2315,-433,-2566,-1688,-1901,-1214,4480,5160,
"Pre-Tax Profit",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2315,-433,-2566,-1688,-1901,-1214,4480,5160,
"Taxation",,,,,,,,,,,31,30,-16,,,-202,,,
"Profit For The Period",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2346,-463,-2550,-1688,-1901,-1012,4480,5160,
"Attributable Income Before Extraordinary Items",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2346,-463,-2550,-1688,-1901,-1012,4480,5160,
"Income Attributable To Equity Holders",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2346,-463,-2550,-1688,-1901,-1012,4480,5160,
"Total Comprehensive Income/Loss for the period",,-1323,-2330,-1476,-1653,-641,-12217,-830,-1346,-858,-2605,,,,,,,,
"Profit Before Capex",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2346,-463,-2550,-1688,-1901,-1012,4480,5160,
"Profit After Capex",,-1399,-2392,-1534,-1883,-713,-11287,-689,-1573,-727,-2346,-463,-2550,-1688,-1901,-1012,4480,5160,
"Headline Earnings (Cont Ops)",,,-2392,,-1883,,-11289,,-1582,,-2445,-433,-2550,-1688,-1901,-1012,4481,,
"Enterprise Value (EV)",77008854,54171.76,70206.85,55406.76,95723.15,53331.63,24270.4,106887.26,34987.6,61551.74,59928.23,36334.78,59103.24,77188.63,47692.96,351838.42,134015.95,204412.19,

Balance sheet (AUD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
