Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
"Turnover",210418,464573,232912,342021,166724,
"Other Expenses",15235,32837,15648,20744,59593,
"Net Rental / Investment Income",195183,431736,217264,321277,107131,
"Interest Receivable",14147,26760,12255,5768,2369,
"Other Income",8947,14977,5848,9282,2725,
"Depreciation",,403,,38,,
"Total Income",218277,473473,235367,336327,112225,
"Interest Payable",161087,184416,89105,124189,41018,
"Expenses",,,,,6853,
"Income Before Exceptional Items",57190,289057,146262,212138,64354,
"Exceptional Item 1",24003,90958,84778,158054,58584,
"Income Before Tax",81193,380015,231040,370192,122938,
"Tax",-6476,-9063,170,-1100,,
"Profit For The Period",87669,389078,230870,371292,122938,
"Income Attributable To Minority Interests",-3403,27663,14716,35355,7200,
"Net Income Before Extraords",91072,361415,216154,335937,115738,
"Income Attributable To Equity Holders",91072,361415,216154,335937,115738,
"Total Comprehensive Income/Loss for the period",91072,389078,216154,335937,115738,
"Headline Earnings (Cont Ops)",71272,262967,138682,201578,61930,
"Enterprise Value (EV)",3217045,3262801,3144854,3141986,3276471,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
"Ordinary Capital & Premium",3233729,3235817,3204861,3185487,3055290,
"Distributable Reserves",298751,364706,359652,277515,115738,
"Ordinary Unitholders Interest",3532480,3600523,3564513,3463002,3171028,
"Minority Interest",154313,157716,156001,146120,124047,
"Total Stockholders' Interest",3686793,3758239,3720514,3609122,3295075,
"Other Long-Term Liabilities",2232391,2113022,2100292,1729276,1781045,
"Long-Term Liabilities",2232391,2113022,2100292,1729276,1781045,
"Deferred Tax Liability",79263,85740,94973,94803,83810,
"Total Capital Employed",5998447,5957001,5915779,5433201,5159930,
"Investments",5662367,5663873,5474072,5270795,4962830,
"Fixed Assets / Property",25689,1124,1090,796,526,
"Other Assets",153229,151434,169180,168351,240881,
"Debtors",46219,46925,46998,47711,35776,
"Cash and Short Term Funds",57535,47684,49808,62853,74525,
"Other Current Assets",221674,215173,333088,44400,,
"Current Assets",325428,309782,429894,154964,110301,
"Total Assets",6166713,6126213,6074236,5594906,5314538,
"Creditors",165525,161021,155764,159136,154608,
"Dividends",,5473,,,,
"Other Current Liabilities",2741,2718,2693,2569,,
"Current Liabilities",168266,169212,158457,161705,154608,
"Net Current Assets",157162,140570,271437,-6741,-44307,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
"Number of Linked Units Issued (Actual)",325027765,325027765,321551463,305871896,305871896,
"Weighted Ave Stock Units (Actual)",325027765,322082371,320343245,233247311,305871896,
"Fully Diluted Weighted Average Shares in Issue",325027765,322082371,320343245,233247311,305871896,
"Market Capitalisation (R000)",3120267,3152769,3038661,3058719,3226949,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (3m)",
,"30 Oct 2020","26 May 2020","1 Nov 2019","23 May 2019","2 Nov 2018",
