Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"13 Aug 2020","12 Mar 2020","22 Aug 2019","14 Mar 2019","16 Aug 2018","8 Mar 2018","17 Aug 2017","9 Mar 2017","18 Aug 2016","3 Mar 2016","20 Aug 2015","5 Mar 2015","21 Aug 2014","6 Mar 2014","21 Aug 2014","22 Aug 2013","7 Mar 2013","1 Aug 2012","23 Feb 2012","18 Aug 2011","24 Feb 2011","12 Aug 2010",
"Turnover",14078,25726,11961,25491,12260,22813,10736,20897,9762,18330,8324,16401,7412,13568,6245,6245,12229,5873,12126,5692,10116,7508,
"Operating Expenses",8878,19545,8671,19788,9134,17593,7751,16377,7760,13116,6473,15197,6620,12576,6006,5361,10885,4609,6571,4277,7628,6195,
"EBITDA (ProfileData Calc)",6467,10880,6377,,,,,,,,,,,,,,,,,,,,
"Depreciation",1088,1908,911,,,,,,,,,,,,,,,,,,,,
"Operating Income",4069,4269,2377,5703,3126,975,2985,4623,2205,3465,1851,-3292,-4080,2443,884,884,1738,1304,2552,1416,2488,1313,
"Profit Before Exceptional Items",4069,4269,2377,5703,3126,975,2985,4623,2205,3465,1851,-3292,-4080,2443,884,884,1738,1304,2552,1416,2488,1313,
"Amortisation",43,4,2,,,,,,,,,,,,,,,,,,,,
"Exceptional Item 1",,,,6,1,2,,,,1,1,9,7,12,2,2,-12,-13,,,,,
"Profit Before Interest And Tax",4069,4269,2377,5709,3127,977,2985,4623,2205,3466,1852,-3283,-4073,2455,886,886,1726,1291,2552,1416,2488,1313,
"Interest Received",136,318,164,283,168,217,71,229,83,102,33,80,43,81,42,,,,,,,,
"Interest Paid",457,355,155,605,345,828,522,857,417,770,359,183,86,367,268,,,,,,,,
"Net Interest Paid/(Received)",321,37,-9,322,177,611,451,628,334,668,326,103,43,286,226,226,187,120,367,91,316,222,
"Income From Associates Before Tax",2355,4641,2868,3189,1046,3952,1488,2764,-9,-1137,83,2515,1515,3631,2015,2015,3602,2608,4749,2590,3719,1636,
"Income Before Tax",6103,8873,5254,8576,3996,4318,4022,6759,1862,1661,1609,-871,-2601,5800,2675,2675,5141,3779,6934,3915,5891,2727,
"Taxation",581,968,958,1653,809,1542,861,1179,490,1102,399,13,-159,645,429,429,537,339,871,423,732,372,
"Profit For The Period",5522,7905,4296,6923,3187,2776,3161,5580,1372,559,1210,-884,-2442,5155,2246,2246,4604,3440,6063,3492,5159,2355,
"Income Attributable To Minority Interests",1224,260,-55,32,36,50,31,12,-34,-29,,-1,-1,-13,-5,-5,-30,-18,4,9,27,-34,
"Attributable Income Before Extraordinary Items",4298,7645,4351,6891,3151,2726,3130,5568,1406,588,1210,-883,-2441,5168,2251,2251,4634,3458,6059,3483,5132,2389,
"Extraordinary Profit",36,2164,2148,139,31,3256,-438,111,-121,-292,-43,,,1049,-7,-7,5043,5351,1594,-278,76,19,
"Extraordinary Profit: Discontinued Operations",36,2164,2092,139,31,3256,-438,111,-121,-292,-43,,,1049,-7,-7,5043,5351,1594,-278,76,19,
"Income Attributable To Equity Holders",4334,9809,6499,7030,3182,5982,2692,5679,1285,296,1167,-883,-2441,6217,2244,2244,9677,8809,7653,3205,5208,2408,
"Total Comprehensive Income/Loss for the period",5748,9359,5707,7308,3441,4680,2542,4741,1160,2434,1728,306,,,,,,,,,,,
"Headline Earnings (Cont Ops)",3279,7437,4174,6568,3036,2120,3150,5155,1218,1623,1193,4869,5812,2814,-557,2537,3999,2920,7302,3637,5128,2311,
"Enterprise Value (EV)",65683.709,60473.804,61310.975,52618.9,46901.439,57428.848,32813.974,32603.338,25602.472,18004.407,31072.4,38135.955,52247.997,55800.597,55784.55,55775.64,62713,69356.06,61412,65000.73,50865.92,42333.3,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"13 Aug 2020","12 Mar 2020","22 Aug 2019","14 Mar 2019","16 Aug 2018","8 Mar 2018","17 Aug 2017","9 Mar 2017","18 Aug 2016","3 Mar 2016","20 Aug 2015","5 Mar 2015","21 Aug 2014","6 Mar 2014","21 Aug 2014","22 Aug 2013","7 Mar 2013","1 Aug 2012","23 Feb 2012","18 Aug 2011","24 Feb 2011","12 Aug 2010",
"Fixed Assets",39766,33562,31260,28825,25613,24362,22568,21972,21073,20412,19018,18344,17057,20342,17980,17980,15881,12802,9584,12397,12194,12285,
"Right-of-use Asset",504,462,491,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",16066,16630,18485,17046,16336,15810,22333,21518,19687,19690,18118,18588,18828,19207,18616,17521,17579,18638,4788,4735,3830,3009,
"Investments and Loans",2812,2674,2594,2634,,,,,,,,,,,,,,,,,,,
"Intangible Assets",3032,16,15,,,17,23,31,43,56,30,34,232,1176,994,994,962,1207,128,185,75,78,
"Deferred Tax Asset",753,467,136,523,566,571,429,415,438,544,518,539,591,366,230,230,241,314,227,419,724,681,
"Other Assets",707,3295,3648,3132,5634,3864,6203,6023,4885,5780,3954,3903,3694,3590,3448,2935,2782,2455,2426,2328,2436,1380,
"Other Assets: Bee shareholder`s loan",,,,,,34,,,,,,,,,,,,,,,,,
"Other Assets: Biological Assets",,,,30,,,47,45,52,51,84,84,72,72,56,56,55,66,66,46,46,41,
"Other Assets: Financial Assets",,,,2634,2601,2351,4827,4720,3638,4067,2766,2853,2763,,2879,2879,,2389,,,,,
"Other Assets: Inventories",,101,,,,,,,,,,,,,,,,,,,,,
"Other Assets: Investment in Joint Ventures",,,,1569,,1479,1329,1258,1195,1662,1104,966,859,861,513,,,,,,,,
"Other Assets: Other assets",,3194,3648,,3033,,,,,,,,,,,,,,,,,,
"Other Assets: Other financial assets",,,,,,,,,,,,,,2657,,,2727,,2360,2282,2390,1339,
"Long-Term Receivables",2613,2613,1741,5249,1542,6946,,130,,128,,,,,,,,,,,,,
"Total Fixed Assets",65012,57106,56629,57409,49691,51570,51556,50089,46126,46610,41638,41408,40402,44681,41268,39660,37445,35416,17153,20064,19259,17433,
